@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Intensity-mean numeric
@attribute Rawblue-mean numeric
@attribute Exblue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
16,128,5.555555,6.666666,3.333333,1
70,60,23.777779,31,21.666666,1
91,115,19.925926,24.11111,12.555555,1
105,110,4.222222,6.333334,6.333334,1
177,126,5.407407,5.666666,0.777778,1
8,102,17.925926,21.88889,11.888889,1
141,62,27.37037,37.666668,30.88889,1
69,92,19.37037,23.333334,11.888889,1
82,109,17.777779,21,9.666667,1
67,61,23.74074,30.666666,20.777779,1
30,102,20.25926,25,14.222222,1
112,114,5.259259,6.111111,2.555556,1
127,120,23.666666,30.444445,20.333334,1
14,138,4.962963,5.444445,1.444444,1
85,101,21.296297,26.777779,16.444445,1
90,111,18.62963,22.222221,10.777778,1
120,136,6.259259,7.222222,2.888889,1
199,140,6,6.888889,2.666667,1
178,128,5.925926,6.444445,1.555556,1
5,92,18.703703,23.777779,15.222222,1
5,101,16.925926,19.88889,8.888889,1
13,73,19.074074,24.11111,15.111111,1
104,136,6.814815,8,3.555556,1
133,67,27.148148,35.88889,26.222221,1
8,79,16.814816,21,12.555555,1
78,108,17.11111,19.88889,8.333333,1
88,88,22.148148,28.444445,18.88889,1
58,122,5.62963,6.666666,3.111111,1
94,67,23.74074,30.777779,21.11111,1
86,88,21.148148,26.333334,15.555555,1
17,64,18.88889,25.11111,18.666666,1
18,145,3.925926,4,0.222222,1
14,117,5.777778,7.555555,5.333334,1
79,95,21.11111,26.222221,15.333333,1
95,131,5.333334,6.111111,2.333333,1
216,126,4.925926,5.777778,2.555556,1
80,95,21.407408,26.666666,15.777778,1
10,61,18.962963,24.222221,15.777778,1
138,116,6.481482,8.222222,5.222222,1
108,111,3.814815,5.555555,5.222222,1
150,113,5.592593,6.666666,3.222222,1
6,90,18.11111,22.11111,12,1
71,90,22.62963,29.11111,19.444445,1
69,75,22.74074,29.333334,19.777779,1
161,136,5.62963,6.444445,2.444444,1
146,72,26.222221,35.444447,27.666666,1
