@relation segment

@attribute Region-centroid-row numeric
@attribute Short-line-density-2 numeric
@attribute Vedge-mean numeric
@attribute Vegde-sd numeric
@attribute Intensity-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
101,0,1.333333,1.288888,21.296297,-0.222222,16.444445,26.777779,1
67,0,1.388889,1.396297,27.148148,-6.111111,26.222221,35.88889,1
115,0,0.166667,0.033333,6.666666,4.666666,3.666667,8.444445,1
112,0,0.555556,0.385185,6.222222,2.333333,5.666666,8.111112,1
57,0,1.722222,1.618517,26.814816,-8.444445,28.222221,36.22222,1
124,0,0.5,0.122222,5.111111,5.333334,1.666667,6.888889,1
119,0,1.444445,0.518519,21.592592,-0.777778,17.222221,27.333334,1
69,0,2.055556,2.907408,25.666666,-6.666666,26.333334,34.444447,1
57,0,1.833333,3.411111,26.296297,-4.888889,24.444445,34.444447,1
101,0,2.333333,2.311111,16.925926,4.222222,8.888889,20.222221,1
50,0,1.055556,0.462963,23.037037,-4.111111,20.88889,30,1
85,0,1.111111,0.518519,21.11111,-1,18,27.11111,1
131,0,0.222222,0.074074,5.185185,4.444445,2.444444,6.666666,1
135,0,0.555555,0.296296,5.518518,4.777778,2.777778,7.444445,1
140,0,1.055556,0.462963,6.333334,4.666666,3,8.222222,1
114,0,1.166667,0.788889,14.518518,4.777778,7.777778,17.444445,1
132,0,0.5,0.077778,5.37037,5.222222,2.222222,7.111111,1
111,0,1.611111,0.907407,19.925926,-0.444444,14.888889,24.88889,1
131,0,0.444444,0.42963,5.962963,4.777778,2.111111,7.555555,1
108,0,0.833333,0.433333,17.11111,5.666666,8.333333,20,1
118,0,0.277778,0.062963,5.481482,3.222222,3.555556,7.111111,1
109,0,1,0.488889,17.25926,5.888889,8.222222,20.444445,1
96,0,1,1.022222,21.88889,0.666667,16.333334,27.333334,1
64,0,2.222222,5.496297,23.62963,-5.555555,22.777779,31.222221,1
66,0,2.555555,2.162962,22.62963,-4.222222,21.777779,29.88889,1
121,0,1.666666,0.800001,23.11111,-4.333334,21,30.11111,1
67,0,1,0.88889,20,-1.333333,17.666666,25.88889,1
78,0,2.222223,2.34074,24.592592,-1.777778,19.88889,31.222221,1
92,0,1.222222,0.562964,23.666666,-1.666667,20,30.333334,1
60,0,2.277778,2.329629,26.74074,-6.222222,25.444445,35.22222,1
100,0,0.666667,0.266666,22.222221,-1.333333,18.666666,28.444445,1
129,0,0.833333,0.433333,6.333334,4.666666,3,8.222222,1
102,0,1.222222,0.118518,20.25926,0.222222,14.222222,25,1
92,0,1.333333,0.488889,18.703703,0.222222,15.222222,23.777779,1
91,0,2.222222,2.029629,22.481482,-1.444444,18.88889,28.777779,1
88,0,2,3.2,20.592592,-5.444445,20.222221,27.333334,1
140,0,1.055556,0.462963,6.333334,4.666666,3,8.222222,1
107,0,1.444444,1.940741,18.88889,3,12,23,1
59,0,1.833333,3.5,21.814816,-3.111111,20.88889,28.777779,1
95,0,1.222222,1.007408,21.407408,-0.222222,15.777778,26.666666,1
139,0,0.277778,0.107407,6.111111,4.333334,3.333333,7.555555,1
115,0,1.722222,1.440742,19.925926,1.888889,12.555555,24.11111,1
100,0,0.722222,0.107408,21.074074,1.777778,14.777778,26,1
143,0,0.5,0.344444,5.296296,4.111111,2.777778,6.777778,1
134,0,0.555556,0.251852,6.074074,4.111111,3.111111,7.777778,1
44,0,2.166667,2.388888,18.74074,-4.222222,19.444445,25.222221,1
124,0,0.555556,0.162963,5.111111,4.666666,2.666667,6.777778,1
70,0,1.277778,0.72963,23.666666,-2,19.333334,30.11111,1
90,0,2.777778,2.074072,22.62963,-1.888889,19.444445,29.11111,1
98,0,1.222223,0.42963,20.88889,0.333333,15,25.88889,1
92,0,1.388889,2.418516,19.074074,-0.888889,15.111111,24.11111,1
86,0,1.444445,1.274074,26.481482,-6.777778,25.555555,35,1
58,0,0.888889,0.162963,20.925926,-2.777778,19.222221,27.333334,1
117,0,0.277778,0.151852,5.888889,3,4.666666,7.444445,1
142,0,0.388889,0.062963,4.592593,4.888889,1.888889,6.333334,1
90,0,1.944445,0.596296,18.11111,2,12,22.11111,1
116,0,0.611111,0.151852,6.481482,3.222222,5.222222,8.333334,1
142,0,0.388889,0.107407,5.037037,4.555555,2.222222,6.555555,1
139,0,0.666667,0.177778,5.333334,3.666667,3.333333,6.888889,1
149,0,0.555556,0.251852,5.444445,-4,9.666667,8.666667,1
144,0,0.277778,0.062963,4.814815,3.555556,2.888889,6.222222,1
89,0,1.222222,1.762962,18.962963,-0.555556,14.777778,23.88889,1
113,0,0.444444,0.207407,5.518518,4.111111,3.444444,6.888889,1
130,0,0.611111,0.240741,5.777778,5,2.666667,7.555555,1
129,0,0.555556,0.562963,6.666666,5.333334,2.666667,8.444445,1
143,0,0.388889,0.062963,5.666666,5.666666,2.333333,7.555555,1
126,0,0.388889,0.062963,5.777778,5,3,7.444445,1
104,0,1.555556,0.962963,20.185184,0.111111,14.111111,24.88889,1
88,0,2.055556,1.885185,21.148148,0.888889,15.555555,26.333334,1
142,0,0.388889,0.062963,4.814815,5.888889,1.222222,6.777778,1
108,0,1.333333,0.8,17.666666,4,10.333333,21.11111,1
56,0,1.055555,0.951851,22.74074,-4.888889,22.444445,30.222221,1
106,0,2.222222,2.518518,20,0,15.333333,25.11111,1
123,0,0.444444,0.207407,5.814815,5.222222,2.555556,7.555555,1
130,0,0.722222,0.507407,5.851852,4.444445,3.111111,7.666666,1
136,0,0.611111,0.418519,6.259259,4.555555,2.888889,8,1
56,0,1.222222,0.207407,19.851852,-1.222222,16.777779,25.444445,1
145,0,0.555556,0.162963,5.296296,3.111111,3.777778,7,1
125,0,0.277778,0.062963,6.185185,3.444444,4.444445,7.777778,1
145,0,0.555556,0.162963,5.296296,3.111111,3.777778,7,1
95,0,1.666667,3.733334,21.11111,0,15.333333,26.222221,1
88,0,0.833333,0.477778,22.148148,-2.444444,18.88889,28.444445,1
