@relation segment

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
142,9,0.944444,6.555555,4.555555,-6.777778,1
115,9,3.888889,20.555555,1.888889,-14.444445,1
130,9,1.055556,7.333334,4.444445,-7.555555,1
75,9,0.722222,21.11111,-0.666667,-16.666666,1
124,9,0.388889,7.444445,4.222222,-8.111111,1
124,9,0.888889,7.111111,3.666667,-7.333334,1
131,9,1.333333,6.888889,4.666666,-7,1
104,9,2.666666,20.88889,-2.666667,-17,1
74,9,1.388889,21,-0.444444,-16.777779,1
136,9,0.444444,7.111111,4.444445,-6.888889,1
149,9,0.722222,4.111111,-4,-5.666666,1
68,9,2.166667,24.222221,-8.888889,-20.222221,1
83,9,2.444445,19.555555,0.333333,-15.333333,1
101,9,1.277778,21.222221,-0.222222,-16.222221,1
114,9,1,7.555555,4,-7.666666,1
111,9,2.555555,4.111111,0.888889,-6.111111,1
72,9,1.777778,23.555555,-8.777778,-19.11111,1
124,9,0.388889,7.444445,4.222222,-8.111111,1
139,9,0.833333,7.555555,4.333334,-7.666666,1
123,9,0.444444,6,4.333334,-6.666666,1
116,9,4.777777,17,2.444444,-13.888889,1
89,9,2.555556,18.777779,-0.555556,-14.222222,1
91,9,2.166666,22,-1.444444,-17.444445,1
104,9,4,20.555555,-4.111111,-16.11111,1
55,9,1.277778,20.555555,-1.444444,-15.444445,1
66,9,2.166667,21.222221,-4.222222,-17.555555,1
135,9,1.055556,7.444445,5.222222,-7.444445,1
123,9,0.888889,7.888889,2.777778,-7.222222,1
88,9,2.888889,21.333334,-2.444444,-16.444445,1
103,9,2.277778,17.666668,4.555555,-13.444445,1
108,9,0.944444,21,-2.777778,-16.11111,1
63,9,1.944444,20.333334,-6.111111,-15.777778,1
107,9,3.333333,19.444445,2.444444,-15.555555,1
90,9,2,23.666666,-3.555556,-18.555555,1
106,9,0.722222,19.555555,1.333333,-15,1
107,9,1.611111,18.333334,3.444444,-13.888889,1
143,9,0.444444,6.777778,4,-8,1
69,9,1.611111,22,-7,-17.666666,1
40,9,1.111112,15.666667,-4.555555,-13.888889,1
115,9,0.333333,7.777778,3,-8.333333,1
131,9,0.777778,6.666666,4.444445,-6.888889,1
106,9,2.111111,20,0,-15.333333,1
85,9,1.777778,18.88889,2.777778,-14.555555,1
133,9,0.5,8.333334,5,-8.333333,1
56,9,1.277777,23.333334,-9.333333,-19.333334,1
118,9,0.666667,7.555555,3.333333,-8.333333,1
104,9,1.5,19.222221,1.555556,-15.111111,1
149,9,1.055556,5.555555,-5.888889,-7.222222,1
132,9,0.222222,7.111111,5.222222,-7.444445,1
85,9,1.777778,18.88889,2.777778,-14.555555,1
60,9,1.055555,18.88889,-1.333333,-15,1
112,9,1,7,2.333333,-8,1
143,9,0.666667,6.666666,4.111111,-6.888889,1
60,9,2.166666,22.444445,-4,-17.666666,1
111,9,0.611111,6.888889,4.444445,-7.222222,1
101,9,1.277778,21.222221,-0.222222,-16.222221,1
61,9,3.111111,18.666668,-0.888889,-14.888889,1
111,9,1.055556,6.888889,3.555556,-7.444445,1
86,9,1.666667,23.555555,-2.222222,-18.88889,1
135,9,0.666667,5.666666,4.555555,-6.444445,1
63,9,1.5,17.222223,-2.555556,-14.222222,1
137,9,1.111111,7.777778,5.777778,-7.555555,1
118,9,0.555556,6.555555,3.222222,-6.777778,1
88,9,1.722222,21.444445,0.888889,-16.444445,1
45,9,3.277778,20.555555,-4.111111,-16.444445,1
135,9,0.888889,7.111111,4.777778,-7.555555,1
51,9,2.666667,22.666666,-9.222222,-18.88889,1
115,9,2.222223,15.666667,-2.666667,-13,1
103,9,1.111111,19.222221,2.666667,-15.333333,1
121,9,0.611111,8,4.777778,-7.888889,1
118,9,0.777778,6.222222,3.666667,-7.333334,1
128,9,0.666667,7.444445,5.333334,-8,1
111,9,1.333333,19.777779,3.444444,-14.222222,1
129,9,1.111111,8,4.777778,-7.888889,1
98,9,1.888889,21,0.333333,-15.333333,1
88,9,2.944445,18.777779,-5.444445,-14.777778,1
111,9,0.5,6.444445,3,-7.666666,1
74,9,2.166667,22.555555,-3.111111,-17.777779,1
90,9,5.111111,22,-1.888889,-17.555555,1
128,9,0.388889,6.888889,5.555555,-6.777778,1
118,9,3.444444,21.555555,-3.555556,-15.222222,1
74,9,0.666667,21.666666,-2.222222,-17.222221,1
137,9,1.111111,7.777778,5.777778,-7.555555,1
61,9,0.833333,22.666666,-3.222222,-17.555555,1
81,9,1.833333,20.333334,1.444444,-15.888889,1
140,9,1,7.888889,4.666666,-7.666666,1
53,9,2.833333,22.777779,-12.888889,-20.88889,1
116,9,1.166667,7.111111,3,-7.666666,1
96,9,2.833333,20.777779,-2.888889,-15.222222,1
114,9,3.888888,19,5.333334,-14,1
56,9,1.333334,19.444445,-1.222222,-15.555555,1
56,9,1.333333,21.11111,-4.888889,-17.555555,1
145,9,0.722222,6.333334,3.111111,-6.888889,1
124,9,0.666667,7.666666,4.444445,-7.888889,1
93,9,2.111111,18.88889,-4.444445,-14.777778,1
131,9,0.777778,7.555555,4.777778,-6.888889,1
113,9,2.944444,20,-0.777778,-14.777778,1
149,9,0.722222,4.111111,-4,-5.666666,1
130,9,0.388889,6.888889,4.666666,-7.333334,1
146,9,0.666667,5.666666,1.666667,-6.666666,1
77,9,3.055556,24.555555,-5.555555,-18.555555,1
62,9,3.388889,23.777779,-10.777778,-20.11111,1
78,9,2,24,-1.777778,-18.11111,1
142,9,1.5,6.777778,6.333334,-7,1
121,9,2,21.666666,-4.333334,-16.666666,1
125,9,0.666667,7.333334,3.444444,-7.888889,1
60,9,2.888889,24.666666,-6.222222,-19.222221,1
91,9,2.555556,19.777779,0.111111,-14.555555,1
85,9,2.500001,20.777779,-1,-17,1
34,9,1.5,18.222221,-6.333334,-16.333334,1
145,9,0.5,5.333334,3.777778,-6.555555,1
123,9,0.5,7.555555,5.222222,-7.777778,1
79,9,2.111111,17.333334,1.555556,-14.111111,1
67,9,2.444445,19.555555,-1.333333,-16.333334,1
80,9,2.5,24,-6,-19.333334,1
113,9,0.722222,7.111111,4.888889,-7.444445,1
131,9,0.333333,7.222222,6,-6.666666,1
100,9,1.222222,21.666666,1.777778,-16.555555,1
120,9,3.222222,22.11111,-4.666666,-15.666667,1
92,9,2.333333,23.11111,-1.666667,-18.333334,1
