@relation segment

@attribute Region-centroid-col numeric
@attribute Region-centroid-row numeric
@attribute Hedge-mean numeric
@attribute Exred-mean numeric
@attribute Exblue-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
16,128,0.666667,4,3.333333,7.111111,1
23,147,0.722222,-1.444444,8.555555,7.666666,1
145,102,2.611111,-2.888889,20.11111,29.777779,1
108,130,1,5.444445,1.777778,8.444445,1
35,132,0.222222,5.222222,2.222222,7.111111,1
32,45,3.277778,-4.111111,20.555555,28.777779,1
238,118,0.777778,3.666667,3.666667,6.666666,1
105,139,0.833333,4.333334,3.333333,7.555555,1
34,137,1.111111,5.777778,1.777778,7.777778,1
95,131,1.333333,4.666666,2.333333,7.222222,1
138,116,0.444445,3.222222,5.222222,8.333334,1
109,126,0.666667,4.444445,2.777778,8.888889,1
97,126,1,3.555556,4.555555,8.333334,1
177,129,1.111111,4.777778,3.111111,8.222222,1
14,117,0.555556,1.666667,5.333334,7.555555,1
147,69,1.88889,-6.666666,26.333334,34.444447,1
62,123,0.5,5.222222,2.555556,7.555555,1
149,64,1.388889,-4.222222,23.444445,31.88889,1
14,134,0.388889,4.444445,2.777778,7,1
145,101,1.611111,-2.666667,20.333334,29.222221,1
68,117,1.611111,2.333333,12.666667,24.11111,1
67,64,2.388889,-1.444444,19.222221,28.88889,1
65,143,0.444445,4.555555,2.555556,6.666666,1
18,145,0.611111,4.888889,0.222222,5.555555,1
151,147,0.722222,-1.111111,9.555555,9.555555,1
239,143,0.666667,4.777778,2.777778,6.111111,1
86,74,0.666667,-2.222222,19.444445,28.88889,1
23,55,1.777777,-5.333334,23,31.11111,1
65,75,0.722222,-0.666667,17.333334,27.11111,1
136,77,3.055556,-5.555555,24.11111,34.444447,1
95,100,1.222222,1.777778,14.777778,26,1
78,108,1.611111,5.666666,8.333333,20,1
196,129,0.666667,4.666666,3,8.222222,1
67,118,2.277778,-2.666667,18.666666,27.333334,1
196,129,0.666667,4.666666,3,8.222222,1
176,132,0.944444,5.111111,1.444444,7.555555,1
137,66,2.944444,-9.222222,29.444445,38.22222,1
121,123,0.888889,2.777778,4.444445,8.444445,1
94,67,1.555556,-2.555556,21.11111,30.777779,1
34,83,2.444445,0.333333,15,24.444445,1
178,128,0.888889,5.888889,1.555556,7.888889,1
6,90,1.333334,2,12,22.11111,1
95,57,2.111111,-4.888889,24.444445,34.444447,1
39,60,2.444445,-3.888889,22.11111,30,1
14,110,2.666667,2.888889,10.555555,21.444445,1
37,114,3.888888,5.333334,8.666667,20.555555,1
229,124,0.888889,3.666667,3.666667,7.555555,1
145,90,2,-3.555556,22.11111,32.22222,1
193,142,1.722222,5.888889,1.222222,6.777778,1
79,95,2.499999,0,15.333333,26.222221,1
196,124,0.833333,4,3.666667,8,1
123,104,4,-4.111111,20.222221,28.666666,1
75,67,1.833333,0.888889,16.88889,27.88889,1
2,89,2.555556,-0.555556,14.777778,23.88889,1
77,124,0.611111,5.333334,1.666667,6.888889,1
26,67,2.444445,-1.333333,17.666666,25.88889,1
2,98,1.055555,2.555556,9.888889,20.777779,1
16,128,0.666667,4,3.333333,7.111111,1
16,117,0.5,3,4.666666,7.444445,1
219,134,0.666667,5.111111,1.444444,6.444445,1
85,70,1.833333,-2,19.333334,30.11111,1
101,80,3,-1.444444,20.222221,31.555555,1
112,114,0.666667,3.888889,2.555556,6.666666,1
97,77,4.444445,-3.222222,21.444445,32.333336,1
186,130,0.388889,4.666666,2.666667,7,1
24,65,2.333334,-2.111111,17.88889,26.777779,1
69,92,2,2.555556,11.888889,23.333334,1
114,121,0.611111,4.777778,3.111111,8,1
95,57,2.111111,-4.888889,24.444445,34.444447,1
127,121,2,-4.333334,21,30.11111,1
11,108,1.388889,4,10.333333,21.11111,1
217,145,0.722222,3.111111,3.777778,7,1
23,88,2.944445,-5.444445,20.222221,27.333334,1
18,138,0.833333,4.777778,2.444444,7.333334,1
217,145,0.722222,3.111111,3.777778,7,1
28,112,0.555555,3.555556,3.888889,7.555555,1
19,147,0.5,-0.777778,7.555555,7,1
77,78,2,-1.777778,19.88889,31.222221,1
14,66,1.5,-0.333333,16,24,1
96,84,1.611111,-0.888889,18.444445,30,1
64,74,1.388889,-0.444444,17.222221,26.88889,1
121,113,2.944444,-0.777778,15.555555,25.444445,1
231,123,0.388889,3.888889,3.222222,7.333334,1
196,134,0.777778,4.111111,3.111111,7.777778,1
97,130,1.055556,4.444445,3.111111,7.666666,1
21,53,1.166667,-2,17.666666,27.444445,1
18,138,0.833333,4.777778,2.444444,7.333334,1
105,139,0.833333,4.333334,3.333333,7.555555,1
227,116,0.222222,3.444444,4.111111,6.888889,1
237,135,0.666667,4.555555,1.888889,5.666666,1
42,56,1.333333,-4.888889,22.444445,30.222221,1
22,116,0.333333,3.444444,4.111111,7.333334,1
38,146,0.666667,1.666667,5,6.888889,1
71,90,5.111111,-1.888889,19.444445,29.11111,1
122,91,2.166666,-1.444444,18.88889,28.777779,1
117,147,0.777778,-4,12.666667,11,1
138,116,0.444445,3.222222,5.222222,8.333334,1
86,88,1.722222,0.888889,15.555555,26.333334,1
136,70,1.722222,-4.777778,23.88889,34,1
29,111,0.611111,4.444445,2.777778,6.888889,1
12,56,1.333334,-1.222222,16.777779,25.444445,1
70,60,2.166666,-4,21.666666,31,1
189,115,0.333333,4.666666,3.666667,8.444445,1
82,109,1.333334,4.333334,9.666667,21,1
73,103,1.111111,2.666667,12.666667,22.555555,1
138,133,1.166667,4,4.333334,8.222222,1
76,135,0.833333,5.666666,1.333333,6.888889,1
127,120,3.222222,-4.666666,20.333334,30.444445,1
