@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2-3,8,11,14,16,20'

@attribute Region-centroid-row numeric
@attribute Region-pixel-count numeric
@attribute Hedge-mean numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,9,1.111112,111.888885,-33.444443,-16.777779,2
141,9,0.055556,0,-0.111111,-0.111111,5
197,9,1.277779,56.22222,-21,-22.666666,6
134,9,1.5,2.222222,-11.888889,-3.888889,3
146,9,0.055556,0,-0.111111,-0.111111,3
58,9,0.277778,6,-8.555555,-8.555555,5
182,9,2.722223,48.555557,-16.88889,-22.222221,6
120,9,0.611111,11.222222,-16.88889,-9.888889,3
130,9,0,0,0,0,5
138,9,0.888889,0,-4.222222,-2.888889,3
42,9,1.666668,95.666664,-39.77778,-12.111111,2
116,9,0.777778,17.88889,-12.222222,-10.555555,5
108,9,27.277779,41.77778,-24.11111,-9.777778,3
118,9,0.833334,30.777779,-10.666667,-11.333333,4
136,9,2.055555,4.111111,-11.666667,-4,3
175,9,7.166668,50.77778,-21.222221,-23.555555,6
128,9,3.166667,2.444444,-8.555555,-4.222222,3
117,9,1.444443,33.555557,-16.444445,-15.777778,4
85,9,6.5,42.444443,-19.333334,-18.666666,4
158,9,0.833333,6.333334,-4.888889,-6.888889,4
32,9,1.33333,103.888885,-38.666668,-11,2
129,9,0.722222,27.555555,-13.444445,-13.777778,4
92,9,1.777778,21.777779,-3.333333,-17.333334,1
111,9,0.888889,7,2.888889,-7.777778,1
94,9,0.222222,0.222222,-2.888889,-3.222222,5
94,9,0.722222,0.111111,-6.444445,-4.777778,3
129,9,2,19.11111,-16.777779,-13.777778,4
13,9,1.111115,134.33334,-17.777779,-8.777778,2
202,9,8.333334,50.22222,-21.333334,-21.333334,6
98,9,1.777778,1.222222,-10.333333,-3.333333,3
93,9,0.166667,1,-4.333334,-4.666666,5
139,9,1.388889,57.88889,-20.333334,-22,4
204,9,3.222222,49.77778,-18.333334,-21.666666,6
