@relation 'segment-weka.filters.unsupervised.attribute.Remove-V-R2,11,14,17,19-20'

@attribute Region-centroid-row numeric
@attribute Rawred-mean numeric
@attribute Exred-mean numeric
@attribute Value-mean numeric
@attribute Hue-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
41,111.888885,-33.444443,139.77779,-2.299918,2
141,0,-0.111111,0.111111,-2.094395,5
197,56.22222,-21,77.77778,-2.06802,6
134,2.222222,-11.888889,11.444445,-2.386611,3
146,0,-0.111111,0.111111,-2.094395,3
58,6,-8.555555,14.555555,-2.085342,5
182,48.555557,-16.88889,67.22222,-2.004082,6
120,11.222222,-16.88889,25.777779,-2.230821,3
130,0,0,0,0,5
138,0,-4.222222,3.777778,-2.173961,3
42,95.666664,-39.77778,126.22222,-2.410388,2
116,17.88889,-12.222222,29.555555,-2.144778,5
108,41.77778,-24.11111,61.11111,-2.360491,3
118,30.777779,-10.666667,41.666668,-2.077668,4
136,4.111111,-11.666667,13.222222,-2.412671,3
175,50.77778,-21.222221,72.77778,-2.05935,6
128,2.444444,-8.555555,9.555555,-2.300368,3
117,33.555557,-16.444445,49.77778,-2.106235,4
85,42.444443,-19.333334,61.555557,-2.097363,4
158,6.333334,-4.888889,11.888889,-1.982834,4
32,103.888885,-38.666668,133.33334,-2.421193,2
129,27.555555,-13.444445,41.11111,-2.078797,4
92,21.777779,-3.333333,29.777779,-1.682651,1
111,7,2.888889,7.888889,-1.175773,1
94,0.222222,-2.888889,3.222222,-2.071242,5
94,0.111111,-6.444445,6,-2.189708,3
129,19.11111,-16.777779,34.88889,-2.161046,4
13,134.33334,-17.777779,149.11111,-2.292384,2
202,50.22222,-21.333334,71.55556,-2.093746,6
98,1.222222,-10.333333,9.222222,-2.395422,3
93,1,-4.333334,5.444445,-2.075071,5
139,57.88889,-20.333334,78.77778,-2.065471,4
204,49.77778,-18.333334,69.22222,-2.03737,6
247,6,-6.333334,12.444445,2.117886,7
33,114.666664,-33.666668,141.77779,-2.348002,2
90,17.333334,-18.555555,34.444447,-2.182442,5
62,4.111111,-7,11.444445,-2.048717,5
