@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,17-18,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,6,A173,1,A201,1
A14,24,A173,1,A201,1
A14,6,A172,1,A201,1
A13,10,A173,1,A201,1
A12,9,A173,1,A201,1
A12,15,A173,1,A201,1
A14,36,A173,1,A201,1
A11,12,A174,1,A201,1
A14,15,A173,1,A201,1
A14,12,A173,1,A201,1
A14,12,A172,2,A201,2
A14,36,A173,1,A201,2
A12,12,A173,1,A201,2
A14,15,A172,1,A201,1
A14,12,A173,1,A201,1
A13,36,A173,1,A201,1
A12,24,A174,1,A201,1
A12,24,A173,1,A201,1
A12,24,A174,1,A201,2
A14,12,A172,2,A201,1
A12,12,A173,1,A201,1
A12,12,A172,1,A201,1
A11,24,A173,1,A201,1
A14,12,A173,1,A201,1
A14,12,A172,2,A201,1
A14,12,A173,1,A201,1
A13,24,A173,1,A201,1
A14,24,A173,1,A201,1
A11,12,A173,1,A201,2
A14,11,A172,1,A201,1
A14,15,A173,1,A201,1
A13,18,A172,1,A201,1
A12,48,A171,1,A201,1
A11,36,A173,1,A201,2
A11,24,A174,1,A201,1
A12,24,A173,1,A201,1
A12,18,A173,1,A201,1
A12,18,A174,1,A201,1
A12,9,A173,2,A201,2
A14,36,A174,1,A201,2
A11,30,A173,1,A201,2
A14,18,A173,1,A201,1
A14,18,A173,1,A201,1
A14,18,A173,1,A201,1
A12,24,A173,1,A201,1
A12,18,A173,1,A201,2
A12,12,A173,1,A201,2
A12,24,A174,1,A201,2
A12,12,A173,1,A201,2
A14,6,A172,1,A201,1
A14,12,A174,1,A201,1
A14,12,A172,2,A201,2
A14,6,A173,1,A201,1
A12,18,A173,1,A201,2
A12,12,A172,1,A201,1
A14,6,A173,1,A201,1
A12,6,A173,1,A201,1
A11,12,A172,2,A202,1
A12,36,A174,1,A201,2
A11,24,A173,1,A201,2
A12,24,A173,2,A201,2
A14,24,A173,1,A201,1
A14,36,A173,1,A201,2
A11,6,A173,1,A201,1
A11,18,A173,1,A201,2
A11,36,A173,1,A201,2
A11,6,A172,2,A201,1
A12,12,A173,1,A201,2
A14,12,A172,1,A201,1
A11,48,A173,1,A201,2
A12,18,A172,1,A201,2
A14,24,A173,1,A201,1
A11,24,A172,1,A201,2
A12,9,A172,1,A201,1
A11,18,A172,1,A201,2
A11,24,A174,1,A201,2
A11,12,A173,1,A201,2
A11,21,A173,1,A201,1
A12,48,A174,1,A201,1
A11,18,A171,1,A201,2
A14,12,A173,1,A201,2
A11,14,A173,1,A201,1
A14,24,A173,1,A201,1
A12,36,A172,2,A201,1
A11,6,A172,2,A201,1
A12,9,A172,1,A201,1
A14,4,A173,2,A201,1
A11,15,A173,1,A201,1
A14,21,A174,1,A201,1
A13,24,A173,1,A201,1
A12,6,A172,1,A201,1
A12,48,A173,2,A201,1
A14,4,A172,2,A201,1
A14,24,A173,1,A201,1
A14,36,A173,1,A201,1
A13,6,A173,2,A202,1
A11,24,A173,1,A201,1
A14,15,A173,1,A201,1
A12,24,A172,1,A201,1
A14,12,A172,1,A201,1
