@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A13,24,A101,31,1,A201,1
A12,24,A101,20,1,A201,1
A11,12,A101,30,1,A201,1
A11,12,A101,40,1,A201,1
A12,6,A101,26,1,A202,1
A14,12,A101,56,1,A201,1
A14,36,A101,36,1,A201,1
A14,12,A101,30,1,A201,1
A14,18,A101,27,1,A201,1
A12,12,A103,29,1,A202,1
A11,24,A101,24,1,A201,1
A12,12,A101,38,1,A201,1
A14,24,A101,47,1,A201,1
A11,12,A101,27,1,A201,1
A14,42,A101,29,1,A201,1
A12,15,A103,50,1,A201,1
A14,24,A101,54,1,A201,1
A12,6,A101,28,2,A201,1
A14,12,A101,50,1,A201,1
A14,6,A101,24,1,A201,1
A14,21,A101,23,1,A201,1
A14,10,A101,40,2,A202,1
A14,6,A101,28,1,A201,1
A12,12,A103,40,1,A201,1
A12,30,A101,41,1,A201,1
A14,6,A101,42,2,A201,1
A11,24,A101,27,1,A201,1
A14,24,A101,53,1,A201,1
A14,15,A101,54,1,A201,1
A14,33,A101,26,1,A201,1
A14,36,A101,35,2,A201,1
A13,6,A101,41,1,A201,1
A11,36,A101,42,2,A201,1
A11,18,A101,30,2,A201,1
A14,60,A101,21,1,A201,1
A14,24,A101,25,1,A201,1
A11,21,A101,28,1,A201,1
A11,18,A101,32,1,A201,1
A14,18,A101,24,1,A201,1
A14,18,A101,36,1,A201,1
A12,18,A103,25,1,A201,1
A14,15,A101,23,1,A201,1
A12,48,A101,41,2,A201,1
A11,12,A101,66,1,A201,1
A14,24,A103,31,1,A201,1
A11,6,A101,36,1,A201,1
A12,9,A101,35,1,A201,1
A14,9,A103,26,2,A202,1
A13,15,A101,23,1,A201,1
A14,24,A101,32,1,A201,1
A14,10,A101,46,1,A201,1
A11,27,A101,27,1,A201,1
A14,24,A101,38,1,A201,1
A11,12,A101,31,2,A201,1
A13,24,A101,51,1,A201,1
A14,12,A101,49,1,A201,1
A14,24,A101,25,1,A201,1
A14,12,A101,36,1,A201,1
A11,30,A101,57,1,A201,1
A12,15,A101,23,1,A201,1
A14,12,A101,35,1,A202,1
A11,6,A101,40,2,A202,1
A12,9,A101,67,1,A201,1
A14,20,A101,44,1,A201,1
A14,24,A101,41,2,A201,1
