@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,A32,A42,3976,A152,A173,1
A14,A32,A43,2753,A152,A173,1
A12,A34,A40,1995,A152,A173,1
A11,A34,A40,860,A152,A173,1
A12,A32,A43,590,A152,A172,1
A12,A32,A41,6468,A152,A174,1
A12,A32,A45,1514,A152,A173,1
A14,A32,A40,1820,A152,A174,1
A12,A30,A41,6148,A152,A173,1
A14,A34,A43,5771,A152,A173,1
A14,A34,A43,2743,A152,A173,1
A14,A34,A41,8858,A153,A173,1
A14,A34,A43,1471,A153,A173,1
A12,A30,A49,4221,A152,A173,1
A14,A34,A46,1597,A153,A173,1
A14,A34,A46,1244,A151,A172,1
A11,A34,A41,6187,A151,A173,1
A13,A34,A40,1480,A153,A171,1
A13,A32,A42,1275,A152,A173,1
A11,A34,A40,731,A152,A172,1
A12,A32,A49,1913,A152,A173,1
A14,A32,A41,4811,A151,A172,1
A13,A32,A43,5848,A152,A173,1
A14,A32,A46,727,A153,A173,1
A14,A32,A42,763,A152,A173,1
A12,A32,A43,1158,A152,A173,1
A14,A32,A41,2603,A151,A173,1
A14,A34,A41,5804,A152,A173,1
A14,A34,A41,5711,A152,A174,1
A14,A32,A42,1574,A152,A173,1
A14,A34,A41,2346,A152,A173,1
A11,A32,A40,1168,A152,A172,1
A14,A32,A43,1213,A152,A173,1
A14,A34,A41,2197,A152,A173,1
A13,A32,A43,1297,A151,A173,1
A13,A30,A49,6289,A152,A173,1
A12,A33,A410,7582,A153,A174,1
A14,A32,A43,3430,A152,A173,1
A14,A32,A48,894,A152,A173,1
A11,A32,A41,2812,A151,A173,1
A13,A34,A42,3617,A151,A173,1
A14,A34,A40,1287,A152,A173,1
A12,A32,A43,1103,A152,A173,1
A14,A33,A42,4151,A152,A173,1
A14,A32,A43,1901,A151,A174,1
A14,A34,A40,5045,A152,A173,1
A14,A33,A43,7238,A152,A173,1
A14,A33,A41,4679,A152,A172,1
A12,A32,A43,2323,A151,A173,1
A14,A32,A42,1313,A152,A173,1
A14,A32,A42,929,A152,A173,1
A14,A34,A43,730,A151,A172,1
A14,A30,A40,1204,A151,A173,1
A12,A34,A49,2825,A152,A173,1
A14,A32,A43,1505,A153,A174,1
A14,A34,A40,1940,A152,A173,1
A12,A32,A42,3001,A151,A173,1
A14,A34,A46,3565,A152,A172,1
A11,A34,A43,1231,A151,A174,1
A14,A32,A43,2171,A152,A173,1
A12,A32,A43,753,A152,A173,1
A14,A32,A40,1101,A152,A173,1
A12,A33,A40,1965,A151,A173,1
A14,A32,A40,5324,A153,A173,1
A14,A33,A49,2375,A152,A173,1
A11,A34,A40,1602,A152,A173,1
A11,A32,A43,3357,A152,A173,1
A14,A32,A43,1126,A151,A173,1
A14,A32,A41,2848,A152,A173,1
A14,A32,A41,5248,A152,A173,1
A12,A32,A43,866,A152,A172,1
A14,A34,A43,1582,A152,A173,1
A13,A32,A43,1126,A152,A173,1
A14,A33,A49,4272,A152,A172,1
A12,A32,A40,6260,A151,A172,1
A12,A34,A43,1537,A152,A173,1
A11,A32,A49,6568,A152,A172,1
A11,A32,A43,2522,A152,A173,1
A11,A32,A40,2511,A151,A173,1
A11,A32,A42,2659,A152,A173,1
A11,A32,A42,3622,A151,A173,1
A12,A30,A48,1410,A152,A172,1
A14,A34,A43,976,A152,A173,1
A11,A32,A41,2910,A153,A174,1
A12,A32,A40,1007,A152,A173,1
A14,A34,A43,1503,A152,A172,1
A11,A32,A43,2647,A151,A173,1
A11,A32,A42,7882,A153,A173,1
A14,A34,A43,2331,A152,A173,1
A14,A34,A43,717,A152,A173,1
A14,A34,A41,10477,A153,A173,1
A11,A34,A42,975,A152,A173,1
A12,A32,A43,2063,A151,A174,1
A13,A32,A44,1225,A152,A173,1
A12,A34,A41,1860,A152,A174,1
A12,A32,A43,760,A152,A172,1
A14,A32,A40,1469,A151,A172,1
A11,A30,A49,3104,A152,A173,1
A14,A34,A41,3850,A152,A173,1
A12,A32,A49,2622,A152,A173,1
A12,A32,A43,1113,A152,A172,1
A11,A32,A40,662,A152,A172,1
A12,A32,A42,983,A151,A172,1
A14,A34,A43,6742,A152,A173,1
A14,A33,A43,12749,A152,A174,1
A11,A32,A43,1603,A152,A173,1
A14,A34,A40,1455,A152,A172,1
