@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Guarantors {A101,A103,A102}
@attribute NCredits numeric
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A14,A33,A101,2,A173,1
A12,A31,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A34,A101,2,A173,1
A12,A31,A102,1,A174,1
A14,A34,A101,2,A173,1
A13,A32,A101,1,A173,1
A12,A33,A101,2,A172,1
A14,A33,A101,2,A173,1
A11,A32,A101,1,A173,1
A14,A34,A101,1,A173,1
A14,A33,A101,2,A173,1
A11,A32,A103,1,A172,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A172,1
A11,A34,A101,2,A172,1
A12,A34,A101,2,A173,1
A12,A33,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A30,A101,2,A173,1
A11,A32,A101,1,A173,1
A12,A32,A101,1,A174,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A173,1
A11,A32,A101,1,A173,1
A13,A32,A101,1,A173,1
A14,A32,A103,1,A173,1
A11,A32,A101,1,A172,1
A14,A32,A101,1,A173,1
A14,A34,A101,2,A172,1
A12,A32,A101,1,A171,1
A14,A32,A101,1,A173,1
A14,A34,A101,1,A171,1
A14,A32,A101,2,A173,1
A11,A30,A103,2,A173,1
A14,A32,A101,1,A172,1
A14,A34,A102,2,A173,1
A14,A33,A101,2,A173,1
A14,A32,A101,1,A173,1
A11,A34,A101,2,A173,1
A12,A32,A103,1,A172,1
A14,A34,A101,2,A172,1
A11,A34,A101,3,A174,1
A14,A32,A101,1,A173,1
A12,A34,A101,2,A173,1
A12,A32,A101,1,A172,1
A13,A31,A101,1,A172,1
A14,A34,A101,2,A173,1
A14,A33,A101,2,A172,1
A14,A32,A101,1,A172,1
A14,A32,A101,2,A172,1
A12,A34,A101,1,A173,1
A14,A32,A101,4,A173,1
A12,A32,A101,1,A173,1
A14,A34,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A11,A34,A101,2,A174,1
A11,A32,A101,1,A173,1
A13,A32,A101,1,A173,1
A13,A32,A101,1,A174,1
A14,A34,A101,2,A174,1
A11,A31,A101,1,A173,1
A12,A32,A103,1,A173,1
A14,A34,A101,1,A173,1
A11,A34,A101,2,A172,1
A14,A34,A101,2,A174,1
A12,A33,A101,1,A174,1
A14,A34,A101,3,A173,1
A14,A32,A101,1,A173,1
A14,A34,A101,1,A172,1
A12,A32,A101,1,A172,1
A12,A33,A101,2,A174,1
A12,A32,A101,1,A174,1
A14,A34,A101,2,A172,1
A12,A32,A101,1,A173,1
A11,A34,A101,2,A173,1
A14,A32,A101,2,A173,1
A14,A30,A101,1,A172,1
A12,A32,A101,1,A173,1
A14,A34,A101,2,A172,1
A11,A32,A101,1,A173,1
A14,A34,A101,3,A172,1
A14,A32,A101,1,A172,1
A14,A32,A101,1,A173,1
A14,A33,A101,1,A174,1
A14,A31,A103,2,A173,1
A12,A32,A101,1,A174,1
A14,A33,A101,2,A173,1
A14,A32,A101,1,A172,1
A14,A34,A101,2,A173,1
A14,A31,A101,1,A172,1
A14,A34,A101,2,A173,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A172,1
A12,A32,A101,1,A173,1
A11,A34,A101,2,A173,1
A14,A32,A101,1,A172,1
A12,A34,A101,2,A174,1
A12,A34,A101,1,A173,1
A13,A34,A101,2,A173,1
A11,A32,A103,1,A172,1
A14,A34,A101,1,A173,1
A11,A34,A101,2,A173,1
A13,A32,A101,1,A171,1
A11,A34,A101,2,A172,1
A11,A32,A101,1,A172,1
A11,A34,A101,2,A173,1
A11,A32,A101,1,A172,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A173,1
A12,A32,A103,1,A172,1
A14,A34,A101,1,A173,1
A14,A34,A101,2,A172,1
A13,A32,A101,1,A174,1
A12,A32,A101,1,A172,1
A14,A34,A101,2,A173,1
A12,A32,A101,1,A173,1
A12,A34,A101,3,A172,1
A14,A34,A101,4,A173,1
A14,A31,A101,1,A173,1
A12,A33,A101,1,A172,1
A12,A34,A101,1,A173,1
A12,A33,A101,1,A174,1
A12,A32,A101,1,A171,1
A11,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A12,A32,A103,1,A173,1
A14,A32,A101,1,A174,1
A14,A32,A101,1,A173,1
A14,A34,A101,1,A173,1
A11,A32,A101,1,A173,1
A13,A34,A101,2,A173,1
A14,A32,A101,1,A173,1
A12,A30,A101,2,A173,1
A14,A34,A101,2,A173,1
A14,A32,A101,1,A173,1
A14,A32,A103,1,A173,1
A13,A32,A101,1,A173,1
A14,A34,A101,2,A173,1
A12,A32,A103,1,A172,1
A12,A33,A101,2,A173,1
A12,A32,A101,1,A173,1
A12,A32,A101,1,A173,1
A12,A32,A101,1,A174,1
A14,A32,A101,1,A173,1
A12,A32,A101,1,A172,1
A14,A34,A101,2,A173,1
A12,A32,A103,1,A173,1
A11,A32,A101,1,A174,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A172,1
A14,A34,A101,3,A173,1
A12,A30,A101,2,A173,1
A14,A31,A101,1,A172,1
A14,A32,A101,1,A173,1
A11,A32,A101,1,A173,1
A14,A32,A101,1,A172,1
A11,A34,A103,2,A173,1
A11,A34,A101,2,A173,1
A12,A32,A101,1,A173,1
A12,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A13,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A12,A32,A101,1,A173,1
A12,A32,A101,1,A173,1
A11,A34,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A174,1
A14,A32,A101,1,A173,1
A13,A34,A101,2,A173,1
A11,A32,A101,1,A174,1
A11,A32,A101,1,A172,1
A11,A32,A101,1,A172,1
A12,A31,A101,1,A171,1
A11,A32,A101,1,A174,1
A12,A33,A101,2,A173,1
A11,A34,A101,3,A173,1
A14,A34,A101,1,A173,1
A11,A32,A101,1,A174,1
A14,A32,A101,2,A173,1
A14,A34,A101,1,A173,1
A14,A32,A101,1,A172,1
A14,A32,A101,1,A173,1
A11,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A11,A32,A101,1,A173,1
A11,A32,A101,1,A171,1
A14,A32,A101,1,A173,1
A14,A34,A101,2,A173,1
A14,A34,A101,2,A174,1
A14,A34,A103,2,A173,1
A11,A32,A101,1,A173,1
A11,A34,A101,2,A173,1
A11,A34,A101,2,A172,1
A11,A32,A101,1,A173,1
A12,A32,A101,1,A173,1
A14,A32,A101,1,A173,1
A11,A32,A101,1,A173,1
A11,A32,A101,1,A172,1
A12,A33,A101,2,A173,1
A13,A32,A101,1,A173,1
A13,A32,A101,1,A173,1
A12,A34,A101,2,A172,1
A14,A32,A101,1,A173,1
A14,A34,A101,2,A171,1
A11,A32,A101,1,A174,1
A12,A33,A101,1,A172,1
A12,A32,A103,1,A172,1
