@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-6,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,36,A41,6948,A61,1,1
A12,12,A40,1295,A61,1,2
A11,48,A49,4308,A61,1,2
A11,24,A40,1199,A61,1,2
A14,24,A43,3430,A63,2,1
A14,12,A49,1264,A65,1,1
A12,36,A49,1953,A61,1,2
A14,12,A43,2171,A61,1,1
A11,24,A410,1755,A61,1,1
A14,12,A49,1412,A61,1,1
A11,12,A45,1108,A61,1,2
A12,24,A410,11938,A61,2,2
A13,15,A46,392,A61,1,1
A12,12,A43,766,A63,1,2
A11,12,A48,339,A61,1,1
A14,24,A43,2872,A62,2,1
A14,6,A42,2978,A63,1,1
A14,24,A42,3972,A61,1,1
A11,6,A43,338,A63,1,1
A14,36,A49,9572,A61,1,2
A12,16,A40,1175,A61,1,1
A11,12,A43,674,A62,1,2
A12,18,A42,3244,A61,1,1
A14,6,A43,1382,A61,1,1
A14,9,A46,936,A63,1,1
A11,12,A48,902,A61,1,2
A14,12,A41,1413,A64,1,1
A14,15,A41,4657,A61,1,1
A14,9,A43,1478,A61,1,2
A14,9,A40,2507,A63,1,1
A11,24,A40,915,A65,1,2
A14,12,A49,1185,A61,1,1
A12,9,A42,2030,A65,1,1
A14,10,A40,1231,A61,2,1
A12,48,A40,12169,A65,1,1
A11,12,A42,1262,A65,1,1
A14,24,A43,1901,A62,1,1
A12,21,A42,2745,A64,1,1
A12,8,A42,1237,A61,1,2
A14,24,A42,5511,A62,1,1
A14,18,A40,1028,A61,1,1
A12,13,A43,882,A61,1,1
A11,12,A43,6199,A61,1,2
A13,12,A40,2247,A61,1,1
A14,36,A40,3079,A65,1,1
A14,60,A40,13756,A65,1,1
A12,60,A410,14782,A62,1,2
A13,12,A40,1330,A61,1,1
A12,15,A49,2326,A63,1,1
A14,9,A49,1449,A61,1,1
A12,12,A40,958,A61,2,1
A14,24,A45,2058,A61,1,1
A12,48,A42,5096,A61,1,2
A14,24,A41,2670,A61,1,1
A14,18,A49,1950,A61,1,1
A14,24,A41,4679,A61,1,1
A11,6,A46,448,A61,1,2
A12,12,A43,3573,A61,1,1
A14,12,A43,3077,A61,1,1
A14,6,A40,3518,A61,1,1
A11,36,A41,5493,A61,2,1
A11,6,A40,609,A61,1,1
A14,6,A43,700,A65,1,1
A12,18,A43,1113,A61,2,1
A12,36,A46,2273,A61,2,1
A11,24,A40,1333,A61,2,2
A12,12,A43,1331,A61,1,2
A14,15,A42,2788,A61,1,1
A14,24,A48,937,A61,1,1
A14,12,A40,2133,A65,1,1
A12,24,A49,4241,A61,1,2
A14,24,A49,3863,A61,1,1
A13,10,A42,1275,A61,1,1
A11,24,A42,2828,A63,1,1
A14,9,A46,3832,A65,1,1
A11,24,A43,3660,A61,1,1
A14,12,A43,1493,A61,2,1
A14,24,A41,2346,A61,1,1
A13,6,A46,1047,A61,1,1
A11,12,A40,4843,A61,1,2
A13,15,A46,1905,A61,1,1
A11,48,A41,6331,A61,1,2
A12,60,A40,14027,A61,1,2
A14,18,A43,1505,A61,1,1
A12,20,A41,6148,A62,1,1
A14,15,A43,1316,A63,1,1
A13,24,A49,1275,A64,1,1
A12,36,A44,3990,A65,1,1
A14,21,A43,3160,A65,1,1
A14,10,A41,2901,A65,1,1
A12,12,A42,3617,A61,1,1
A13,12,A40,1480,A63,1,1
A11,24,A40,1371,A65,1,2
A14,22,A43,2675,A63,1,1
A12,48,A410,18424,A61,1,2
A11,24,A42,3345,A61,1,2
A12,30,A43,1919,A62,1,2
A12,60,A46,6288,A61,1,2
A14,24,A43,3621,A62,1,2
A12,30,A42,8386,A61,1,2
