@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,5,18,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditAmount numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A12,24,12579,1,2
A12,12,1804,1,1
A12,18,5866,1,1
A14,30,2333,1,1
A11,48,6143,1,2
A14,36,2299,1,1
A12,24,2333,1,1
A12,27,5965,1,1
A14,12,1262,1,1
A14,6,783,2,1
A12,11,4771,1,1
A12,30,3832,1,1
A12,12,1318,1,1
A14,12,2012,1,1
A12,15,2728,1,1
A11,18,2462,1,2
A14,12,682,1,1
A14,10,1924,1,1
A14,6,1898,2,1
A12,10,7308,1,1
A11,18,1131,1,2
A14,24,4591,1,2
A12,45,3031,1,2
A11,12,1200,1,1
A14,36,2613,1,1
A12,48,10961,1,2
A12,60,7418,1,1
A14,24,2684,1,1
A14,36,6304,1,1
A11,30,11998,1,2
A14,18,2404,1,1
A12,24,3878,1,1
A14,6,1543,1,1
A11,15,3643,1,1
A11,8,3398,1,1
A11,24,6615,1,1
A14,18,1864,1,2
A11,24,4110,2,2
A14,9,1236,1,1
A13,12,3399,1,1
A14,6,362,1,1
A12,18,7374,1,1
A11,36,2348,1,1
A12,18,2899,2,1
A11,18,8471,1,1
A14,21,1591,1,1
A12,18,2779,1,1
A14,36,11054,1,1
A11,12,3386,1,2
A14,6,1238,2,1
A14,24,3757,1,1
A14,24,1585,1,1
A12,18,1301,1,1
A12,12,585,1,1
A12,15,2631,1,2
A14,24,2022,1,1
A14,12,996,1,1
A12,24,1553,1,1
A11,15,806,1,1
A11,24,1442,1,2
A12,36,2671,1,2
A12,30,3441,1,2
A12,9,1437,1,2
A14,60,15653,1,1
A12,15,1308,1,1
A14,24,1851,1,1
A14,21,2241,1,1
A14,6,2080,1,1
A14,6,1538,1,1
A14,12,2279,1,1
A13,10,1347,1,1
A12,10,1048,1,1
A11,12,1274,1,2
A14,15,3029,1,1
A14,12,1555,2,2
A14,21,12680,1,2
A14,12,1655,1,1
A11,36,8065,1,2
A14,36,3535,1,1
A11,40,5998,1,2
A14,6,1221,1,1
A11,20,4272,1,1
A14,12,930,1,1
A11,36,9629,1,2
A13,15,2327,1,2
A14,21,2993,1,1
A14,18,6761,1,2
A14,24,1474,1,1
A11,24,2439,1,2
A12,11,1322,1,1
A11,18,1940,1,1
A12,24,4057,1,2
A12,9,3195,1,1
A12,30,2991,1,1
A11,6,14896,1,2
A11,18,1049,1,1
A11,24,1747,1,1
A12,24,4113,1,2
A12,27,2520,1,2
A11,36,8229,2,2
