@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2,6,18-19,21'

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
10,A61,2,A191,1
7,A61,1,A191,1
45,A61,1,A191,2
7,A65,1,A192,1
18,A61,1,A191,1
12,A61,1,A191,1
6,A61,1,A191,1
12,A65,1,A192,1
42,A65,1,A192,2
12,A61,1,A191,1
48,A65,1,A191,1
48,A62,1,A191,1
21,A61,1,A191,2
6,A61,1,A191,1
24,A65,1,A192,1
12,A61,1,A191,1
30,A61,2,A192,1
36,A65,1,A192,1
36,A65,1,A192,1
6,A65,1,A191,1
10,A61,1,A192,1
12,A61,1,A191,1
6,A62,1,A191,1
30,A61,1,A191,2
15,A62,1,A192,1
12,A61,1,A191,1
15,A61,2,A191,2
12,A61,1,A192,1
48,A65,2,A191,1
10,A65,1,A191,1
24,A65,2,A191,2
12,A62,1,A192,2
15,A65,1,A191,2
10,A61,2,A191,1
24,A63,1,A191,1
6,A61,1,A191,1
20,A65,1,A192,1
18,A61,1,A192,2
30,A62,1,A191,1
24,A64,1,A191,1
36,A61,1,A192,2
24,A61,1,A192,2
12,A65,1,A191,1
48,A65,2,A191,1
24,A61,1,A191,1
27,A61,1,A192,2
24,A65,1,A191,2
6,A62,2,A192,1
9,A62,1,A191,1
15,A62,1,A191,1
24,A65,1,A191,1
18,A61,1,A192,1
24,A61,2,A191,1
24,A65,1,A192,1
12,A61,2,A191,1
12,A61,1,A192,1
6,A62,1,A191,2
21,A61,1,A191,1
18,A61,1,A191,2
24,A61,1,A192,2
42,A61,2,A192,2
21,A63,2,A191,2
24,A61,1,A192,1
18,A61,1,A191,1
21,A65,1,A192,1
30,A65,2,A192,1
27,A61,1,A191,2
48,A61,1,A191,2
18,A62,2,A192,1
6,A61,1,A192,1
24,A65,1,A191,2
12,A61,1,A191,1
24,A63,1,A192,1
12,A65,1,A191,1
36,A61,1,A192,2
42,A61,1,A192,1
15,A61,1,A191,2
48,A61,1,A191,2
36,A61,1,A191,1
21,A61,1,A192,1
36,A65,1,A191,2
24,A63,2,A192,1
18,A61,1,A191,2
12,A61,1,A191,2
10,A61,1,A191,2
12,A61,1,A192,2
48,A61,2,A192,2
6,A61,1,A191,1
30,A65,1,A191,1
15,A61,1,A192,1
11,A61,2,A191,1
15,A62,1,A191,1
24,A63,1,A191,1
18,A65,1,A191,1
24,A61,1,A191,1
42,A61,1,A191,1
12,A65,2,A191,1
15,A62,2,A191,1
36,A61,1,A192,1
30,A61,1,A192,1
