@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,10,12,17,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Guarantors {A101,A103,A102}
@attribute Property {A121,A122,A124,A123}
@attribute Job {A173,A172,A174,A171}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,A101,A121,A173,A192,1
A14,A101,A122,A173,A191,1
A14,A101,A123,A172,A191,1
A13,A101,A123,A173,A192,1
A12,A101,A121,A173,A191,1
A12,A103,A121,A173,A192,1
A14,A101,A122,A173,A191,1
A11,A101,A124,A174,A191,1
A14,A101,A122,A173,A192,1
A14,A101,A121,A173,A191,1
A14,A101,A122,A172,A191,2
A14,A101,A121,A173,A192,2
A12,A101,A123,A173,A191,2
A14,A101,A122,A172,A191,1
A14,A101,A121,A173,A192,1
A13,A101,A123,A173,A191,1
A12,A101,A123,A174,A192,1
A12,A101,A123,A173,A192,1
A12,A101,A122,A174,A192,2
A14,A101,A121,A172,A191,1
A12,A101,A122,A173,A191,1
A12,A103,A121,A172,A191,1
A11,A101,A124,A173,A191,1
A14,A101,A122,A173,A191,1
A14,A101,A121,A172,A191,1
A14,A101,A121,A173,A191,1
A13,A101,A121,A173,A191,1
A14,A101,A122,A173,A191,1
A11,A101,A124,A173,A191,2
A14,A101,A121,A172,A191,1
A14,A101,A124,A173,A192,1
A13,A101,A123,A172,A191,1
A12,A101,A124,A171,A192,1
A11,A101,A123,A173,A191,2
A11,A101,A124,A174,A192,1
A12,A101,A124,A173,A192,1
A12,A101,A121,A173,A191,1
A12,A102,A121,A174,A192,1
A12,A101,A124,A173,A191,2
A14,A101,A123,A174,A192,2
A11,A101,A121,A173,A191,2
A14,A101,A123,A173,A191,1
A14,A101,A123,A173,A192,1
A14,A101,A121,A173,A192,1
A12,A101,A123,A173,A192,1
A12,A101,A122,A173,A191,2
A12,A101,A122,A173,A192,2
A12,A102,A123,A174,A192,2
A12,A101,A121,A173,A192,2
A14,A101,A121,A172,A191,1
A14,A101,A123,A174,A192,1
A14,A101,A123,A172,A191,2
A14,A101,A121,A173,A191,1
A12,A101,A123,A173,A191,2
A12,A101,A121,A172,A191,1
A14,A101,A122,A173,A191,1
A12,A101,A122,A173,A191,1
A11,A101,A121,A172,A191,1
A12,A102,A124,A174,A192,2
A11,A101,A122,A173,A191,2
A12,A101,A124,A173,A191,2
A14,A101,A122,A173,A191,1
A14,A101,A122,A173,A192,2
A11,A101,A122,A173,A192,1
A11,A101,A121,A173,A191,2
A11,A101,A123,A173,A191,2
A11,A101,A121,A172,A192,1
A12,A101,A121,A173,A191,2
A14,A101,A121,A172,A191,1
A11,A103,A121,A173,A192,2
A12,A101,A121,A172,A191,2
A14,A101,A123,A173,A191,1
A11,A101,A121,A172,A192,2
A12,A101,A123,A172,A191,1
A11,A101,A121,A172,A192,2
A11,A101,A123,A174,A192,2
A11,A101,A122,A173,A191,2
A11,A101,A123,A173,A191,1
A12,A101,A123,A174,A192,1
A11,A101,A121,A171,A191,2
A14,A101,A122,A173,A191,2
A11,A101,A124,A173,A191,1
A14,A101,A124,A173,A192,1
A12,A101,A122,A172,A192,1
A11,A101,A121,A172,A191,1
A12,A101,A121,A172,A191,1
A14,A101,A121,A173,A191,1
A11,A101,A123,A173,A191,1
A14,A101,A123,A174,A192,1
A13,A101,A124,A173,A191,1
A12,A103,A121,A172,A191,1
A12,A101,A124,A173,A192,1
A14,A101,A121,A172,A191,1
A14,A101,A121,A173,A191,1
A14,A101,A123,A173,A192,1
A13,A101,A121,A173,A191,1
A11,A101,A121,A173,A192,1
A14,A101,A121,A173,A192,1
A12,A101,A122,A172,A191,1
A14,A101,A121,A172,A191,1
