@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-4,6,14,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A14,36,A34,A43,A61,A142,1
A13,18,A32,A40,A61,A143,1
A14,24,A32,A43,A61,A143,1
A12,12,A32,A40,A64,A143,1
A14,36,A32,A46,A61,A142,2
A12,36,A32,A46,A62,A143,2
A13,24,A34,A42,A65,A143,1
A11,24,A32,A42,A65,A143,1
A14,27,A33,A41,A64,A143,1
A11,27,A32,A43,A61,A143,1
A12,11,A32,A42,A64,A143,1
A12,12,A32,A42,A62,A141,2
A11,27,A30,A49,A61,A142,2
A13,12,A32,A42,A61,A143,1
A14,12,A32,A42,A61,A143,1
A14,15,A34,A42,A65,A143,1
A12,48,A33,A410,A62,A143,1
A14,12,A32,A41,A65,A143,1
A14,6,A32,A40,A61,A143,1
A14,48,A34,A40,A63,A141,2
A12,9,A32,A40,A61,A143,1
A12,12,A32,A40,A61,A141,2
A12,30,A34,A40,A61,A143,2
A11,24,A32,A42,A61,A143,1
A12,9,A32,A42,A61,A143,2
A12,36,A32,A40,A61,A143,2
A14,24,A33,A49,A61,A141,2
A14,24,A34,A41,A65,A143,1
A12,12,A32,A41,A65,A143,1
A13,12,A32,A42,A65,A143,1
A14,18,A32,A43,A61,A143,1
A11,36,A32,A42,A61,A143,1
A11,9,A32,A40,A61,A143,2
A11,30,A32,A42,A64,A143,1
A14,10,A32,A40,A62,A143,1
A14,24,A32,A40,A65,A143,1
A11,6,A34,A40,A61,A143,1
A11,48,A32,A40,A61,A141,2
A13,18,A32,A42,A61,A142,1
A11,30,A32,A42,A65,A143,2
A11,48,A32,A43,A61,A143,2
A12,24,A32,A40,A61,A143,2
A14,15,A32,A41,A65,A141,1
A14,48,A32,A49,A65,A141,2
A11,12,A32,A42,A61,A143,1
A11,18,A32,A43,A61,A143,2
A11,18,A34,A43,A61,A143,1
A11,12,A32,A46,A61,A143,2
A13,12,A32,A43,A61,A143,1
A12,30,A31,A42,A64,A142,1
A14,48,A31,A49,A61,A142,1
A12,72,A32,A43,A62,A143,2
A12,30,A33,A49,A62,A142,1
A12,27,A32,A49,A61,A143,1
A12,12,A30,A42,A61,A143,2
A11,6,A31,A46,A61,A143,2
A14,24,A32,A41,A64,A143,1
A14,6,A34,A40,A61,A143,1
A11,12,A34,A40,A61,A143,2
A14,15,A34,A40,A65,A143,1
A11,30,A32,A42,A61,A143,2
A11,24,A32,A41,A65,A143,1
A12,9,A32,A40,A65,A143,1
A12,18,A34,A43,A61,A141,1
A14,12,A34,A43,A65,A143,1
A12,6,A32,A43,A61,A143,1
A12,8,A32,A49,A61,A143,1
A14,6,A34,A43,A61,A143,1
A11,8,A34,A40,A61,A143,1
A14,18,A34,A42,A61,A143,1
A12,24,A32,A43,A65,A143,1
A11,12,A30,A40,A61,A141,2
A14,18,A32,A42,A61,A141,1
A14,24,A34,A41,A65,A143,1
A14,10,A32,A48,A65,A143,1
A14,15,A34,A42,A61,A143,1
A14,24,A34,A41,A64,A143,1
A11,18,A32,A43,A61,A142,1
A14,36,A32,A49,A65,A143,1
A11,12,A32,A42,A61,A143,1
A14,30,A34,A43,A65,A143,1
A14,18,A34,A43,A61,A143,1
A14,18,A34,A43,A65,A143,1
A11,21,A32,A43,A61,A143,1
A14,15,A32,A42,A65,A141,1
A14,36,A34,A41,A65,A143,1
A11,21,A32,A40,A65,A143,1
A14,15,A33,A41,A61,A143,1
A14,11,A32,A49,A64,A143,1
A11,24,A31,A42,A61,A141,2
A14,9,A34,A40,A61,A143,1
A11,24,A31,A42,A63,A143,2
A11,28,A32,A40,A61,A143,2
A14,15,A32,A40,A65,A143,1
A14,42,A32,A43,A65,A143,1
A11,24,A31,A40,A61,A143,2
A11,60,A32,A49,A61,A143,2
A14,13,A32,A43,A62,A143,1
A11,45,A32,A43,A61,A143,2
A12,45,A34,A41,A62,A143,1
