@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,5,8,13,16,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,6948,2,35,1,A192,1
A12,1295,3,25,1,A191,2
A11,4308,3,24,1,A191,2
A11,1199,4,60,2,A191,2
A14,3430,3,31,1,A192,1
A14,1264,4,57,1,A191,1
A12,1953,4,61,1,A192,2
A14,2171,2,29,1,A191,1
A11,1755,4,58,1,A192,1
A14,1412,4,29,2,A192,1
A11,1108,4,28,2,A191,2
A12,11938,2,39,2,A192,2
A13,392,4,23,1,A192,1
A12,766,4,66,1,A191,2
A11,339,4,45,1,A191,1
A14,2872,3,36,1,A192,1
A14,2978,1,32,1,A192,1
A14,3972,2,25,1,A192,1
A11,338,4,52,2,A191,1
A14,9572,1,28,2,A191,2
A12,1175,2,68,3,A192,1
A11,674,4,20,1,A191,2
A12,3244,1,33,2,A192,1
A14,1382,1,28,2,A192,1
A14,936,4,52,2,A192,1
A11,902,4,21,1,A191,2
A14,1413,3,55,1,A191,1
A14,4657,3,30,1,A192,1
A14,1478,4,22,1,A191,2
A14,2507,2,51,1,A191,1
A11,915,4,29,1,A191,2
A14,1185,3,27,2,A191,1
A12,2030,2,24,1,A192,1
A14,1231,3,32,2,A191,1
A12,12169,4,36,1,A192,1
A11,1262,2,49,1,A192,1
A14,1901,4,29,1,A192,1
A12,2745,3,32,2,A192,1
A12,1237,3,24,1,A191,2
A14,5511,4,25,1,A191,1
A14,1028,4,36,2,A191,1
A12,882,4,23,2,A191,1
A11,6199,4,28,2,A192,2
A13,2247,2,36,2,A192,1
A14,3079,4,36,1,A191,1
A14,13756,2,63,1,A192,1
A12,14782,3,60,2,A192,2
A13,1330,4,26,1,A191,1
A12,2326,2,27,1,A191,1
A14,1449,3,27,2,A191,1
A12,958,2,47,2,A191,1
A14,2058,4,33,2,A192,1
A12,5096,2,30,1,A192,2
A14,2670,4,35,1,A192,1
A14,1950,4,34,2,A192,1
A14,4679,3,35,2,A192,1
A11,448,4,23,1,A191,2
A12,3573,1,23,1,A191,1
A14,3077,2,52,1,A192,1
A14,3518,2,26,1,A191,1
A11,5493,2,42,1,A191,1
A11,609,4,37,2,A191,1
A14,700,4,36,2,A191,1
A12,1113,4,26,1,A191,1
A12,2273,3,32,2,A191,1
A11,1333,4,43,2,A191,2
A12,1331,2,22,1,A191,2
A14,2788,2,24,2,A191,1
A14,937,4,27,2,A191,1
A14,2133,4,52,1,A192,1
A12,4241,1,36,3,A192,2
A14,3863,1,32,1,A191,1
A13,1275,4,23,1,A191,1
A11,2828,4,22,1,A192,1
A14,3832,1,64,1,A191,1
A11,3660,2,28,1,A191,1
A14,1493,4,34,1,A191,1
A14,2346,4,35,2,A192,1
A13,1047,2,50,1,A191,1
A11,4843,3,43,2,A192,2
A13,1905,4,40,1,A192,1
A11,6331,4,46,2,A192,2
A12,14027,4,27,1,A192,2
A14,1505,4,32,1,A192,1
A12,6148,3,31,2,A192,1
A14,1316,2,47,2,A191,1
A13,1275,2,36,2,A192,1
A12,3990,3,29,1,A191,1
A14,3160,4,41,1,A192,1
A14,2901,1,31,1,A191,1
A12,3617,1,28,3,A192,1
A13,1480,2,66,3,A191,1
A11,1371,4,25,1,A191,2
A14,2675,3,40,1,A191,1
A12,18424,1,32,1,A192,2
A11,3345,4,39,1,A192,2
A12,1919,4,30,2,A191,2
A12,6288,4,42,1,A191,2
A14,3621,2,31,2,A191,2
A12,8386,2,49,1,A191,2
