@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,6,12-13,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,A65,A123,25,A191,1
A11,A61,A121,36,A192,1
A11,A61,A124,63,A192,2
A11,A61,A123,27,A191,1
A12,A61,A121,27,A192,1
A14,A62,A122,24,A191,1
A12,A61,A121,36,A191,1
A14,A61,A124,39,A192,2
A11,A63,A121,35,A191,1
A11,A63,A123,23,A191,2
A11,A61,A121,25,A192,2
A11,A61,A122,29,A192,2
A12,A61,A124,30,A192,1
A14,A61,A122,23,A192,1
A14,A62,A124,42,A192,1
A12,A61,A121,31,A192,2
A14,A61,A123,31,A192,1
A14,A61,A122,31,A191,1
A14,A65,A121,33,A191,1
A12,A65,A122,23,A192,2
A11,A61,A124,36,A192,1
A14,A63,A123,37,A192,1
A11,A61,A121,35,A192,1
A13,A61,A123,26,A191,1
A11,A61,A122,38,A191,1
A11,A64,A123,28,A191,1
A14,A64,A123,34,A192,1
A12,A61,A123,28,A191,1
A11,A61,A123,26,A191,1
A14,A62,A121,34,A191,1
A12,A61,A121,23,A191,2
A11,A61,A123,22,A191,1
A14,A61,A123,25,A191,1
A11,A61,A124,55,A191,1
A13,A63,A121,28,A192,2
A14,A63,A124,40,A191,1
A11,A61,A124,55,A191,2
A11,A61,A124,36,A192,1
A13,A61,A121,26,A191,2
A12,A64,A122,61,A191,2
A11,A61,A124,63,A192,1
A12,A61,A122,26,A191,1
A14,A61,A124,32,A192,1
A14,A62,A123,23,A191,1
A14,A61,A121,41,A191,1
A14,A62,A122,26,A192,1
A11,A65,A122,75,A192,1
A14,A61,A124,60,A192,1
A14,A65,A124,35,A192,1
A11,A61,A123,27,A191,2
A11,A65,A124,49,A192,1
A11,A61,A123,24,A191,2
A12,A65,A124,37,A192,2
A12,A65,A123,41,A192,1
A12,A61,A121,27,A191,1
A12,A61,A124,33,A191,2
A11,A61,A121,20,A191,2
A11,A61,A122,60,A191,2
A12,A61,A121,45,A191,1
A14,A61,A123,28,A192,2
A11,A61,A123,22,A191,1
A14,A62,A122,40,A192,2
A11,A61,A121,45,A191,2
A14,A61,A123,33,A192,1
A11,A61,A122,25,A191,1
A12,A61,A121,29,A191,1
A12,A61,A123,23,A191,2
A11,A65,A122,30,A192,1
A14,A62,A122,27,A192,1
A12,A61,A121,40,A191,1
A11,A61,A121,25,A191,1
A12,A62,A122,23,A191,2
A12,A64,A122,35,A192,1
A12,A61,A122,39,A191,2
A11,A61,A121,26,A191,2
A11,A61,A122,41,A191,2
A11,A61,A121,33,A192,2
A11,A61,A123,23,A192,2
A11,A61,A123,29,A191,2
A14,A61,A122,42,A191,1
A14,A65,A121,24,A191,1
A11,A61,A124,27,A192,2
A14,A61,A123,38,A192,1
A12,A65,A121,36,A191,1
A14,A61,A123,34,A192,1
A11,A61,A122,38,A191,1
A14,A65,A121,44,A192,1
A14,A61,A121,36,A192,1
A11,A61,A121,20,A192,1
A14,A62,A121,32,A191,1
A14,A63,A123,37,A192,1
A14,A65,A122,46,A192,1
A14,A65,A122,45,A192,1
A14,A61,A121,31,A191,1
A14,A61,A121,42,A191,1
A12,A63,A123,30,A191,1
A14,A65,A124,38,A192,1
A11,A64,A122,57,A192,1
A12,A62,A124,30,A191,1
A14,A61,A123,33,A192,1
