@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,8,14,16,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute InstallmentRate numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A12,36,2,A143,1,A192,1
A12,12,3,A143,1,A191,2
A11,48,3,A143,1,A191,2
A11,24,4,A143,2,A191,2
A14,24,3,A143,1,A192,1
A14,12,4,A143,1,A191,1
A12,36,4,A143,1,A192,2
A14,12,2,A141,1,A191,1
A11,24,4,A143,1,A192,1
A14,12,4,A143,2,A192,1
A11,12,4,A143,2,A191,2
A12,24,2,A143,2,A192,2
A13,15,4,A143,1,A192,1
A12,12,4,A143,1,A191,2
A11,12,4,A141,1,A191,1
A14,24,3,A143,1,A192,1
A14,6,1,A143,1,A192,1
A14,24,2,A143,1,A192,1
A11,6,4,A143,2,A191,1
A14,36,1,A143,2,A191,2
A12,16,2,A143,3,A192,1
A11,12,4,A143,1,A191,2
A12,18,1,A141,2,A192,1
A14,6,1,A143,2,A192,1
A14,9,4,A143,2,A192,1
A11,12,4,A143,1,A191,2
A14,12,3,A143,1,A191,1
A14,15,3,A143,1,A192,1
A14,9,4,A143,1,A191,2
A14,9,2,A143,1,A191,1
A11,24,4,A141,1,A191,2
A14,12,3,A143,2,A191,1
A12,9,2,A143,1,A192,1
A14,10,3,A143,2,A191,1
A12,48,4,A143,1,A192,1
A11,12,2,A143,1,A192,1
A14,24,4,A143,1,A192,1
A12,21,3,A143,2,A192,1
A12,8,3,A143,1,A191,2
A14,24,4,A142,1,A191,1
A14,18,4,A143,2,A191,1
A12,13,4,A143,2,A191,1
A11,12,4,A143,2,A192,2
A13,12,2,A142,2,A192,1
A14,36,4,A143,1,A191,1
A14,60,2,A141,1,A192,1
A12,60,3,A141,2,A192,2
A13,12,4,A143,1,A191,1
A12,15,2,A141,1,A191,1
A14,9,3,A143,2,A191,1
A12,12,2,A143,2,A191,1
A14,24,4,A143,2,A192,1
A12,48,2,A143,1,A192,2
A14,24,4,A143,1,A192,1
A14,18,4,A142,2,A192,1
A14,24,3,A143,2,A192,1
A11,6,4,A143,1,A191,2
A12,12,1,A143,1,A191,1
A14,12,2,A143,1,A192,1
A14,6,2,A143,1,A191,1
A11,36,2,A143,1,A191,1
A11,6,4,A143,2,A191,1
A14,6,4,A143,2,A191,1
A12,18,4,A143,1,A191,1
A12,36,3,A143,2,A191,1
A11,24,4,A143,2,A191,2
A12,12,2,A142,1,A191,2
A14,15,2,A141,2,A191,1
A14,24,4,A143,2,A191,1
A14,12,4,A143,1,A192,1
A12,24,1,A143,3,A192,2
A14,24,1,A143,1,A191,1
A13,10,4,A143,1,A191,1
A11,24,4,A142,1,A192,1
A14,9,1,A143,1,A191,1
A11,24,2,A143,1,A191,1
A14,12,4,A143,1,A191,1
A14,24,4,A143,2,A192,1
A13,6,2,A143,1,A191,1
A11,12,3,A143,2,A192,2
A13,15,4,A143,1,A192,1
A11,48,4,A143,2,A192,2
A12,60,4,A143,1,A192,2
A14,18,4,A143,1,A192,1
A12,20,3,A141,2,A192,1
A14,15,2,A143,2,A191,1
A13,24,2,A143,2,A192,1
A12,36,3,A141,1,A191,1
A14,21,4,A143,1,A192,1
A14,10,1,A143,1,A191,1
A12,12,1,A143,3,A192,1
A13,12,2,A141,3,A191,1
A11,24,4,A143,1,A191,2
A14,22,3,A143,1,A191,1
A12,48,1,A141,1,A192,2
A11,24,4,A143,1,A192,2
A12,30,4,A142,2,A191,2
A12,60,4,A143,1,A191,2
A14,24,2,A143,2,A191,2
A12,30,2,A143,1,A191,2
