@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Housing {A152,A153,A151}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,A32,2,A152,A201,1
A14,A34,3,A152,A202,1
A12,A32,4,A152,A201,1
A14,A32,1,A152,A201,1
A14,A32,3,A151,A202,1
A13,A34,2,A152,A201,1
A14,A34,4,A152,A201,1
A13,A32,4,A153,A201,1
A11,A32,4,A153,A201,1
A14,A32,2,A153,A201,1
A14,A34,4,A152,A201,1
A13,A33,2,A152,A201,1
A14,A31,1,A152,A201,1
A11,A34,2,A151,A201,1
A14,A31,4,A152,A201,1
A12,A32,1,A151,A201,1
A12,A32,1,A151,A201,1
A14,A32,1,A151,A201,1
A11,A32,2,A152,A201,1
A12,A32,2,A152,A201,1
A14,A32,1,A153,A201,1
A12,A34,4,A152,A201,1
A12,A32,1,A151,A201,1
A14,A32,3,A152,A201,1
A14,A32,2,A151,A201,1
A14,A32,2,A152,A201,1
A11,A32,2,A153,A201,1
A11,A32,2,A152,A201,1
A12,A32,3,A152,A201,1
A11,A32,2,A152,A201,1
A14,A32,3,A151,A201,1
A12,A32,4,A153,A201,1
A14,A32,3,A152,A201,1
A14,A34,4,A152,A201,1
A11,A31,4,A152,A201,1
A14,A34,2,A152,A201,1
A12,A34,4,A152,A201,1
A12,A32,3,A152,A201,1
A14,A34,4,A152,A201,1
A14,A32,1,A152,A201,1
A12,A31,4,A153,A201,1
A14,A32,4,A151,A201,1
A13,A31,4,A152,A201,1
A11,A31,3,A153,A201,1
A13,A34,2,A153,A201,1
A14,A34,3,A152,A201,1
A11,A34,4,A152,A201,1
A14,A32,3,A152,A201,1
A13,A30,2,A152,A201,1
A12,A33,1,A152,A201,1
A14,A33,3,A152,A201,1
A11,A34,4,A152,A201,1
A11,A34,3,A152,A201,1
A14,A33,4,A152,A201,1
A14,A32,4,A152,A201,1
A11,A32,4,A152,A202,1
A14,A34,2,A152,A201,1
A14,A32,1,A151,A201,1
A12,A32,4,A152,A201,1
A14,A32,4,A152,A202,1
A12,A32,4,A152,A201,1
A14,A32,2,A152,A201,1
