@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-3,10,15,19,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Guarantors {A101,A103,A102}
@attribute Housing {A152,A153,A151}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,6,A34,A101,A152,A192,1
A14,24,A32,A101,A152,A191,1
A14,6,A30,A101,A152,A191,1
A13,10,A32,A101,A152,A192,1
A12,9,A32,A101,A152,A191,1
A12,15,A34,A103,A152,A192,1
A14,36,A32,A101,A152,A191,1
A11,12,A34,A101,A153,A191,1
A14,15,A32,A101,A152,A192,1
A14,12,A34,A101,A152,A191,1
A14,12,A34,A101,A152,A191,2
A14,36,A34,A101,A152,A192,2
A12,12,A32,A101,A152,A191,2
A14,15,A32,A101,A152,A191,1
A14,12,A34,A101,A152,A192,1
A13,36,A32,A101,A152,A191,1
A12,24,A33,A101,A151,A192,1
A12,24,A32,A101,A152,A192,1
A12,24,A33,A101,A152,A192,2
A14,12,A34,A101,A152,A191,1
A12,12,A34,A101,A152,A191,1
A12,12,A32,A103,A152,A191,1
A11,24,A32,A101,A153,A191,1
A14,12,A34,A101,A152,A191,1
A14,12,A31,A101,A152,A191,1
A14,12,A34,A101,A152,A191,1
A13,24,A32,A101,A152,A191,1
A14,24,A33,A101,A152,A191,1
A11,12,A31,A101,A153,A191,2
A14,11,A34,A101,A152,A191,1
A14,15,A34,A101,A151,A192,1
A13,18,A31,A101,A152,A191,1
A12,48,A32,A101,A153,A192,1
A11,36,A31,A101,A152,A191,2
A11,24,A32,A101,A153,A192,1
A12,24,A34,A101,A153,A192,1
A12,18,A32,A101,A151,A191,1
A12,18,A32,A102,A152,A192,1
A12,9,A34,A101,A153,A191,2
A14,36,A33,A101,A152,A192,2
A11,30,A32,A101,A151,A191,2
A14,18,A34,A101,A152,A191,1
A14,18,A34,A101,A152,A192,1
A14,18,A32,A101,A151,A192,1
A12,24,A32,A101,A152,A192,1
A12,18,A32,A101,A152,A191,2
A12,12,A32,A101,A152,A192,2
A12,24,A32,A102,A152,A192,2
A12,12,A32,A101,A152,A192,2
A14,6,A32,A101,A151,A191,1
A14,12,A32,A101,A152,A192,1
A14,12,A32,A101,A152,A191,2
A14,6,A32,A101,A152,A191,1
A12,18,A34,A101,A152,A191,2
A12,12,A32,A101,A152,A191,1
A14,6,A34,A101,A152,A191,1
A12,6,A32,A101,A152,A191,1
A11,12,A34,A101,A151,A191,1
A12,36,A32,A102,A151,A192,2
A11,24,A32,A101,A152,A191,2
A12,24,A34,A101,A152,A191,2
A14,24,A32,A101,A152,A191,1
A14,36,A34,A101,A151,A192,2
A11,6,A32,A101,A152,A192,1
A11,18,A32,A101,A152,A191,2
A11,36,A32,A101,A151,A191,2
A11,6,A32,A101,A152,A192,1
A12,12,A32,A101,A151,A191,2
A14,12,A34,A101,A152,A191,1
A11,48,A32,A103,A152,A192,2
A12,18,A34,A101,A152,A191,2
A14,24,A34,A101,A152,A191,1
A11,24,A32,A101,A151,A192,2
A12,9,A32,A101,A152,A191,1
A11,18,A32,A101,A152,A192,2
A11,24,A31,A101,A152,A192,2
A11,12,A32,A101,A152,A191,2
A11,21,A32,A101,A152,A191,1
A12,48,A30,A101,A152,A192,1
A11,18,A32,A101,A152,A191,2
A14,12,A32,A101,A152,A191,2
A11,14,A32,A101,A153,A191,1
A14,24,A34,A101,A153,A192,1
A12,36,A33,A101,A152,A192,1
A11,6,A34,A101,A152,A191,1
A12,9,A32,A101,A152,A191,1
A14,4,A34,A101,A152,A191,1
A11,15,A32,A101,A151,A191,1
A14,21,A34,A101,A152,A192,1
A13,24,A32,A101,A153,A191,1
A12,6,A32,A103,A152,A191,1
A12,48,A33,A101,A153,A192,1
A14,4,A32,A101,A151,A191,1
A14,24,A32,A101,A152,A191,1
A14,36,A33,A101,A152,A192,1
A13,6,A34,A101,A152,A191,1
A11,24,A34,A101,A152,A192,1
A14,15,A32,A101,A151,A192,1
A12,24,A34,A101,A152,A191,1
A14,12,A32,A101,A152,A191,1
