@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A14,A40,1249,4,A101,2,1
A14,A41,1503,4,A101,4,1
A12,A43,1795,3,A103,4,1
A12,A40,1995,4,A101,1,1
A13,A43,1347,4,A101,2,1
A14,A49,7629,4,A101,2,1
A11,A49,2442,4,A101,4,1
A14,A43,2675,3,A101,4,1
A11,A42,3643,1,A101,4,1
A14,A42,1221,1,A101,2,1
A12,A43,3758,1,A101,4,1
A13,A43,1297,3,A101,4,1
A14,A43,846,3,A101,4,1
A14,A43,1409,2,A101,4,1
A11,A40,4716,1,A101,3,1
A12,A410,2629,2,A101,3,1
A12,A43,5084,2,A101,4,1
A14,A43,2743,4,A101,2,1
A11,A42,2212,4,A101,4,1
A14,A40,1287,4,A101,4,1
A12,A410,5381,3,A101,4,1
A14,A43,717,4,A101,4,1
A11,A40,3763,2,A102,2,1
A14,A41,2993,3,A101,2,1
A12,A45,454,3,A101,1,1
A13,A42,1925,2,A101,2,1
A14,A42,1766,1,A101,2,1
A14,A40,6761,1,A101,3,1
A14,A43,1098,4,A101,4,1
A12,A41,2028,4,A101,2,1
A12,A40,7308,2,A101,4,1
A12,A44,3990,3,A101,2,1
A13,A41,2360,2,A101,2,1
A11,A42,1049,4,A101,4,1
A12,A43,2415,3,A103,2,1
A14,A40,2133,4,A101,4,1
A14,A49,1076,2,A101,2,1
A12,A43,458,4,A101,3,1
A11,A410,1755,4,A103,4,1
A14,A41,2901,1,A101,4,1
A12,A43,1967,4,A101,4,1
A12,A43,2337,4,A101,4,1
A11,A42,3959,4,A101,3,1
A12,A42,3617,1,A101,4,1
A11,A42,428,2,A101,1,1
A14,A46,3565,2,A101,1,1
A14,A40,10366,2,A101,4,1
A12,A43,368,4,A101,4,1
A11,A42,14179,4,A101,4,1
A11,A49,1382,4,A101,1,1
A14,A49,3609,1,A101,1,1
A14,A42,5150,4,A101,4,1
A12,A40,1175,2,A101,3,1
A12,A49,1941,4,A101,2,1
A14,A42,2978,1,A101,2,1
A12,A41,9283,1,A101,2,1
A13,A43,3016,3,A101,1,1
A11,A42,2136,3,A101,2,1
A12,A43,2329,1,A103,1,1
A14,A45,2613,4,A101,2,1
A11,A40,3939,1,A101,2,1
A14,A42,2788,2,A102,3,1
A12,A42,2745,3,A101,2,1
A12,A42,3069,4,A101,4,1
A14,A43,2238,2,A101,1,1
A12,A46,1199,4,A101,4,1
A12,A42,7374,4,A101,4,1
A11,A42,4272,1,A101,4,1
A12,A43,484,3,A103,3,1
A14,A42,4526,4,A101,2,1
A12,A410,7582,2,A101,4,1
A14,A42,1543,4,A101,2,1
A14,A41,2197,4,A101,4,1
A14,A44,1236,1,A101,4,1
A14,A42,3343,4,A101,2,1
A11,A40,2171,4,A101,4,1
A11,A42,3620,1,A103,2,1
A14,A40,6614,4,A101,4,1
A12,A41,7966,2,A101,3,1
A11,A42,1657,2,A101,2,1
A14,A43,1516,4,A101,1,1
A13,A46,1905,4,A101,4,1
A11,A45,1288,3,A103,4,1
A14,A40,7393,1,A101,4,1
A11,A40,2122,3,A101,2,1
A14,A40,7228,1,A101,4,1
A14,A43,2684,4,A101,2,1
A14,A43,518,3,A101,1,1
A14,A41,1300,4,A101,4,1
A14,A42,3062,4,A101,3,1
A14,A49,1559,4,A101,4,1
A14,A43,1382,1,A101,1,1
A12,A42,6361,2,A101,1,1
A14,A43,5103,3,A101,3,1
A14,A43,3077,2,A101,4,1
A13,A43,3656,4,A101,4,1
A14,A42,1388,4,A101,2,1
A14,A41,8588,4,A101,2,1
A12,A49,12204,2,A101,2,1
A11,A42,4020,2,A101,2,1
A11,A41,1526,4,A101,4,1
A14,A41,5433,2,A101,4,1
A14,A43,2141,3,A101,1,1
A14,A43,1800,4,A101,2,1
A14,A49,1950,4,A101,1,1
A14,A41,5248,1,A101,3,1
A14,A41,4679,3,A101,3,1
A14,A42,2708,2,A101,3,1
A11,A49,8072,2,A101,3,1
A14,A45,5190,4,A101,4,1
A14,A41,2445,2,A101,4,1
A11,A41,2964,4,A101,4,1
A14,A43,1376,4,A101,1,1
A14,A42,3780,3,A101,2,1
A14,A49,1568,3,A101,4,1
A12,A43,1092,4,A103,4,1
A14,A40,1287,4,A102,2,1
A13,A43,3017,4,A101,4,1
A12,A41,6148,3,A101,4,1
A12,A43,1715,4,A101,1,1
A14,A40,1884,4,A101,4,1
A14,A42,2301,2,A101,4,1
A14,A43,3059,2,A101,4,1
A11,A43,385,4,A101,3,1
A11,A42,2483,4,A101,4,1
A11,A42,708,2,A103,3,1
A12,A49,1449,1,A101,2,1
A14,A43,3077,3,A101,2,1
A14,A43,1934,2,A101,2,1
A14,A41,5842,2,A101,2,1
A14,A42,3777,4,A101,4,1
A12,A42,3832,2,A101,1,1
A14,A41,4811,2,A101,4,1
A11,A43,3357,4,A101,2,1
A14,A40,362,4,A101,4,1
A14,A41,5711,4,A101,2,1
A14,A43,2424,4,A101,4,1
A12,A40,12169,4,A102,4,1
A11,A42,652,4,A101,4,1
A14,A41,4042,3,A101,4,1
A14,A40,1204,4,A101,1,1
A12,A40,6260,3,A101,3,1
A14,A43,1552,3,A101,1,1
A14,A46,936,4,A101,2,1
A13,A43,409,3,A101,3,1
A11,A40,2121,4,A101,2,1
A14,A41,3488,3,A101,4,1
A14,A41,8858,2,A101,1,1
A14,A42,1574,4,A101,2,1
A14,A43,4530,4,A101,4,1
A14,A40,1525,4,A101,3,1
A14,A40,2463,4,A101,3,1
A12,A40,2366,3,A101,3,1
A14,A43,522,4,A101,4,1
A14,A42,2288,4,A101,4,1
A12,A43,1444,4,A101,1,1
A14,A46,701,4,A101,2,1
A14,A43,1505,4,A101,2,1
A14,A40,1940,4,A101,4,1
