@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A14,A34,A40,13756,A124,A141,A153,1,1
A14,A34,A43,2404,A123,A143,A152,2,1
A14,A34,A43,1382,A123,A143,A152,2,1
A12,A34,A44,1424,A122,A143,A152,1,1
A14,A32,A40,909,A122,A143,A152,1,1
A11,A34,A40,666,A121,A143,A152,2,1
A13,A34,A41,2360,A123,A143,A152,1,1
A12,A32,A45,1308,A123,A143,A152,2,1
A11,A34,A40,609,A122,A143,A152,2,1
A11,A32,A43,1498,A123,A141,A152,1,1
A14,A34,A43,618,A121,A143,A152,1,1
A11,A34,A40,3398,A121,A143,A152,2,1
A14,A32,A43,1924,A122,A143,A152,1,1
A12,A34,A40,2366,A123,A143,A152,1,1
A14,A32,A40,672,A121,A143,A152,1,1
A14,A34,A49,4139,A122,A143,A152,2,1
A12,A32,A40,6260,A121,A143,A151,1,1
A14,A32,A43,1595,A122,A143,A152,1,1
A14,A32,A43,1213,A122,A142,A152,1,1
A14,A32,A41,2679,A124,A143,A152,1,1
A11,A33,A42,3643,A122,A143,A152,2,1
A12,A32,A410,5381,A124,A141,A153,1,1
A11,A32,A41,5493,A124,A143,A153,1,1
A14,A34,A42,3343,A124,A143,A153,1,1
A14,A34,A45,2058,A121,A143,A152,2,1
A14,A34,A43,717,A121,A143,A152,3,1
A12,A34,A40,958,A121,A143,A152,2,1
A14,A32,A49,3448,A121,A143,A152,1,1
A14,A34,A46,6110,A124,A141,A153,1,1
A12,A32,A43,2991,A123,A143,A152,1,1
A14,A32,A49,1950,A123,A142,A152,2,1
A12,A32,A43,3758,A124,A143,A151,1,1
A14,A32,A40,1820,A122,A143,A152,1,1
A14,A33,A43,2320,A121,A143,A152,2,1
A14,A32,A43,1126,A121,A143,A151,1,1
A14,A32,A49,1542,A123,A143,A152,1,1
A14,A32,A41,2476,A121,A143,A152,1,1
A12,A34,A49,2326,A123,A141,A152,1,1
A14,A32,A42,1736,A121,A143,A152,1,1
A14,A32,A43,7166,A122,A143,A151,1,1
A14,A32,A41,4675,A123,A143,A151,1,1
A11,A34,A40,4716,A121,A143,A152,2,1
A14,A34,A49,1412,A121,A143,A152,2,1
A14,A31,A41,7824,A121,A141,A151,2,1
A11,A34,A42,1049,A122,A143,A151,1,1
A14,A32,A43,1493,A123,A143,A152,1,1
A14,A32,A46,1538,A124,A143,A152,1,1
A14,A34,A43,1149,A121,A143,A152,2,1
A11,A34,A410,1164,A124,A141,A153,2,1
A14,A34,A41,3275,A123,A143,A152,1,1
A12,A32,A43,458,A121,A143,A152,1,1
A14,A32,A40,1393,A121,A143,A152,1,1
A11,A34,A42,2132,A121,A143,A151,2,1
A14,A34,A42,2788,A123,A141,A152,2,1
A14,A34,A42,1935,A121,A143,A152,3,1
A12,A32,A40,3512,A123,A141,A152,2,1
A14,A32,A43,2051,A121,A143,A152,1,1
A11,A34,A41,6615,A124,A143,A153,2,1
A14,A31,A49,1559,A123,A141,A152,1,1
A13,A32,A43,3913,A121,A143,A152,1,1
A11,A32,A43,2214,A122,A143,A152,1,1
A12,A33,A42,2333,A122,A141,A152,1,1
A14,A34,A41,7253,A123,A143,A152,2,1
A14,A34,A41,3850,A123,A143,A152,2,1
A11,A32,A43,2315,A121,A143,A152,1,1
A11,A32,A42,1657,A121,A143,A152,1,1
A13,A32,A42,1275,A122,A143,A152,1,1
A12,A31,A49,3566,A123,A143,A152,1,1
A14,A34,A43,1240,A121,A143,A152,2,1
A14,A32,A41,3029,A123,A143,A152,1,1
A14,A30,A40,1204,A124,A141,A151,1,1
A14,A33,A49,2978,A121,A143,A152,2,1
A14,A34,A40,5045,A123,A143,A152,1,1
A11,A32,A42,652,A122,A143,A151,1,1
A12,A32,A43,2118,A121,A143,A152,1,1
A14,A32,A49,1258,A121,A143,A152,1,1
A11,A32,A43,1053,A121,A143,A152,1,1
A14,A34,A42,2028,A122,A143,A152,2,1
A12,A32,A43,2063,A123,A143,A151,1,1
A13,A32,A40,1494,A121,A143,A152,1,1
A11,A34,A40,860,A124,A143,A152,2,1
A11,A34,A40,1361,A121,A143,A152,1,1
A13,A32,A49,2687,A122,A143,A151,1,1
A12,A34,A42,2745,A123,A143,A152,2,1
A11,A32,A43,2522,A122,A143,A152,1,1
A12,A32,A43,1113,A121,A143,A152,1,1
A14,A34,A49,7629,A123,A141,A152,2,1
A14,A32,A43,3430,A123,A143,A152,1,1
A12,A32,A42,3017,A121,A143,A151,1,1
A12,A34,A42,1295,A122,A143,A152,2,1
A14,A32,A49,2142,A121,A143,A152,1,1
A14,A32,A43,3835,A121,A143,A152,1,1
A11,A34,A41,10623,A124,A143,A153,3,1
A13,A32,A40,2923,A123,A141,A152,1,1
A14,A31,A40,783,A121,A142,A152,1,1
A11,A34,A40,3939,A121,A143,A152,2,1
A12,A33,A49,4712,A122,A141,A152,2,1
A14,A32,A40,640,A121,A143,A152,1,1
A11,A34,A40,2241,A121,A143,A151,2,1
A11,A34,A42,5371,A122,A143,A152,2,1
A14,A31,A43,1750,A122,A141,A152,1,1
A14,A34,A49,4526,A121,A143,A152,1,1
A12,A34,A40,3878,A123,A143,A152,1,1
A13,A34,A40,1480,A124,A141,A153,3,1
A14,A32,A40,1101,A121,A143,A152,2,1
A12,A32,A43,2101,A122,A143,A152,1,1
A13,A32,A43,1126,A121,A143,A152,1,1
A14,A32,A43,1386,A121,A143,A151,1,1
A14,A34,A41,2751,A123,A143,A152,2,1
A11,A32,A40,4380,A123,A143,A152,1,1
A14,A32,A41,2445,A123,A143,A151,1,1
A12,A32,A46,3711,A123,A143,A152,1,1
A14,A32,A40,1287,A122,A143,A152,1,1
A12,A32,A41,2028,A123,A143,A152,1,1
A11,A34,A49,2442,A123,A142,A152,4,1
A14,A34,A43,2578,A123,A143,A152,1,1
A13,A32,A42,1925,A121,A143,A152,1,1
A14,A32,A42,2978,A123,A143,A152,1,1
A11,A34,A41,2957,A122,A143,A152,2,1
A11,A32,A40,1403,A123,A143,A151,1,1
