@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute NCredits numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,6313,3,41,1,A192,1
A13,1445,4,49,1,A191,1
A11,1858,4,22,1,A191,1
A12,4771,2,51,1,A191,1
A11,3509,4,25,1,A191,1
A14,1655,2,63,2,A192,1
A13,6289,2,33,2,A191,1
A14,3868,4,41,2,A192,1
A14,2835,3,53,1,A191,1
A12,1391,2,27,1,A192,1
A11,1940,3,36,1,A192,1
A11,1880,4,32,2,A192,1
A14,2069,2,26,2,A191,1
A14,1262,3,25,1,A191,1
A14,5711,4,38,2,A192,1
A14,1766,1,21,1,A191,1
A14,1262,4,36,2,A192,1
A11,2241,1,48,2,A191,1
A12,2503,4,41,2,A191,1
A11,3650,1,22,1,A191,1
A14,1154,4,57,3,A191,1
A14,3105,4,25,2,A191,1
A14,1533,4,38,1,A192,1
A13,1925,2,26,1,A191,1
A12,585,4,20,2,A191,1
A14,6761,1,45,2,A192,1
A14,2476,4,46,1,A192,1
A12,2329,1,45,1,A191,1
A14,4526,4,32,2,A192,1
A13,1494,1,29,1,A191,1
A14,932,3,24,1,A191,1
A11,1038,4,49,2,A192,1
A11,1344,4,43,2,A191,1
A11,2122,3,39,2,A191,1
A13,409,3,42,2,A191,1
A12,5954,2,41,2,A191,1
A12,5965,1,30,2,A192,1
A14,1386,4,40,1,A192,1
A12,1514,4,22,1,A191,1
A12,7966,2,30,2,A191,1
A14,672,1,54,1,A192,1
A14,3488,3,23,1,A191,1
A12,754,4,38,2,A191,1
A14,1532,4,31,1,A191,1
A14,929,4,31,1,A192,1
A14,1283,4,25,1,A191,1
A12,6681,4,38,1,A192,1
A12,6361,2,41,1,A192,1
A14,7629,4,46,2,A191,1
A11,3357,4,29,1,A191,1
A11,3763,2,24,1,A191,1
A14,2028,2,30,2,A191,1
A14,7596,1,63,2,A191,1
A12,2366,3,36,1,A192,1
A13,3949,1,37,1,A191,1
A12,1239,4,61,1,A191,1
A12,1965,4,42,2,A192,1
A13,1323,2,28,2,A192,1
