@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,6,12,14,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,A64,A121,A143,A201,1
A11,A62,A123,A143,A201,2
A14,A65,A123,A143,A202,1
A13,A64,A121,A143,A201,1
A11,A62,A123,A143,A201,1
A14,A62,A121,A143,A201,1
A12,A61,A123,A143,A201,2
A14,A65,A122,A143,A201,1
A12,A61,A121,A141,A201,1
A14,A65,A123,A143,A201,2
A11,A62,A123,A143,A201,1
A12,A62,A123,A143,A201,1
A14,A62,A121,A143,A201,1
A13,A64,A121,A143,A202,1
A11,A61,A122,A143,A201,1
A11,A61,A121,A143,A201,1
A14,A64,A121,A143,A201,1
A12,A61,A123,A141,A201,2
A12,A61,A124,A141,A201,2
A12,A61,A123,A143,A201,2
A11,A61,A122,A141,A201,1
A13,A61,A121,A143,A201,1
A12,A61,A121,A143,A201,1
A14,A61,A123,A142,A201,1
A14,A65,A123,A143,A201,1
A14,A61,A121,A143,A201,1
A11,A61,A124,A143,A201,1
A13,A61,A124,A143,A201,1
A14,A61,A123,A143,A201,1
A12,A62,A122,A143,A201,2
A14,A62,A123,A141,A201,2
A14,A61,A123,A143,A201,1
A14,A65,A121,A143,A201,1
A11,A61,A123,A143,A201,2
A14,A61,A122,A143,A201,1
A12,A64,A121,A143,A201,1
A12,A62,A124,A143,A201,1
A12,A61,A121,A143,A201,2
A14,A61,A121,A143,A201,1
A14,A63,A123,A143,A201,1
A14,A61,A122,A143,A201,1
A14,A61,A123,A143,A201,1
A11,A61,A123,A143,A201,1
A12,A61,A123,A141,A201,1
A14,A61,A122,A143,A201,1
A11,A61,A121,A143,A201,1
A11,A61,A121,A143,A201,1
A11,A61,A121,A143,A201,1
A14,A61,A123,A143,A201,1
A12,A62,A123,A143,A201,2
A11,A61,A122,A143,A201,2
A14,A64,A122,A143,A201,1
A11,A61,A122,A143,A201,2
A12,A61,A123,A143,A201,1
A13,A61,A123,A143,A201,2
A11,A61,A121,A141,A201,2
A12,A61,A122,A143,A201,1
A14,A65,A123,A143,A201,1
A14,A61,A121,A143,A201,1
A12,A65,A123,A143,A201,1
A14,A61,A122,A141,A201,2
A14,A61,A121,A143,A201,1
A13,A61,A124,A141,A201,2
A12,A61,A124,A143,A201,1
A14,A61,A124,A141,A201,1
A13,A61,A122,A143,A201,1
A14,A62,A122,A143,A201,1
A14,A61,A122,A143,A201,1
A14,A61,A121,A141,A201,1
A14,A65,A124,A143,A201,1
A11,A64,A122,A143,A201,1
A14,A63,A122,A141,A201,1
A14,A65,A123,A143,A201,1
A13,A61,A123,A143,A201,2
A11,A61,A123,A141,A201,2
A11,A61,A122,A141,A201,1
A14,A61,A123,A143,A201,1
A14,A64,A123,A143,A201,1
A12,A61,A121,A143,A201,1
A14,A65,A123,A143,A201,1
A14,A62,A122,A143,A201,1
A14,A65,A123,A143,A201,1
A11,A61,A124,A143,A201,2
A12,A61,A122,A143,A201,1
A14,A61,A121,A143,A201,1
A11,A61,A122,A141,A202,2
A11,A61,A122,A143,A201,2
A14,A64,A121,A142,A201,1
A14,A61,A123,A143,A201,1
A11,A61,A122,A143,A201,2
A12,A61,A123,A143,A201,2
A14,A65,A121,A141,A201,1
A12,A61,A123,A143,A201,1
A11,A62,A122,A143,A201,2
A14,A65,A123,A143,A201,1
A12,A61,A123,A143,A201,2
A13,A61,A121,A143,A201,2
A11,A61,A123,A143,A201,2
A14,A63,A123,A141,A201,2
A14,A61,A123,A143,A201,2
