@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1-2,10,13,18,20-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Guarantors {A101,A103,A102}
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,24,A101,44,1,A201,2
A12,12,A101,44,1,A201,1
A12,18,A101,30,1,A201,1
A14,30,A101,30,1,A201,1
A11,48,A101,58,1,A201,2
A14,36,A101,39,1,A201,1
A12,24,A101,29,1,A201,1
A12,27,A101,30,1,A201,1
A14,12,A101,25,1,A201,1
A14,6,A103,26,2,A201,1
A12,11,A101,51,1,A201,1
A12,30,A101,22,1,A201,1
A12,12,A101,54,1,A201,1
A14,12,A101,61,1,A201,1
A12,15,A103,35,1,A201,1
A11,18,A101,22,1,A201,2
A14,12,A101,51,1,A201,1
A14,10,A101,38,1,A202,1
A14,6,A101,34,2,A201,1
A12,10,A101,70,1,A201,1
A11,18,A101,33,1,A201,2
A14,24,A101,54,1,A201,2
A12,45,A103,21,1,A201,2
A11,12,A101,23,1,A201,1
A14,36,A101,27,1,A201,1
A12,48,A102,27,1,A201,2
A12,60,A101,27,1,A201,1
A14,24,A101,35,1,A201,1
A14,36,A101,36,1,A201,1
A11,30,A101,34,1,A201,2
A14,18,A101,26,1,A201,1
A12,24,A101,37,1,A201,1
A14,6,A101,33,1,A201,1
A11,15,A101,27,1,A201,1
A11,8,A101,39,1,A202,1
A11,24,A101,75,1,A201,1
A14,18,A101,30,1,A201,2
A11,24,A101,23,2,A201,2
A14,9,A101,23,1,A201,1
A13,12,A101,37,1,A201,1
A14,6,A101,52,1,A201,1
A12,18,A101,40,1,A201,1
A11,36,A101,46,1,A201,1
A12,18,A101,43,2,A201,1
A11,18,A101,23,1,A201,1
A14,21,A101,34,1,A201,1
A12,18,A101,21,1,A201,1
A14,36,A101,30,1,A201,1
A11,12,A101,35,1,A201,2
A14,6,A101,36,2,A201,1
A14,24,A102,62,1,A201,1
A14,24,A101,40,1,A201,1
A12,18,A103,32,1,A201,1
A12,12,A102,20,1,A201,1
A12,15,A101,28,1,A201,2
A14,24,A101,37,1,A201,1
A14,12,A101,23,1,A201,1
A12,24,A101,23,1,A201,1
A11,15,A101,22,1,A201,1
A11,24,A101,23,1,A201,2
A12,36,A102,50,1,A201,2
A12,30,A102,21,1,A201,2
A12,9,A101,29,1,A201,2
A14,60,A101,21,1,A201,1
A12,15,A101,38,1,A201,1
A14,24,A103,33,1,A201,1
A14,21,A101,50,1,A201,1
A14,6,A101,24,1,A201,1
A14,6,A101,56,1,A201,1
A14,12,A101,37,1,A201,1
A13,10,A101,27,1,A201,1
A12,10,A101,23,1,A201,1
A11,12,A101,37,1,A201,2
A14,15,A101,33,1,A201,1
A14,12,A101,55,2,A201,2
A14,21,A101,30,1,A201,2
A14,12,A101,63,1,A201,1
A11,36,A101,25,1,A201,2
A14,36,A101,37,1,A201,1
A11,40,A101,27,1,A201,2
A14,6,A101,27,1,A201,1
A11,20,A101,24,1,A201,1
A14,12,A101,65,1,A201,1
A11,36,A101,24,1,A201,2
A13,15,A101,25,1,A201,2
A14,21,A101,28,1,A201,1
A14,18,A101,68,1,A201,2
A14,24,A101,33,1,A201,1
A11,24,A101,35,1,A201,2
A12,11,A101,40,1,A201,1
A11,18,A102,36,1,A201,1
A12,24,A101,43,1,A201,2
A12,9,A101,33,1,A201,1
A12,30,A101,25,1,A201,1
A11,6,A101,68,1,A201,2
A11,18,A101,21,1,A201,1
A11,24,A102,24,1,A202,1
A12,24,A101,28,1,A201,2
A12,27,A101,23,1,A201,2
A11,36,A101,26,2,A201,2
