@relation german

@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute NPeopleMain numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
48,A61,1,A192,1
6,A61,1,A191,1
48,A65,1,A192,1
11,A62,1,A191,1
24,A65,1,A192,1
36,A65,1,A191,1
36,A61,2,A191,1
12,A61,1,A191,1
6,A61,1,A191,1
36,A65,2,A192,1
24,A61,1,A192,1
24,A62,1,A191,1
36,A61,1,A191,1
15,A65,1,A192,1
15,A63,1,A191,1
6,A65,1,A191,1
15,A61,1,A191,1
12,A61,1,A191,1
12,A65,1,A191,1
6,A65,1,A191,1
36,A65,1,A191,1
12,A65,1,A191,1
14,A61,1,A191,1
9,A61,1,A191,1
15,A64,1,A191,1
24,A61,1,A191,1
36,A61,1,A191,1
18,A61,1,A191,1
12,A61,1,A191,1
12,A61,1,A191,1
47,A61,1,A192,1
15,A63,1,A192,1
6,A61,1,A191,1
6,A62,2,A192,1
9,A61,2,A191,1
24,A62,1,A192,1
42,A63,1,A192,1
21,A63,1,A191,1
12,A65,1,A192,1
12,A65,1,A191,1
8,A61,1,A191,1
60,A62,1,A192,1
9,A61,1,A192,1
20,A65,1,A192,1
15,A65,1,A191,1
24,A62,2,A192,1
18,A63,1,A191,1
24,A65,1,A191,1
24,A65,2,A192,1
4,A65,2,A191,1
18,A61,1,A192,1
10,A61,1,A192,1
6,A65,1,A191,1
15,A65,1,A192,1
24,A61,1,A192,1
12,A61,2,A191,1
18,A61,1,A192,1
20,A61,1,A192,1
9,A65,1,A191,1
24,A61,1,A192,1
11,A61,2,A191,1
9,A62,2,A191,1
15,A61,1,A192,1
9,A61,1,A191,1
11,A64,1,A192,1
18,A61,1,A191,1
12,A61,1,A191,1
21,A64,1,A191,1
15,A61,1,A191,1
11,A61,1,A191,1
12,A65,1,A191,1
12,A61,1,A192,1
24,A65,1,A192,1
9,A61,1,A191,1
24,A65,1,A191,1
21,A64,1,A192,1
15,A63,1,A191,1
21,A65,1,A192,1
12,A62,1,A191,1
12,A61,1,A192,1
36,A62,1,A192,1
15,A61,1,A192,1
12,A65,1,A191,1
36,A61,1,A191,1
9,A61,1,A191,1
28,A65,2,A192,1
36,A65,2,A192,1
24,A61,1,A191,1
48,A65,2,A192,1
12,A65,1,A192,1
12,A64,1,A191,1
24,A65,2,A192,1
15,A61,2,A192,1
6,A61,1,A192,1
10,A61,2,A191,1
6,A61,2,A191,1
18,A61,1,A191,1
10,A61,1,A191,1
21,A62,1,A191,1
12,A63,1,A191,1
24,A62,1,A192,1
24,A61,1,A192,1
6,A65,1,A192,1
18,A62,1,A191,1
24,A65,1,A192,1
12,A61,2,A192,1
30,A65,1,A191,1
12,A61,2,A191,1
60,A61,1,A192,1
12,A61,1,A192,1
12,A65,1,A192,1
24,A62,1,A192,1
18,A61,1,A191,1
12,A61,1,A191,1
18,A61,1,A192,1
6,A64,1,A191,1
9,A65,1,A192,1
12,A61,1,A191,1
9,A61,1,A192,1
22,A65,1,A191,1
36,A61,2,A191,1
24,A65,1,A192,1
24,A62,1,A191,1
6,A61,1,A191,1
24,A61,1,A192,1
15,A61,1,A191,1
12,A61,2,A191,1
6,A63,1,A192,1
21,A65,1,A192,1
12,A61,1,A192,1
36,A61,2,A192,1
12,A62,1,A191,1
21,A61,1,A192,1
48,A65,1,A192,1
60,A65,1,A191,1
18,A61,1,A192,1
36,A61,1,A192,1
21,A62,1,A192,1
18,A62,2,A192,1
6,A61,1,A191,1
24,A61,1,A192,1
18,A61,2,A192,1
15,A61,1,A191,1
30,A64,2,A192,1
10,A61,1,A191,1
30,A61,1,A191,1
12,A61,2,A192,1
24,A61,1,A192,1
24,A65,2,A192,1
24,A61,1,A191,1
18,A61,1,A191,1
36,A65,1,A191,1
36,A62,1,A191,1
30,A65,1,A191,1
12,A61,2,A191,1
24,A61,1,A191,1
12,A65,1,A192,1
8,A61,1,A191,1
15,A63,1,A191,1
15,A64,1,A192,1
24,A65,1,A191,1
12,A61,1,A192,1
12,A61,1,A191,1
27,A61,1,A191,1
18,A61,1,A192,1
12,A62,1,A191,1
12,A65,1,A191,1
39,A62,1,A192,1
24,A61,1,A191,1
6,A61,2,A191,1
12,A65,1,A192,1
15,A63,1,A191,1
36,A65,1,A191,1
48,A61,1,A192,1
6,A62,2,A191,1
15,A61,1,A191,1
18,A65,1,A192,1
6,A63,1,A192,1
24,A62,1,A191,1
21,A65,1,A191,1
6,A61,1,A192,1
12,A63,1,A192,1
27,A61,2,A192,1
9,A65,1,A191,1
12,A62,1,A191,1
12,A61,2,A191,1
20,A62,1,A192,1
9,A61,1,A191,1
12,A64,1,A191,1
36,A61,1,A191,1
12,A61,2,A191,1
30,A61,1,A192,1
6,A61,1,A192,1
36,A65,1,A191,1
36,A63,1,A191,1
24,A65,2,A192,1
24,A61,1,A192,1
6,A65,2,A191,1
8,A61,2,A192,1
36,A61,1,A191,1
30,A61,1,A191,1
33,A61,1,A192,1
18,A61,1,A192,1
10,A61,1,A192,1
24,A61,1,A192,1
18,A61,1,A192,1
