@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,8,10-11,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute InstallmentRate numeric
@attribute Guarantors {A101,A103,A102}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A11,A40,4870,3,A101,4,2
A14,A46,9055,2,A101,4,1
A12,A40,5234,4,A101,2,2
A12,A43,1567,1,A101,1,1
A11,A40,1403,2,A101,4,1
A13,A42,1474,4,A101,1,1
A14,A46,6110,1,A101,3,1
A13,A43,2100,4,A102,2,2
A12,A43,6468,2,A101,1,2
A14,A43,2394,4,A101,4,1
A12,A41,7057,3,A101,4,1
A14,A43,10144,2,A101,4,1
A11,A40,860,1,A101,4,1
A14,A44,1262,4,A101,3,1
A14,A40,909,4,A101,4,1
A12,A43,1414,4,A103,2,1
A11,A42,2577,2,A101,1,1
A12,A49,4455,2,A101,2,2
A11,A40,1647,4,A101,2,2
A12,A49,3844,4,A101,4,2
A12,A49,3915,4,A101,2,2
A11,A49,6568,2,A101,2,1
A13,A49,1908,4,A101,4,2
A11,A42,3021,2,A101,2,1
A11,A42,7865,4,A101,4,2
A13,A43,4210,4,A101,2,2
A11,A43,2522,1,A103,3,1
A11,A41,4605,3,A101,4,2
A14,A49,1258,4,A101,1,1
A11,A40,8978,1,A101,4,2
A12,A43,3060,4,A101,4,2
A12,A41,9398,1,A101,4,2
A12,A42,4351,1,A101,4,1
A14,A42,5801,2,A101,4,1
A13,A43,4473,4,A101,2,1
A12,A46,1239,4,A101,4,1
A14,A49,1542,2,A101,4,1
A14,A42,2146,1,A101,3,1
A14,A43,2320,2,A101,3,1
A12,A49,1887,4,A101,4,1
A11,A43,1053,4,A101,2,1
A14,A40,2782,1,A101,2,1
A14,A42,1313,1,A101,4,1
A14,A49,3448,1,A101,4,1
A14,A46,1244,4,A101,4,1
A11,A43,1659,4,A101,2,2
A14,A45,5507,3,A101,4,1
A14,A43,1503,2,A101,1,1
A13,A42,2864,2,A101,1,2
A12,A40,2278,3,A101,3,2
A14,A40,5003,1,A101,4,2
A13,A43,683,2,A101,1,1
A11,A40,1372,2,A101,3,2
A14,A43,5954,3,A102,2,1
A12,A40,1056,3,A103,3,2
A11,A40,2799,2,A101,2,1
A14,A49,1572,4,A101,4,1
A14,A49,4526,3,A101,2,1
A13,A40,1240,1,A101,4,2
A11,A40,3676,1,A101,3,1
A14,A42,1980,2,A102,2,2
A14,A49,7980,4,A101,4,2
A11,A46,7476,4,A101,1,1
A12,A40,888,4,A101,4,2
A12,A42,1050,4,A101,1,1
A14,A49,5742,2,A101,2,1
A12,A43,2896,2,A101,1,1
A14,A41,1236,2,A101,4,1
A13,A43,1377,4,A101,2,1
A12,A40,6560,3,A101,2,2
A13,A43,3148,3,A101,2,1
A12,A46,433,4,A101,2,2
A14,A40,250,2,A101,2,1
A12,A43,6403,1,A101,2,1
A12,A43,760,4,A103,2,1
A13,A40,1299,1,A101,1,1
A13,A43,1271,3,A101,4,2
A11,A42,2124,4,A101,4,2
A14,A43,2223,4,A101,4,1
A12,A45,3872,2,A101,4,1
A12,A43,4933,2,A103,2,2
A12,A41,6468,1,A101,4,1
A14,A41,6313,3,A101,4,1
A14,A42,1258,2,A101,4,1
A14,A44,1338,1,A101,4,1
A12,A42,3976,2,A101,3,1
A11,A43,1364,3,A101,4,1
A14,A42,2221,2,A101,4,1
A11,A42,3590,2,A102,2,1
A14,A41,9277,2,A101,4,1
A12,A49,2825,4,A101,3,1
A12,A46,3711,2,A101,2,1
A14,A43,4454,4,A101,4,1
A12,A43,2063,4,A101,3,1
A12,A49,3590,3,A101,3,1
A12,A43,1154,2,A101,4,1
A12,A40,2353,1,A101,4,1
A13,A40,2923,1,A101,1,1
A11,A42,1433,4,A101,3,1
A11,A43,1936,2,A101,4,1
