@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,12,19-21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute InstallmentRate numeric
@attribute Property {A121,A122,A124,A123}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A11,A30,2,A123,A191,A201,1
A11,A32,1,A121,A192,A201,1
A11,A33,3,A124,A192,A201,2
A11,A32,2,A123,A191,A201,1
A12,A32,2,A121,A192,A201,1
A14,A32,3,A122,A191,A201,1
A12,A34,4,A121,A191,A201,1
A14,A31,2,A124,A192,A201,2
A11,A32,3,A121,A191,A201,1
A11,A34,1,A123,A191,A201,2
A11,A32,3,A121,A192,A201,2
A11,A33,4,A122,A192,A201,2
A12,A32,4,A124,A192,A201,1
A14,A34,4,A122,A192,A201,1
A14,A32,2,A124,A192,A201,1
A12,A34,4,A121,A192,A201,2
A14,A32,4,A123,A192,A201,1
A14,A34,4,A122,A191,A201,1
A14,A34,1,A121,A191,A201,1
A12,A32,1,A122,A192,A201,2
A11,A34,2,A124,A192,A201,1
A14,A34,3,A123,A192,A201,1
A11,A32,1,A121,A192,A201,1
A13,A32,2,A123,A191,A201,1
A11,A32,2,A122,A191,A201,1
A11,A32,4,A123,A191,A201,1
A14,A32,4,A123,A192,A201,1
A12,A32,4,A123,A191,A201,1
A11,A32,1,A123,A191,A201,1
A14,A33,1,A121,A191,A201,1
A12,A32,4,A121,A191,A201,2
A11,A32,1,A123,A191,A201,1
A14,A34,2,A123,A191,A201,1
A11,A32,3,A124,A191,A201,1
A13,A34,4,A121,A192,A201,2
A14,A32,3,A124,A191,A202,1
A11,A34,2,A124,A191,A201,2
A11,A34,4,A124,A192,A201,1
A13,A31,4,A121,A191,A201,2
A12,A33,3,A122,A191,A201,2
A11,A32,3,A124,A192,A201,1
A12,A32,4,A122,A191,A201,1
A14,A32,2,A124,A192,A201,1
A14,A32,3,A123,A191,A201,1
A14,A33,4,A121,A191,A201,1
A14,A32,4,A122,A192,A201,1
A11,A32,4,A122,A192,A201,1
A14,A33,4,A124,A192,A201,1
A14,A34,2,A124,A192,A201,1
A11,A31,3,A123,A191,A201,2
A11,A32,4,A124,A192,A201,1
A11,A31,4,A123,A191,A201,2
A12,A32,1,A124,A192,A201,2
A12,A32,4,A123,A192,A201,1
A12,A32,2,A121,A191,A201,1
A12,A32,4,A124,A191,A201,2
A11,A32,1,A121,A191,A201,2
A11,A34,3,A122,A191,A201,2
A12,A32,1,A121,A191,A201,1
A14,A32,4,A123,A192,A201,2
A11,A31,1,A123,A191,A202,1
A14,A32,3,A122,A192,A201,2
A11,A32,4,A121,A191,A201,2
A14,A34,4,A123,A192,A201,1
A11,A34,2,A122,A191,A201,1
A12,A32,4,A121,A191,A202,1
A12,A32,1,A123,A191,A201,2
A11,A34,4,A122,A192,A201,1
A14,A34,4,A122,A192,A201,1
A12,A32,3,A121,A191,A201,1
A11,A32,4,A121,A191,A201,1
A12,A32,4,A122,A191,A201,2
A12,A32,4,A122,A192,A201,1
A12,A32,2,A122,A191,A201,2
A11,A32,4,A121,A191,A201,2
A11,A32,2,A122,A191,A201,2
A11,A34,1,A121,A192,A201,2
A11,A32,4,A123,A192,A201,2
A11,A30,2,A123,A191,A201,2
A14,A34,2,A122,A191,A201,1
A14,A32,4,A121,A191,A201,1
A11,A32,3,A124,A192,A201,2
A14,A32,3,A123,A192,A201,1
A12,A34,4,A121,A191,A201,1
A14,A34,4,A123,A192,A201,1
A11,A34,4,A122,A191,A202,1
A14,A34,2,A121,A192,A201,1
A14,A32,4,A121,A192,A201,1
A11,A32,2,A121,A192,A201,1
A14,A32,1,A121,A191,A201,1
A14,A33,4,A123,A192,A201,1
A14,A34,2,A122,A192,A201,1
A14,A32,2,A122,A192,A201,1
A14,A32,3,A121,A191,A202,1
A14,A34,2,A121,A191,A201,1
A12,A30,1,A123,A191,A201,1
A14,A32,4,A124,A192,A201,1
A11,A34,4,A122,A192,A201,1
A12,A32,4,A124,A191,A201,1
A14,A34,4,A123,A192,A201,1
