@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Customer {1,2}

@data
A34,A44,A93,1
A32,A42,A93,1
A32,A44,A93,1
A32,A43,A92,1
A32,A43,A93,1
A32,A40,A93,1
A32,A41,A91,1
A34,A40,A92,1
A31,A42,A93,1
A32,A42,A93,1
A32,A46,A94,1
A33,A46,A93,1
A32,A40,A93,1
A33,A410,A93,1
A32,A48,A93,1
A32,A40,A92,1
A32,A40,A94,1
A34,A41,A93,1
A34,A46,A93,1
A33,A49,A93,1
A32,A45,A93,1
A33,A49,A93,1
A34,A40,A92,1
A34,A43,A93,1
A34,A42,A93,1
A32,A43,A91,1
A31,A43,A93,1
A32,A41,A94,1
A32,A43,A93,1
A32,A49,A92,1
A34,A43,A94,1
A34,A41,A93,1
A32,A43,A93,1
A32,A43,A93,1
A32,A43,A93,1
A34,A43,A93,1
A34,A41,A93,1
A34,A43,A93,1
A32,A45,A92,1
A34,A40,A93,1
A30,A40,A92,1
A31,A42,A93,1
A34,A41,A93,1
A34,A41,A92,1
A32,A46,A93,1
A34,A42,A93,1
A32,A40,A94,1
A34,A410,A93,1
A34,A40,A92,1
A32,A41,A93,1
A32,A43,A92,1
A32,A43,A93,1
A32,A43,A91,1
A34,A40,A93,1
A32,A43,A92,1
A32,A40,A94,1
A34,A43,A93,1
A32,A410,A92,1
A32,A43,A93,1
A34,A42,A92,1
A32,A40,A92,1
A34,A43,A94,1
A34,A43,A93,1
A34,A43,A93,1
A31,A49,A92,1
A34,A43,A93,1
A32,A49,A94,1
A32,A43,A92,1
A32,A43,A94,1
A32,A43,A93,1
A32,A43,A92,1
A34,A43,A93,1
A34,A40,A93,1
A34,A43,A93,1
A34,A43,A93,1
A32,A40,A92,1
A34,A41,A93,1
A32,A40,A93,1
A32,A42,A92,1
A33,A49,A92,1
A32,A49,A91,1
A32,A43,A94,1
A34,A40,A93,1
A32,A44,A92,1
A34,A43,A92,1
A34,A49,A93,1
A34,A42,A93,1
A32,A43,A94,1
A34,A42,A94,1
A32,A40,A93,1
A33,A43,A93,1
A33,A42,A92,1
A34,A41,A92,1
A33,A40,A93,1
A32,A40,A92,1
A34,A40,A93,1
A34,A43,A93,1
A34,A43,A92,1
A32,A44,A92,1
A34,A43,A93,1
A32,A45,A94,1
A32,A41,A93,1
A34,A40,A94,1
A32,A40,A93,1
A32,A43,A94,1
A34,A43,A92,1
A32,A42,A93,1
A34,A41,A93,1
A32,A40,A93,1
A32,A42,A92,1
A34,A42,A93,1
A32,A49,A93,1
A32,A44,A92,1
A34,A41,A93,1
A32,A49,A92,1
A32,A42,A93,1
A32,A49,A93,1
A33,A49,A93,1
A34,A42,A92,1
A32,A42,A93,1
A34,A40,A93,1
A32,A42,A92,1
A32,A43,A94,1
A33,A49,A93,1
A32,A41,A93,1
A34,A43,A93,1
A32,A43,A94,1
A32,A43,A93,1
A32,A43,A92,1
A32,A43,A92,1
A34,A46,A93,1
A34,A41,A93,1
A32,A42,A92,1
A34,A41,A94,1
A32,A43,A92,1
A32,A43,A92,1
A34,A40,A92,1
A32,A43,A94,1
A32,A42,A93,1
A34,A41,A93,1
A32,A44,A91,1
A33,A42,A93,1
A32,A42,A92,1
A32,A40,A93,1
A33,A40,A92,1
A34,A41,A93,1
A32,A43,A92,1
A34,A49,A92,1
A34,A40,A93,1
A32,A42,A93,1
A32,A40,A93,1
A34,A43,A93,1
A34,A41,A92,1
A34,A40,A93,1
A32,A40,A93,1
A30,A45,A93,1
A32,A42,A93,1
A32,A43,A92,1
A32,A42,A92,1
A34,A40,A92,1
A34,A42,A93,1
A34,A40,A92,1
A32,A43,A92,1
A34,A43,A92,1
A32,A43,A93,1
A32,A40,A93,1
A33,A49,A93,1
A32,A41,A92,1
A34,A43,A93,1
A34,A40,A92,1
A34,A46,A93,1
A34,A42,A92,1
A34,A40,A93,1
A32,A43,A93,1
A32,A43,A93,1
A34,A49,A94,1
A32,A42,A91,1
A33,A40,A92,1
A34,A43,A92,1
A32,A49,A92,1
A32,A43,A92,1
A32,A43,A94,1
A32,A40,A93,1
A32,A41,A93,1
A32,A40,A94,1
A33,A41,A93,1
A34,A43,A93,1
A34,A40,A91,1
A32,A43,A92,1
A30,A42,A93,1
A32,A40,A93,1
A32,A40,A92,1
A32,A43,A93,1
A34,A41,A93,1
A34,A49,A93,1
A32,A41,A92,1
A32,A41,A93,1
A34,A40,A93,1
A34,A43,A94,1
A32,A42,A93,1
A34,A42,A93,1
A32,A40,A92,1
A32,A43,A93,1
A32,A43,A93,1
A34,A40,A93,1
A34,A46,A92,1
A32,A40,A92,1
A32,A40,A94,1
A32,A40,A93,1
A33,A49,A93,1
A32,A41,A93,1
A34,A43,A93,1
A34,A45,A93,1
A34,A43,A93,1
A34,A49,A93,1
A32,A42,A93,1
A32,A49,A93,1
A32,A43,A94,1
A32,A42,A92,1
A32,A42,A93,1
A33,A40,A91,1
A31,A41,A93,1
A32,A41,A92,1
A34,A43,A93,1
A34,A43,A92,1
A32,A43,A93,1
A34,A49,A92,1
A34,A43,A92,1
A32,A43,A93,1
A34,A45,A91,1
A34,A40,A94,1
A32,A42,A93,1
A34,A42,A91,1
A34,A49,A91,1
A32,A41,A93,1
A32,A43,A93,1
A32,A49,A93,1
A34,A46,A93,1
A32,A43,A93,1
A34,A41,A93,1
A33,A43,A93,1
A32,A42,A92,1
A32,A41,A93,1
A30,A49,A93,1
A32,A43,A94,1
A34,A40,A93,1
A32,A40,A93,1
A32,A40,A93,1
A30,A43,A94,1
A32,A40,A92,1
A34,A42,A94,1
A32,A43,A92,1
A34,A42,A93,1
A34,A43,A93,1
A34,A43,A93,1
A32,A42,A93,1
A32,A42,A92,1
A34,A42,A92,1
A33,A41,A93,1
A32,A42,A92,1
A32,A49,A94,1
A32,A41,A93,1
A32,A41,A93,1
A32,A42,A93,1
A32,A41,A92,1
A34,A40,A93,1
A32,A40,A93,1
A34,A43,A92,1
A34,A46,A92,1
A32,A43,A92,1
A34,A43,A93,1
A33,A49,A93,1
A32,A44,A93,1
A32,A43,A92,1
A31,A48,A94,1
A32,A40,A93,1
A32,A41,A93,1
A31,A48,A92,1
A31,A43,A92,1
A32,A41,A93,1
A31,A43,A93,1
A32,A42,A93,1
A32,A41,A93,1
A32,A42,A92,1
A33,A43,A94,1
A32,A41,A92,1
A34,A43,A92,1
A32,A43,A93,1
A32,A40,A93,1
A34,A43,A93,1
A34,A40,A92,1
A32,A41,A93,1
A33,A49,A91,1
A34,A43,A93,1
A32,A40,A93,1
A32,A41,A93,1
A34,A42,A93,1
A32,A40,A93,1
A34,A49,A93,1
A34,A43,A93,1
A34,A43,A93,1
A32,A41,A92,1
A34,A41,A93,1
A32,A43,A93,1
A34,A40,A93,1
A34,A41,A93,1
A34,A42,A92,1
A32,A42,A93,1
A32,A42,A92,1
A32,A42,A91,1
A32,A46,A93,1
A32,A43,A93,1
A32,A40,A92,1
A32,A43,A93,1
A34,A43,A93,1
A34,A42,A94,1
A34,A42,A92,1
A32,A43,A92,1
A32,A43,A93,1
A34,A40,A93,1
A34,A43,A92,1
A34,A41,A93,1
A34,A49,A93,1
A32,A45,A92,1
A32,A41,A94,1
A34,A43,A93,1
A33,A410,A93,1
A32,A40,A93,1
A31,A41,A93,1
A34,A43,A92,1
A34,A49,A92,1
A32,A43,A94,1
A32,A43,A93,1
A32,A49,A94,1
A33,A43,A92,1
A32,A43,A93,1
A32,A43,A93,1
A34,A45,A92,1
A32,A42,A93,1
A33,A43,A93,1
A32,A42,A93,1
A34,A40,A93,1
A32,A42,A92,1
A32,A43,A93,1
A34,A40,A92,1
A32,A43,A93,1
A32,A40,A93,1
A32,A42,A91,1
A34,A46,A92,1
A34,A41,A93,1
A32,A43,A92,1
A32,A46,A92,1
A34,A42,A93,1
A34,A42,A93,1
A34,A42,A93,1
A32,A43,A92,1
A34,A42,A93,1
A34,A41,A93,1
A34,A43,A92,1
A34,A46,A92,1
A32,A40,A93,1
A33,A43,A92,1
A34,A40,A93,1
A32,A43,A93,1
A33,A49,A93,1
A32,A41,A93,1
A34,A42,A93,1
A34,A40,A93,1
A34,A40,A93,1
A34,A43,A93,1
A32,A43,A94,1
A34,A40,A93,1
A32,A42,A93,1
A34,A40,A92,1
A32,A43,A93,1
A33,A43,A93,1
A32,A43,A92,1
A32,A40,A93,1
A32,A48,A93,1
A34,A42,A92,1
A32,A49,A92,1
A32,A42,A92,1
A34,A43,A93,1
A32,A40,A94,1
A32,A43,A93,1
A32,A42,A93,1
A32,A43,A92,1
A32,A42,A92,1
