@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Customer {1,2}

@data
36,A34,A75,1
6,A32,A75,1
12,A34,A74,1
36,A32,A75,1
30,A34,A75,1
24,A33,A75,1
10,A32,A73,1
48,A33,A74,1
12,A32,A74,1
30,A31,A73,1
36,A34,A75,1
6,A32,A72,1
12,A32,A75,1
30,A34,A74,1
24,A34,A73,1
15,A32,A74,1
8,A34,A74,1
18,A33,A73,1
12,A34,A75,1
15,A32,A72,1
24,A33,A72,1
18,A32,A74,1
12,A34,A73,1
24,A33,A73,1
24,A34,A71,1
33,A34,A74,1
12,A34,A75,1
6,A34,A75,1
24,A34,A75,1
15,A34,A73,1
36,A34,A73,1
12,A34,A75,1
18,A32,A72,1
9,A32,A75,1
12,A34,A73,1
18,A31,A74,1
60,A33,A74,1
18,A30,A73,1
18,A34,A73,1
9,A34,A73,1
6,A32,A74,1
10,A32,A72,1
6,A34,A73,1
6,A34,A75,1
6,A32,A72,1
36,A32,A73,1
12,A32,A75,1
21,A32,A75,1
48,A34,A74,1
39,A32,A73,1
12,A32,A75,1
6,A32,A73,1
12,A32,A74,1
11,A32,A75,1
24,A32,A74,1
24,A32,A75,1
30,A32,A75,1
10,A34,A75,1
21,A32,A75,1
10,A32,A73,1
18,A34,A72,1
18,A32,A74,1
6,A30,A75,1
12,A34,A72,1
6,A34,A73,1
6,A34,A73,1
10,A32,A73,1
27,A34,A75,1
18,A34,A71,1
48,A32,A74,1
15,A34,A74,1
24,A32,A75,1
24,A31,A73,1
9,A32,A74,1
12,A33,A73,1
9,A32,A75,1
15,A34,A73,1
24,A32,A72,1
12,A32,A74,1
6,A34,A74,1
18,A32,A71,1
24,A32,A73,1
6,A33,A73,1
6,A32,A72,1
12,A34,A75,1
11,A34,A71,1
15,A32,A72,1
24,A32,A75,1
15,A34,A73,1
24,A33,A73,1
24,A34,A74,1
6,A33,A73,1
6,A34,A72,1
14,A33,A73,1
24,A34,A74,1
12,A32,A75,1
24,A32,A72,1
36,A32,A74,1
24,A32,A74,1
24,A32,A74,1
12,A32,A73,1
6,A32,A71,1
12,A32,A73,1
24,A34,A73,1
12,A32,A74,1
6,A34,A74,1
9,A34,A75,1
18,A33,A75,1
12,A32,A73,1
9,A34,A74,1
15,A32,A73,1
12,A32,A75,1
18,A32,A73,1
