@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A14,A121,A143,A191,1
A12,A123,A141,A192,1
A14,A122,A143,A191,1
A14,A123,A141,A191,1
A14,A123,A143,A192,1
A12,A122,A141,A192,1
A12,A122,A143,A191,1
A12,A121,A143,A192,1
A14,A122,A143,A192,1
A11,A122,A143,A192,1
A14,A121,A143,A191,1
A11,A121,A143,A191,1
A12,A123,A143,A191,1
A14,A122,A143,A191,1
A14,A123,A143,A192,1
A11,A122,A143,A191,1
A14,A124,A143,A192,1
A11,A123,A141,A191,1
A14,A121,A143,A191,1
A12,A122,A143,A191,1
A14,A122,A143,A191,1
A12,A124,A143,A192,1
A12,A123,A143,A192,1
A14,A123,A142,A191,1
A12,A122,A143,A191,1
A12,A121,A143,A191,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A11,A121,A143,A192,1
A12,A122,A143,A192,1
A11,A121,A143,A191,1
A11,A121,A142,A192,1
A13,A123,A143,A191,1
A12,A123,A143,A192,1
A13,A121,A143,A191,1
A14,A124,A143,A191,1
A14,A124,A143,A192,1
A13,A122,A143,A191,1
A14,A124,A141,A191,1
A14,A122,A143,A191,1
A13,A122,A143,A191,1
A12,A124,A143,A192,1
A12,A121,A143,A191,1
A14,A123,A143,A192,1
A14,A122,A143,A191,1
A11,A123,A143,A191,1
A13,A123,A143,A192,1
A14,A121,A143,A191,1
A11,A121,A143,A192,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A14,A122,A143,A191,1
A14,A123,A143,A191,1
A14,A122,A143,A192,1
A13,A123,A141,A192,1
A14,A121,A143,A191,1
A14,A123,A143,A192,1
A13,A123,A143,A191,1
A11,A123,A143,A191,1
A14,A123,A143,A192,1
A11,A124,A143,A191,1
A14,A122,A143,A191,1
A14,A121,A143,A192,1
A12,A123,A143,A191,1
A12,A121,A143,A191,1
A12,A122,A143,A191,1
A14,A121,A143,A192,1
A14,A122,A143,A192,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A14,A123,A143,A192,1
A14,A121,A143,A192,1
A14,A123,A143,A191,1
A14,A124,A141,A191,1
A12,A122,A143,A191,1
A14,A123,A143,A191,1
A14,A123,A143,A192,1
A12,A123,A143,A192,1
A14,A123,A143,A191,1
A14,A123,A142,A192,1
A12,A122,A143,A191,1
A12,A121,A143,A191,1
A12,A121,A141,A191,1
A11,A123,A143,A191,1
A12,A121,A143,A191,1
A14,A124,A143,A192,1
A11,A121,A143,A191,1
A14,A121,A143,A192,1
A14,A124,A143,A192,1
A12,A121,A142,A191,1
A14,A121,A143,A191,1
A14,A121,A141,A192,1
A11,A122,A143,A191,1
A11,A124,A143,A191,1
A14,A123,A143,A191,1
A14,A122,A143,A191,1
A14,A121,A141,A191,1
A14,A123,A143,A192,1
A11,A122,A143,A192,1
A14,A121,A143,A191,1
A13,A123,A141,A191,1
A11,A124,A141,A191,1
A14,A124,A143,A191,1
A12,A124,A141,A191,1
A14,A121,A143,A191,1
A14,A121,A143,A191,1
A13,A123,A143,A192,1
A14,A122,A143,A191,1
A13,A122,A143,A192,1
A13,A122,A141,A192,1
A14,A124,A143,A192,1
A11,A122,A143,A192,1
A14,A123,A143,A191,1
A14,A121,A142,A191,1
A14,A123,A143,A191,1
A12,A123,A143,A191,1
A11,A124,A143,A192,1
A14,A123,A143,A192,1
A11,A124,A143,A192,1
A14,A123,A143,A191,1
A14,A123,A143,A191,1
A14,A121,A143,A191,1
A11,A124,A141,A192,1
A12,A123,A143,A191,1
A12,A122,A143,A191,1
A14,A121,A143,A191,1
A11,A123,A142,A191,1
A14,A121,A141,A191,1
A14,A124,A143,A192,1
A14,A124,A143,A191,1
A11,A121,A143,A191,1
A11,A124,A141,A192,1
A11,A122,A141,A191,1
A14,A122,A143,A192,1
A11,A122,A143,A191,1
A14,A123,A141,A191,1
A14,A123,A143,A192,1
A12,A122,A142,A192,1
A11,A121,A143,A191,1
A14,A124,A141,A192,1
A13,A121,A143,A191,1
A11,A121,A143,A191,1
A12,A121,A143,A191,1
A12,A123,A143,A192,1
A12,A124,A143,A191,1
A11,A123,A141,A191,1
A11,A122,A141,A192,1
A12,A124,A143,A192,1
A14,A123,A143,A191,1
A13,A121,A143,A192,1
A12,A123,A143,A192,1
A13,A121,A143,A192,1
A11,A123,A143,A192,1
A11,A122,A143,A192,1
A13,A121,A143,A192,1
A13,A123,A143,A191,1
A12,A122,A143,A191,1
A14,A121,A143,A192,1
A14,A121,A143,A191,1
A11,A122,A143,A191,1
A12,A121,A143,A191,1
A13,A123,A143,A192,1
A14,A121,A143,A191,1
A12,A122,A143,A191,1
A14,A121,A143,A191,1
A14,A124,A143,A191,1
A11,A124,A143,A192,1
A14,A121,A143,A192,1
A12,A124,A143,A191,1
A14,A123,A143,A191,1
A14,A123,A143,A191,1
A12,A121,A143,A191,1
A14,A123,A143,A191,1
A14,A121,A143,A191,1
A14,A122,A143,A192,1
A12,A122,A142,A191,1
A13,A122,A143,A191,1
A14,A122,A143,A192,1
A11,A122,A143,A192,1
A11,A123,A143,A191,1
A14,A121,A143,A192,1
A12,A122,A143,A192,1
A14,A124,A143,A192,1
A14,A122,A143,A192,1
A14,A124,A143,A192,1
A12,A123,A143,A192,1
A14,A122,A143,A191,1
A11,A122,A143,A191,1
A14,A123,A143,A192,1
A14,A121,A143,A191,1
A14,A121,A143,A191,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A12,A121,A143,A192,1
A14,A121,A143,A191,1
A14,A121,A141,A191,1
A14,A122,A143,A192,1
A14,A123,A143,A192,1
A14,A123,A143,A191,1
A12,A121,A141,A191,1
A14,A123,A143,A192,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A13,A121,A143,A191,1
A11,A121,A143,A191,1
A12,A123,A143,A191,1
A11,A121,A143,A192,1
A11,A122,A143,A191,1
A14,A121,A143,A192,1
A12,A121,A143,A191,1
A14,A121,A143,A191,1
A12,A122,A143,A192,1
A12,A123,A143,A191,1
A14,A123,A143,A192,1
A14,A122,A143,A192,1
A12,A122,A143,A191,1
A12,A121,A141,A192,1
A11,A121,A143,A191,1
A12,A121,A143,A191,1
A13,A123,A143,A191,1
A11,A122,A143,A191,1
A12,A123,A141,A192,1
A11,A121,A141,A192,1
A12,A121,A143,A192,1
A11,A121,A143,A191,1
A11,A121,A143,A191,1
A14,A122,A143,A191,1
A14,A121,A143,A191,1
A12,A122,A143,A192,1
A11,A123,A143,A191,1
A12,A121,A143,A191,1
A11,A121,A143,A192,1
A14,A122,A143,A191,1
A13,A124,A143,A192,1
A14,A123,A143,A192,1
A11,A121,A143,A191,1
A14,A121,A143,A191,1
A14,A121,A143,A191,1
A14,A122,A143,A191,1
A11,A124,A143,A192,1
A14,A121,A143,A191,1
A12,A123,A143,A191,1
A14,A122,A143,A192,1
A14,A124,A143,A191,1
A14,A123,A143,A191,1
A14,A122,A143,A191,1
A14,A123,A143,A192,1
A14,A123,A143,A192,1
A14,A122,A143,A191,1
A14,A121,A143,A192,1
A14,A123,A143,A191,1
A14,A123,A143,A192,1
A13,A122,A142,A191,1
A14,A122,A143,A191,1
A14,A123,A142,A192,1
A11,A123,A141,A191,1
A12,A121,A143,A191,1
A12,A124,A143,A192,1
A14,A123,A143,A192,1
A11,A121,A143,A191,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A11,A121,A143,A191,1
A12,A123,A143,A192,1
A14,A123,A143,A192,1
A12,A121,A143,A191,1
A12,A121,A143,A191,1
A14,A121,A143,A191,1
A12,A121,A143,A191,1
A11,A121,A143,A191,1
A11,A122,A143,A192,1
A12,A123,A143,A191,1
