@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,15,17,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Housing {A152,A153,A151}
@attribute Job {A173,A172,A174,A171}
@attribute Customer {1,2}

@data
A12,A32,A41,12579,A153,A174,2
A12,A34,A41,1804,A152,A173,1
A12,A32,A40,5866,A152,A173,1
A14,A32,A43,2333,A152,A174,1
A11,A34,A41,6143,A153,A172,2
A14,A32,A43,2299,A152,A173,1
A12,A33,A42,2333,A152,A172,1
A12,A33,A41,5965,A152,A174,1
A14,A32,A43,1262,A152,A173,1
A14,A31,A40,783,A152,A172,1
A12,A33,A43,4771,A152,A173,1
A12,A32,A42,3832,A152,A173,1
A12,A32,A40,1318,A152,A173,1
A14,A34,A46,2012,A152,A173,1
A12,A34,A43,2728,A152,A173,1
A11,A32,A42,2462,A152,A173,2
A14,A34,A40,682,A152,A173,1
A14,A32,A43,1924,A152,A173,1
A14,A34,A43,1898,A152,A172,1
A12,A32,A40,7308,A153,A174,1
A11,A32,A42,1131,A152,A173,2
A14,A32,A49,4591,A152,A174,2
A12,A32,A43,3031,A151,A173,2
A11,A32,A46,1200,A151,A173,1
A14,A30,A45,2613,A152,A173,1
A12,A32,A43,10961,A152,A173,2
A12,A33,A43,7418,A152,A172,1
A14,A34,A43,2684,A152,A172,1
A14,A34,A49,6304,A152,A173,1
A11,A32,A45,11998,A152,A172,2
A14,A34,A43,2404,A152,A173,1
A12,A34,A40,3878,A152,A173,1
A14,A32,A42,1543,A152,A173,1
A11,A33,A42,3643,A152,A172,1
A11,A34,A40,3398,A152,A172,1
A11,A34,A41,6615,A153,A174,1
A14,A34,A46,1864,A152,A173,2
A11,A30,A42,4110,A151,A173,2
A14,A32,A44,1236,A151,A173,1
A13,A32,A43,3399,A152,A174,1
A14,A34,A40,362,A152,A172,1
A12,A34,A42,7374,A152,A174,1
A11,A34,A42,2348,A152,A173,1
A12,A33,A40,2899,A152,A173,1
A11,A33,A46,8471,A151,A173,1
A14,A33,A42,1591,A152,A174,1
A12,A32,A41,2779,A151,A173,1
A14,A34,A41,11054,A152,A174,1
A11,A32,A41,3386,A153,A173,2
A14,A32,A48,1238,A152,A174,1
A14,A32,A40,3757,A153,A173,1
A14,A34,A42,1585,A152,A173,1
A12,A32,A43,1301,A152,A172,1
A12,A33,A43,585,A151,A173,1
A12,A32,A40,2631,A151,A173,2
A14,A34,A40,2022,A152,A173,1
A14,A34,A45,996,A152,A173,1
A12,A33,A43,1553,A151,A173,1
A11,A32,A49,806,A152,A172,1
A11,A32,A40,1442,A151,A173,2
A12,A32,A43,2671,A153,A173,2
A12,A32,A42,3441,A151,A173,2
A12,A31,A40,1437,A152,A173,2
A14,A33,A43,15653,A152,A173,1
A12,A32,A45,1308,A152,A172,1
A14,A34,A43,1851,A152,A173,1
A14,A32,A42,2241,A152,A173,1
A14,A34,A40,2080,A152,A173,1
A14,A32,A46,1538,A152,A173,1
A14,A32,A43,2279,A153,A173,1
A13,A34,A43,1347,A152,A173,1
A12,A31,A43,1048,A152,A172,1
A11,A32,A40,1274,A152,A172,2
A14,A32,A41,3029,A152,A173,1
A14,A33,A45,1555,A153,A173,2
A14,A34,A40,12680,A153,A174,2
A14,A34,A43,1655,A152,A172,1
A11,A34,A46,8065,A152,A174,2
A14,A34,A40,3535,A152,A173,1
A11,A34,A46,5998,A152,A173,2
A14,A34,A42,1221,A152,A173,1
A11,A34,A42,4272,A152,A173,1
A14,A34,A43,930,A152,A173,1
A11,A34,A41,9629,A152,A173,2
A13,A32,A43,2327,A152,A172,2
A14,A33,A41,2993,A152,A172,1
A14,A32,A40,6761,A151,A173,2
A14,A32,A40,1474,A152,A173,1
A11,A32,A43,2439,A152,A173,2
A12,A34,A40,1322,A152,A173,1
A11,A31,A43,1940,A153,A174,1
A12,A32,A42,4057,A152,A173,2
A12,A32,A40,3195,A152,A172,1
A12,A32,A43,2991,A152,A173,1
A11,A32,A40,14896,A152,A174,2
A11,A34,A42,1049,A151,A173,1
A11,A32,A42,1747,A152,A172,1
A12,A32,A41,4113,A151,A173,2
A12,A34,A43,2520,A152,A172,2
A11,A32,A41,8229,A152,A173,2
