@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R2-3,7,21'

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Customer {1,2}

@data
12,A32,A74,1
24,A32,A73,2
10,A34,A73,1
12,A31,A73,1
30,A34,A74,1
12,A32,A73,1
48,A30,A73,2
27,A32,A75,1
42,A34,A74,1
24,A32,A72,2
18,A32,A74,1
18,A32,A73,1
24,A32,A75,1
6,A32,A72,1
36,A34,A73,1
21,A34,A75,1
24,A34,A73,1
18,A34,A75,2
9,A31,A75,2
9,A34,A75,2
18,A30,A74,1
36,A32,A73,1
18,A32,A73,1
24,A32,A72,1
24,A32,A75,1
9,A32,A73,1
24,A34,A75,1
42,A34,A75,1
12,A34,A73,1
60,A32,A72,2
48,A34,A73,2
15,A34,A73,1
12,A34,A75,1
48,A31,A74,2
18,A32,A73,1
12,A32,A72,1
39,A33,A74,1
12,A32,A75,2
18,A32,A72,1
24,A32,A75,1
36,A34,A75,1
28,A34,A75,1
42,A34,A71,1
20,A33,A73,1
12,A30,A75,1
11,A34,A73,1
6,A32,A72,1
15,A32,A72,1
33,A33,A73,1
24,A32,A72,2
18,A30,A72,2
15,A33,A74,1
24,A32,A72,2
26,A32,A72,1
21,A34,A72,2
12,A31,A73,2
9,A32,A74,1
24,A34,A73,1
9,A32,A73,1
24,A33,A73,1
18,A34,A74,2
18,A32,A72,1
24,A32,A74,2
18,A34,A75,1
24,A34,A71,1
30,A34,A75,1
24,A34,A73,1
60,A32,A75,1
15,A33,A73,1
60,A32,A73,1
12,A32,A73,1
18,A34,A75,1
30,A34,A75,1
9,A30,A72,2
18,A32,A73,2
13,A34,A72,1
30,A34,A74,1
36,A34,A75,1
12,A30,A73,1
48,A34,A75,1
9,A32,A72,1
24,A33,A75,1
48,A32,A74,2
36,A33,A73,1
24,A34,A75,1
20,A34,A73,2
15,A32,A73,2
27,A34,A72,1
36,A32,A75,1
12,A32,A72,2
48,A32,A73,2
28,A31,A72,1
36,A34,A73,1
24,A32,A71,2
30,A32,A75,1
9,A32,A72,2
9,A32,A73,2
36,A33,A74,2
24,A32,A75,2
24,A33,A75,2
