@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Job {A173,A172,A174,A171}
@attribute NPeopleMain numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A12,30,A173,1,A201,1
A14,24,A173,1,A201,1
A11,12,A173,1,A201,1
A13,12,A173,1,A201,1
A14,4,A172,2,A201,1
A12,13,A172,1,A201,1
A14,4,A172,2,A201,1
A12,42,A172,1,A201,1
A14,15,A173,1,A201,1
A14,9,A173,1,A201,1
A14,15,A172,2,A201,1
A14,6,A173,1,A201,1
A11,48,A174,1,A201,1
A14,24,A173,1,A201,1
A12,9,A172,1,A201,1
A14,24,A173,1,A201,1
A11,24,A172,1,A201,1
A14,24,A173,1,A201,1
A12,18,A172,1,A201,1
A14,36,A173,1,A201,1
A14,33,A174,1,A201,1
A11,15,A173,1,A201,1
A14,18,A173,2,A201,1
A14,30,A174,1,A201,1
A12,9,A173,1,A201,1
A14,10,A172,1,A202,1
A12,48,A174,1,A201,1
A14,15,A173,1,A201,1
A14,9,A173,1,A201,1
A14,27,A173,1,A201,1
A14,12,A173,1,A201,1
A14,6,A174,2,A201,1
A14,12,A173,1,A201,1
A11,18,A173,1,A201,1
A12,8,A173,1,A201,1
A11,21,A172,1,A202,1
A12,36,A173,1,A201,1
A12,15,A172,1,A201,1
A14,54,A172,2,A201,1
A14,39,A173,1,A201,1
A11,12,A173,1,A201,1
A14,18,A173,1,A202,1
A14,15,A173,1,A201,1
A12,12,A173,1,A201,1
A12,18,A173,1,A201,1
A12,12,A173,1,A201,1
A14,24,A173,1,A201,1
A14,24,A173,1,A201,1
A12,12,A172,1,A201,1
A11,24,A173,1,A201,1
A13,24,A173,1,A201,1
A13,12,A172,1,A201,1
A11,30,A173,1,A201,1
A14,15,A173,1,A201,1
A14,6,A172,2,A201,1
A11,24,A172,1,A201,1
A12,30,A173,1,A201,1
A14,36,A173,2,A201,1
A14,10,A172,2,A202,1
A14,6,A172,1,A201,1
A14,24,A173,1,A201,1
A14,6,A173,1,A201,1
A14,18,A174,1,A201,1
A14,24,A173,1,A201,1
A12,18,A173,1,A201,1
A14,60,A174,1,A201,1
A11,9,A173,2,A202,1
A14,24,A173,1,A201,1
A11,36,A173,2,A201,1
A12,24,A173,1,A201,1
A14,24,A172,1,A201,1
A14,10,A172,2,A202,1
A12,36,A173,2,A201,1
A14,6,A173,1,A201,1
A14,15,A174,1,A201,1
A14,12,A172,1,A201,1
A11,8,A172,1,A202,1
A14,15,A173,1,A201,1
A14,18,A173,1,A201,1
A14,24,A173,2,A201,1
A12,45,A173,1,A201,1
A12,24,A173,1,A201,1
A13,10,A173,1,A201,1
A14,24,A172,1,A201,1
A14,60,A173,1,A201,1
A14,24,A173,2,A201,1
A12,36,A174,1,A201,1
A14,6,A173,1,A201,1
A13,6,A173,1,A201,1
A13,15,A174,1,A201,1
A11,6,A172,1,A201,1
A11,24,A173,1,A201,1
A11,6,A173,1,A201,1
A14,6,A173,1,A201,1
A14,48,A173,1,A201,1
A12,6,A174,1,A201,1
A11,6,A173,2,A201,1
A14,48,A173,2,A201,1
A14,10,A173,1,A201,1
A11,12,A172,2,A201,1
A11,24,A173,1,A202,1
A14,24,A174,1,A201,1
A12,14,A173,1,A201,1
A11,39,A174,1,A201,1
A11,30,A173,1,A201,1
A14,33,A173,1,A201,1
A11,6,A173,2,A201,1
A12,24,A173,1,A201,1
A14,12,A174,2,A201,1
A14,24,A173,1,A201,1
A12,12,A173,1,A201,1
A14,36,A174,1,A201,1
A13,24,A173,1,A201,1
A12,36,A173,1,A201,1
A14,24,A173,1,A201,1
A14,36,A172,1,A201,1
A14,12,A172,1,A201,1
A11,10,A172,1,A201,1
A14,30,A173,1,A201,1
A14,24,A173,1,A201,1
A11,10,A172,2,A202,1
A12,60,A174,1,A201,1
A12,9,A174,1,A201,1
A14,12,A173,1,A202,1
A14,12,A173,1,A201,1
A14,10,A173,1,A201,1
A12,30,A173,2,A201,1
A13,15,A173,1,A201,1
A14,12,A174,1,A201,1
A14,21,A173,1,A201,1
A14,12,A172,1,A201,1
A14,15,A173,1,A201,1
A11,24,A174,1,A201,1
A11,15,A173,1,A201,1
A14,24,A173,2,A201,1
A14,24,A173,2,A201,1
A11,15,A172,1,A201,1
A14,12,A173,1,A201,1
A13,18,A172,1,A201,1
A14,15,A173,1,A201,1
A14,36,A173,1,A201,1
A12,6,A172,1,A201,1
A12,12,A174,1,A201,1
A14,12,A173,1,A201,1
A14,9,A172,1,A201,1
A12,36,A174,1,A201,1
A14,9,A172,1,A201,1
A14,9,A173,1,A201,1
A11,6,A172,2,A202,1
A11,10,A173,1,A201,1
A11,30,A173,2,A201,1
A11,24,A174,2,A201,1
A14,12,A173,1,A202,1
A14,24,A174,1,A201,1
A13,15,A173,1,A201,1
A14,15,A173,1,A201,1
A12,18,A173,1,A201,1
A12,12,A173,1,A201,1
A12,24,A172,1,A201,1
A14,12,A173,1,A201,1
A11,48,A173,2,A201,1
A12,15,A173,1,A201,1
A12,7,A173,1,A201,1
A11,18,A174,1,A201,1
A14,12,A173,1,A201,1
A12,15,A173,1,A201,1
A14,36,A173,1,A201,1
A14,24,A174,2,A201,1
A11,6,A173,1,A201,1
A12,18,A173,1,A201,1
A12,9,A173,1,A201,1
A13,6,A173,2,A201,1
A12,18,A173,1,A201,1
A11,15,A172,1,A201,1
A11,13,A172,1,A201,1
A14,36,A173,1,A201,1
A11,12,A174,2,A201,1
A14,9,A174,1,A201,1
A12,12,A173,1,A201,1
A14,21,A172,1,A201,1
A13,12,A173,1,A201,1
A11,12,A173,1,A201,1
A11,6,A173,1,A202,1
A14,24,A173,1,A201,1
A14,6,A173,1,A201,1
A11,24,A173,1,A201,1
A14,24,A173,1,A201,1
A11,36,A173,2,A201,1
A14,6,A173,1,A201,1
A14,6,A173,1,A201,1
A12,30,A173,1,A201,1
A12,10,A174,1,A201,1
A12,18,A172,1,A201,1
A12,8,A173,1,A202,1
A14,18,A173,1,A201,1
A14,15,A172,1,A201,1
A11,15,A173,1,A201,1
A12,12,A172,1,A201,1
A14,24,A173,1,A201,1
A11,12,A173,1,A201,1
A14,24,A173,1,A201,1
A12,24,A173,1,A201,1
A13,36,A173,1,A201,1
A14,21,A174,1,A201,1
A14,11,A173,1,A201,1
A14,12,A172,1,A201,1
A11,24,A172,1,A201,1
A11,30,A173,1,A201,1
A11,24,A173,2,A201,1
A12,18,A173,1,A201,1
A11,36,A174,2,A201,1
A14,24,A174,1,A201,1
A14,15,A173,2,A201,1
A12,24,A173,1,A201,1
A11,24,A173,1,A201,1
A11,24,A173,1,A201,1
A11,36,A173,1,A201,1
A12,15,A173,1,A201,1
A14,6,A172,2,A201,1
A12,12,A172,2,A201,1
A14,21,A174,1,A201,1
A12,18,A172,2,A201,1
A14,12,A172,1,A201,1
A14,15,A172,1,A201,1
A11,12,A172,1,A202,1
A12,18,A172,1,A201,1
A12,48,A174,1,A201,1
A14,6,A171,1,A201,1
A11,21,A172,1,A201,1
A14,7,A172,1,A201,1
A11,47,A172,1,A201,1
A14,6,A172,1,A201,1
A14,42,A173,1,A201,1
A14,15,A173,1,A201,1
A11,18,A173,1,A201,1
A11,18,A173,1,A201,1
A12,20,A173,1,A201,1
A11,24,A172,1,A201,1
A14,12,A173,1,A201,1
A14,24,A174,1,A201,1
A14,15,A173,1,A201,1
A11,12,A173,1,A201,1
A14,36,A173,1,A201,1
A14,12,A173,2,A201,1
A12,12,A173,1,A201,1
A14,24,A173,1,A201,1
A14,10,A173,1,A201,1
A14,18,A173,1,A201,1
A14,12,A171,1,A201,1
A14,4,A172,2,A201,1
A11,9,A173,2,A201,1
A12,11,A173,1,A201,1
A11,12,A172,1,A201,1
A11,20,A173,1,A201,1
A14,24,A173,1,A201,1
A11,30,A174,2,A201,1
A14,24,A174,1,A201,1
A14,30,A172,1,A201,1
A14,36,A173,1,A201,1
A14,9,A172,1,A201,1
A14,24,A174,1,A201,1
A14,15,A173,1,A201,1
A14,12,A173,1,A201,1
A14,24,A173,1,A201,1
A14,24,A173,1,A201,1
A11,42,A171,1,A201,1
A14,24,A173,2,A201,1
A12,12,A174,1,A201,1
A14,24,A174,1,A201,1
A11,18,A173,1,A201,1
A12,6,A172,1,A201,1
A13,30,A173,1,A201,1
A14,6,A173,1,A201,1
A12,48,A173,2,A201,1
A13,21,A174,1,A201,1
A12,13,A173,1,A201,1
A14,18,A173,1,A201,1
A14,24,A174,1,A201,1
A14,30,A173,1,A201,1
A11,12,A174,1,A201,1
A11,11,A173,2,A201,1
A12,20,A174,1,A201,1
A11,24,A173,1,A201,1
A14,24,A173,1,A201,1
A13,6,A171,2,A202,1
A14,24,A173,1,A201,1
A11,11,A172,2,A201,1
A14,21,A173,1,A201,1
A12,9,A171,1,A201,1
A11,8,A172,1,A201,1
A14,12,A173,1,A201,1
A13,15,A173,1,A201,1
A14,24,A173,1,A201,1
A14,27,A172,2,A201,1
A12,15,A173,1,A201,1
A14,9,A173,2,A202,1
A14,12,A173,1,A201,1
A14,36,A174,2,A201,1
A14,9,A173,1,A201,1
A14,24,A173,1,A201,1
A14,12,A173,1,A201,1
A13,36,A173,1,A201,1
A14,24,A173,1,A201,1
A12,18,A171,2,A201,1
A14,6,A173,2,A201,1
A12,12,A172,1,A201,1
A14,18,A173,1,A201,1
A14,18,A172,1,A201,1
A14,12,A172,2,A201,1
A14,9,A173,2,A201,1
A14,7,A173,1,A201,1
A12,24,A173,1,A201,1
A11,9,A172,1,A201,1
A12,24,A172,1,A201,1
A11,30,A174,1,A201,1
A14,39,A174,1,A201,1
A12,18,A173,1,A201,1
A14,48,A174,1,A201,1
A12,48,A173,1,A201,1
A14,6,A172,2,A201,1
A13,6,A171,1,A202,1
A12,18,A173,1,A201,1
A14,18,A174,1,A201,1
A14,12,A173,1,A201,1
A14,24,A173,1,A201,1
A14,6,A173,1,A201,1
A14,12,A173,2,A201,1
A11,24,A173,2,A201,1
A12,30,A173,1,A201,1
A13,4,A172,2,A202,1
A14,12,A174,1,A201,1
A11,6,A173,1,A201,1
A14,15,A173,1,A201,1
A13,24,A173,1,A201,1
A12,26,A173,1,A201,1
A14,18,A174,1,A201,1
A12,9,A172,1,A201,1
A14,12,A173,1,A201,1
A14,12,A173,1,A201,1
A11,20,A173,1,A201,1
A11,18,A172,2,A201,1
A12,15,A172,1,A201,1
A14,12,A173,1,A201,1
A14,6,A173,1,A201,1
A13,24,A173,1,A201,1
A14,28,A173,2,A201,1
A12,21,A173,1,A201,1
A12,48,A173,1,A201,1
A14,36,A173,1,A201,1
A14,12,A173,1,A201,1
A13,30,A172,1,A201,1
A14,12,A173,1,A201,1
A14,15,A173,1,A201,1
A12,12,A173,1,A201,1
A13,24,A173,1,A201,1
A14,18,A173,1,A201,1
A13,12,A171,1,A201,1
A12,18,A174,1,A201,1
A14,6,A174,2,A201,1
A14,24,A172,2,A201,1
A11,15,A173,1,A201,1
A14,15,A173,1,A201,1
A12,27,A173,2,A201,1
A14,24,A174,1,A201,1
A14,18,A173,1,A201,1
A14,24,A174,2,A201,1
A14,18,A173,1,A201,1
A13,24,A173,1,A201,1
A14,36,A173,1,A201,1
A12,9,A172,1,A201,1
A11,12,A173,1,A201,1
A12,9,A173,1,A201,1
A14,24,A172,1,A201,1
A12,18,A173,1,A201,1
A14,27,A173,2,A201,1
A11,15,A173,1,A202,1
A12,48,A173,1,A201,1
A14,12,A173,1,A201,1
A12,6,A173,2,A201,1
A14,27,A173,1,A201,1
A14,9,A173,1,A201,1
A12,36,A173,1,A201,1
A11,24,A174,1,A201,1
A12,6,A174,1,A201,1
A12,36,A171,1,A201,1
A14,36,A174,1,A201,1
A12,21,A173,1,A201,1
A14,9,A173,1,A201,1
A12,16,A171,1,A201,1
A12,12,A172,2,A201,1
A14,24,A173,1,A201,1
A14,22,A173,1,A201,1
A14,24,A172,1,A201,1
A12,10,A172,1,A201,1
A12,21,A173,1,A201,1
A11,6,A174,1,A201,1
A14,30,A172,1,A201,1
A12,24,A173,1,A201,1
A13,10,A173,1,A201,1
A13,18,A174,1,A201,1
A13,10,A173,1,A201,1
A12,18,A172,1,A201,1
A14,13,A173,1,A201,1
A14,18,A173,1,A201,1
A12,12,A172,1,A201,1
A12,12,A173,1,A201,1
A14,12,A173,1,A201,1
A11,24,A173,1,A201,1
A14,30,A174,1,A201,1
A14,12,A172,1,A201,1
A14,12,A174,2,A201,1
A14,10,A173,1,A202,1
A11,24,A172,1,A202,1
A14,18,A173,1,A201,1
A13,6,A173,1,A201,1
A14,12,A173,1,A201,1
A13,12,A173,1,A201,1
A14,18,A173,1,A201,1
A14,12,A173,1,A201,1
A11,6,A173,1,A201,1
A14,12,A173,2,A201,1
A14,60,A173,2,A201,1
A14,36,A173,1,A201,1
A11,24,A173,1,A202,1
A14,24,A173,1,A201,1
A11,12,A173,1,A201,1
A14,24,A173,2,A201,1
A14,30,A173,1,A201,1
A14,10,A173,2,A201,1
A12,12,A173,2,A201,1
A11,12,A173,1,A201,1
A12,24,A171,1,A201,1
A14,15,A173,1,A201,1
A14,24,A173,1,A201,1
A12,36,A173,1,A201,1
A14,6,A173,1,A202,1
A12,18,A173,1,A201,1
A11,12,A172,1,A201,1
A12,18,A172,1,A201,1
A11,21,A173,1,A201,1
A14,24,A173,1,A201,1
A11,18,A173,1,A201,1
A14,30,A173,1,A201,1
A14,36,A174,1,A201,1
A11,10,A173,1,A202,1
A14,36,A173,1,A201,1
A11,12,A173,2,A201,1
A14,12,A173,1,A201,1
A11,12,A172,1,A201,1
A14,6,A172,1,A201,1
A14,30,A173,1,A201,1
A11,6,A173,1,A201,1
A12,11,A173,1,A201,1
A11,18,A174,2,A201,1
A12,12,A173,1,A201,1
A11,6,A172,1,A201,1
A12,20,A174,2,A201,1
A11,12,A172,1,A201,1
A14,12,A173,1,A201,1
A12,7,A173,1,A201,1
A12,39,A173,1,A201,1
A12,12,A174,1,A201,1
A14,10,A173,1,A201,1
A14,12,A173,1,A201,1
A14,15,A172,1,A201,1
A14,12,A173,1,A201,1
A11,9,A173,1,A201,1
A14,6,A173,1,A201,1
A12,24,A173,1,A201,1
A11,12,A172,2,A201,1
A13,12,A174,1,A201,1
A14,12,A173,1,A201,1
A11,8,A174,2,A201,1
A13,42,A173,1,A201,1
A14,24,A173,2,A201,1
A14,48,A173,1,A201,1
A14,28,A173,1,A201,1
A14,24,A172,1,A201,1
A14,36,A173,2,A201,1
A11,24,A173,1,A201,1
A14,36,A172,2,A201,1
A13,12,A173,1,A201,1
A14,42,A173,1,A201,1
A12,21,A173,1,A201,1
A11,12,A172,2,A201,1
A14,36,A173,1,A201,1
A14,12,A173,1,A201,1
A11,9,A173,1,A201,1
A11,12,A173,1,A201,1
A14,21,A174,1,A201,1
A11,27,A174,2,A201,1
A14,24,A172,1,A201,1
A14,18,A171,1,A201,1
A14,60,A174,1,A201,1
