@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,12,14-16,21'

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Housing {A152,A153,A151}
@attribute NCredits numeric
@attribute Customer {1,2}

@data
A11,A30,A49,8072,A123,A141,A152,3,1
A11,A32,A42,1374,A121,A141,A152,1,1
A11,A33,A49,6836,A124,A143,A152,2,2
A11,A32,A42,4020,A123,A142,A152,1,1
A12,A32,A49,1391,A121,A141,A152,1,1
A14,A32,A49,1568,A122,A143,A151,1,1
A12,A34,A43,2337,A121,A143,A152,1,1
A14,A31,A40,6458,A124,A141,A152,2,2
A11,A32,A43,1680,A121,A143,A152,1,1
A11,A34,A42,4281,A123,A143,A152,2,2
A11,A32,A43,1835,A121,A143,A152,2,2
A11,A33,A46,6887,A122,A142,A152,1,2
A12,A32,A43,4795,A124,A143,A152,1,1
A14,A34,A42,2288,A122,A143,A152,1,1
A14,A32,A43,1346,A124,A141,A153,1,1
A12,A34,A49,1935,A121,A143,A152,2,2
A14,A32,A43,1963,A123,A143,A151,2,1
A14,A34,A43,1360,A122,A143,A152,2,1
A14,A34,A43,3074,A121,A143,A152,2,1
A12,A32,A40,14555,A122,A143,A152,1,2
A11,A34,A40,5302,A124,A143,A153,3,1
A14,A34,A42,1402,A123,A143,A151,1,1
A11,A32,A40,10722,A121,A143,A152,1,1
A13,A32,A42,3749,A123,A143,A152,1,1
A11,A32,A42,708,A122,A143,A152,1,1
A11,A32,A42,2659,A123,A143,A152,1,1
A14,A32,A40,1525,A123,A143,A152,1,1
A12,A32,A43,1068,A123,A143,A152,1,1
A11,A32,A42,3599,A123,A143,A151,1,1
A14,A33,A49,1743,A121,A143,A152,2,1
A12,A32,A40,1246,A121,A142,A152,1,2
A11,A32,A42,3650,A123,A143,A151,1,1
A14,A34,A43,2238,A123,A143,A152,2,1
A11,A32,A42,2578,A124,A143,A153,1,1
A13,A34,A40,939,A121,A143,A152,3,2
A14,A32,A40,1597,A124,A143,A151,1,1
A11,A34,A45,1190,A124,A143,A153,3,2
A11,A34,A42,1872,A124,A143,A153,3,1
A13,A31,A49,609,A121,A143,A152,1,2
A12,A33,A45,1512,A122,A142,A152,2,2
A11,A32,A41,2924,A124,A141,A152,1,1
A12,A32,A40,1201,A122,A143,A152,1,1
A14,A32,A41,4686,A124,A143,A153,1,1
A14,A32,A41,3488,A123,A143,A152,1,1
A14,A33,A41,1503,A121,A143,A151,1,1
A14,A32,A43,1311,A122,A143,A152,1,1
A11,A32,A40,1374,A122,A143,A152,1,1
A14,A33,A40,2032,A124,A143,A153,2,1
A14,A34,A41,8858,A124,A143,A153,2,1
A11,A31,A42,3552,A123,A141,A152,1,2
A11,A32,A41,2964,A124,A141,A153,1,1
A11,A31,A43,1546,A123,A141,A151,1,2
A12,A32,A40,12389,A124,A143,A153,1,2
A12,A32,A43,3979,A123,A143,A152,2,1
A12,A32,A43,2930,A121,A143,A152,1,1
A12,A32,A45,2384,A124,A143,A151,1,2
A11,A32,A42,2039,A121,A141,A151,1,2
A11,A34,A42,2246,A122,A143,A152,2,2
A12,A32,A43,2329,A121,A143,A152,1,1
A14,A32,A42,3349,A123,A143,A152,1,2
A11,A31,A41,3632,A123,A141,A151,1,1
A14,A32,A46,4623,A122,A143,A152,1,2
A11,A32,A40,2303,A121,A143,A152,1,2
A14,A34,A42,5150,A123,A143,A152,1,1
A11,A34,A42,975,A122,A143,A152,2,1
A12,A32,A43,1103,A121,A143,A152,2,1
A12,A32,A41,11560,A123,A143,A151,2,2
A11,A34,A42,14179,A122,A143,A152,2,1
A14,A34,A40,2463,A122,A143,A152,2,1
A12,A32,A43,1155,A121,A141,A152,2,1
A11,A32,A43,3509,A121,A143,A152,1,1
A12,A32,A40,836,A122,A141,A152,1,2
A12,A32,A49,1941,A122,A143,A152,1,1
A12,A32,A49,1188,A122,A143,A152,1,2
A11,A32,A43,1345,A121,A141,A152,1,2
A11,A32,A42,2712,A122,A141,A152,1,2
A11,A34,A40,3966,A121,A141,A151,3,2
A11,A32,A40,1216,A123,A143,A151,1,2
A11,A30,A49,11816,A123,A143,A151,2,2
A14,A34,A42,3331,A122,A142,A152,1,1
A14,A32,A44,874,A121,A143,A152,1,1
A11,A32,A40,1422,A124,A143,A153,1,2
A14,A32,A41,7814,A123,A143,A152,1,1
A12,A34,A40,2181,A121,A143,A152,2,1
A14,A34,A40,6614,A123,A143,A152,2,1
A11,A34,A40,2171,A122,A141,A152,2,1
A14,A34,A40,3485,A121,A143,A152,2,1
A14,A32,A43,1278,A121,A143,A152,1,1
A11,A32,A43,1107,A121,A143,A151,1,1
A14,A32,A41,2848,A121,A143,A152,1,1
A14,A33,A43,12749,A123,A143,A152,1,1
A14,A34,A41,6842,A122,A143,A152,2,1
A14,A32,A40,3527,A122,A143,A152,1,1
A14,A32,A40,1546,A121,A143,A152,1,1
A14,A34,A40,1455,A121,A143,A152,3,1
A12,A30,A40,8358,A123,A143,A152,2,1
A14,A32,A40,2859,A124,A143,A152,1,1
A11,A34,A43,1231,A122,A143,A151,2,1
A12,A32,A42,3069,A124,A143,A153,1,1
A14,A34,A43,2831,A123,A143,A152,1,1
