@relation 'german-weka.filters.unsupervised.attribute.Remove-V-R3-5,7,12,16,20-21'

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute NCredits numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A33,A40,4870,A73,A124,2,A201,2
A32,A46,9055,A73,A124,1,A201,1
A34,A40,5234,A71,A123,2,A201,2
A32,A43,1567,A73,A123,1,A201,1
A32,A40,1403,A73,A123,1,A201,1
A32,A42,1474,A72,A122,1,A201,1
A34,A46,6110,A73,A124,1,A201,1
A32,A43,2100,A73,A121,1,A201,2
A32,A43,6468,A71,A124,1,A201,2
A32,A43,2394,A73,A123,1,A201,1
A33,A41,7057,A74,A122,2,A201,1
A32,A43,10144,A74,A121,1,A201,1
A34,A40,860,A75,A124,2,A201,1
A32,A44,1262,A74,A122,2,A201,1
A32,A40,909,A75,A122,1,A201,1
A32,A43,1414,A73,A121,1,A202,1
A32,A42,2577,A73,A123,1,A201,1
A33,A49,4455,A73,A121,2,A201,2
A31,A40,1647,A73,A122,2,A201,2
A30,A49,3844,A74,A124,1,A201,2
A32,A49,3915,A73,A123,1,A201,2
A32,A49,6568,A73,A123,1,A201,1
A33,A49,1908,A75,A121,1,A201,2
A32,A42,3021,A73,A121,1,A201,1
A32,A42,7865,A75,A124,1,A201,2
A32,A43,4210,A73,A123,1,A201,2
A32,A43,2522,A75,A122,1,A201,1
A30,A41,4605,A75,A124,2,A201,2
A32,A49,1258,A74,A121,1,A201,1
A32,A40,8978,A75,A122,1,A202,2
A32,A43,3060,A74,A121,2,A201,2
A32,A41,9398,A72,A123,1,A201,2
A32,A42,4351,A73,A122,1,A201,1
A34,A42,5801,A75,A122,1,A201,1
A32,A43,4473,A75,A123,1,A201,1
A32,A46,1239,A73,A124,1,A201,1
A32,A49,1542,A74,A123,1,A201,1
A34,A42,2146,A72,A121,2,A201,1
A33,A43,2320,A71,A121,2,A201,1
A34,A49,1887,A73,A121,2,A201,1
A32,A43,1053,A72,A121,1,A202,1
A32,A40,2782,A74,A123,1,A201,1
A32,A42,1313,A75,A123,1,A201,1
A32,A49,3448,A74,A121,1,A201,1
A34,A46,1244,A75,A122,2,A201,1
A33,A43,1659,A72,A123,1,A201,2
A34,A45,5507,A75,A124,2,A201,1
A34,A43,1503,A74,A121,2,A201,1
A32,A42,2864,A73,A121,1,A201,2
A30,A40,2278,A72,A123,2,A201,2
A30,A40,5003,A73,A122,2,A201,2
A33,A43,683,A72,A122,1,A201,1
A32,A40,1372,A74,A123,1,A201,2
A34,A43,5954,A74,A123,1,A201,1
A34,A40,1056,A75,A121,2,A201,2
A34,A40,2799,A73,A121,2,A201,1
A32,A49,1572,A75,A121,1,A201,1
A34,A49,4526,A73,A121,1,A201,1
A32,A40,1240,A75,A124,1,A201,2
A34,A40,3676,A73,A121,3,A201,1
A32,A42,1980,A72,A123,2,A201,2
A33,A49,7980,A72,A123,2,A201,2
A32,A46,7476,A74,A124,1,A201,1
A32,A40,888,A75,A123,1,A201,2
A33,A42,1050,A71,A122,2,A201,1
A32,A49,5742,A74,A123,2,A201,1
A32,A43,2896,A72,A123,1,A201,1
A32,A41,1236,A73,A122,1,A201,1
A32,A43,1377,A75,A124,1,A201,1
A32,A40,6560,A74,A122,1,A201,2
A34,A43,3148,A73,A123,2,A201,1
A31,A46,433,A72,A122,1,A201,2
A34,A40,250,A73,A121,2,A201,1
A33,A43,6403,A72,A123,1,A201,1
A32,A43,760,A74,A121,1,A201,1
A34,A40,1299,A73,A121,3,A202,1
A34,A43,1271,A73,A124,2,A201,2
A34,A42,2124,A73,A121,2,A201,2
A34,A43,2223,A75,A122,2,A201,1
A32,A45,3872,A71,A123,1,A201,1
A34,A43,4933,A74,A121,2,A201,2
A32,A41,6468,A71,A121,1,A201,1
A32,A41,6313,A75,A123,1,A201,1
A34,A42,1258,A72,A122,2,A201,1
A32,A44,1338,A73,A121,1,A201,1
A32,A42,3976,A74,A123,1,A201,1
A32,A43,1364,A74,A121,1,A201,1
A32,A42,2221,A73,A123,1,A201,1
A32,A42,3590,A73,A122,1,A201,1
A32,A41,9277,A73,A124,1,A201,1
A34,A49,2825,A74,A124,2,A201,1
A32,A46,3711,A73,A123,1,A201,1
A33,A43,4454,A73,A121,2,A201,1
A32,A43,2063,A72,A123,1,A201,1
A34,A49,3590,A71,A123,3,A201,1
A34,A43,1154,A75,A121,3,A201,1
A33,A40,2353,A73,A122,2,A201,1
A32,A40,2923,A73,A123,1,A201,1
A34,A42,1433,A73,A122,2,A201,1
A32,A43,1936,A74,A123,2,A201,1
