@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Property {A121,A122,A124,A123}
@attribute NCredits numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A32,A42,2301,A72,A122,1,A201,1
A31,A40,783,A73,A121,1,A201,1
A32,A42,3069,A75,A124,1,A201,1
A32,A40,5866,A73,A123,2,A201,1
A34,A40,2241,A72,A121,2,A202,1
A34,A40,609,A74,A122,2,A202,1
A32,A40,276,A73,A121,1,A201,1
A32,A43,3016,A73,A123,1,A201,1
A32,A43,1505,A73,A124,1,A201,1
A33,A40,802,A73,A123,2,A201,1
A31,A44,3990,A72,A124,1,A201,1
A33,A46,11760,A74,A124,1,A201,1
A34,A41,5804,A73,A121,2,A201,1
A34,A43,2684,A73,A121,2,A201,1
A34,A41,2197,A74,A123,2,A201,1
A32,A46,1905,A75,A123,1,A201,1
A32,A43,701,A73,A121,1,A201,1
A33,A45,6204,A73,A121,1,A201,1
A34,A40,3878,A72,A123,1,A201,1
A32,A43,1409,A71,A121,1,A201,1
A30,A41,9436,A73,A122,1,A201,1
A30,A40,1204,A73,A124,1,A202,1
A34,A42,1049,A72,A122,1,A201,1
A34,A40,1055,A72,A122,2,A201,1
A32,A40,662,A72,A121,1,A201,1
A34,A41,5842,A75,A122,2,A201,1
A32,A43,2647,A73,A121,1,A201,1
A33,A42,960,A74,A122,2,A201,1
A32,A46,1199,A74,A122,2,A201,1
A34,A49,1275,A73,A121,2,A201,1
A34,A40,1480,A71,A124,3,A201,1
A34,A43,1459,A73,A123,1,A201,1
A32,A42,2708,A72,A122,2,A201,1
A34,A43,730,A75,A122,2,A201,1
A32,A48,754,A75,A122,2,A201,1
A32,A40,2511,A71,A123,1,A201,1
A34,A43,2424,A75,A122,2,A201,1
A34,A42,4042,A73,A121,2,A201,1
A34,A49,1382,A74,A121,2,A201,1
A32,A43,3509,A74,A121,1,A201,1
A32,A43,999,A75,A123,2,A201,1
A31,A41,9283,A71,A124,1,A201,1
A34,A43,1154,A71,A121,3,A201,1
A32,A43,1881,A73,A123,1,A201,1
A30,A49,6289,A72,A122,2,A201,1
A32,A40,3527,A72,A122,1,A201,1
A32,A43,2214,A73,A122,1,A201,1
A34,A42,3777,A73,A121,1,A201,1
A33,A49,1743,A73,A121,2,A201,1
A34,A40,3905,A73,A121,2,A201,1
A32,A40,1418,A73,A121,1,A202,1
A32,A49,907,A72,A121,1,A201,1
A34,A41,4042,A74,A122,2,A201,1
A32,A43,2329,A72,A121,1,A201,1
A32,A42,652,A75,A122,1,A201,1
A32,A41,8588,A75,A123,1,A201,1
A34,A40,2181,A75,A121,2,A201,1
A34,A43,2404,A73,A123,2,A201,1
A32,A43,1113,A73,A121,1,A201,1
A34,A40,1343,A75,A121,2,A202,1
A32,A40,1893,A73,A122,1,A201,1
A32,A42,3650,A72,A123,1,A201,1
A32,A43,3235,A75,A123,1,A201,1
A32,A42,3959,A71,A122,1,A201,1
A33,A43,4771,A74,A122,1,A201,1
A33,A49,2427,A75,A122,2,A201,1
A34,A46,1047,A73,A122,1,A201,1
A31,A48,339,A75,A123,1,A201,1
A34,A43,522,A75,A122,2,A201,1
