@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
23.8172,9.5728,10.449,g
60.458,33.1061,8.292,g
107.338,29.1356,3.312,g
87.4217,26.7866,0.3647,g
66.1331,25.9259,11.5159,g
19.5793,14.6976,13.17,g
92.5854,11.2825,2.5099,g
21.6891,10.3849,1.5485,g
60.7883,27.5272,5.097,g
36.079,13.2636,26.3559,g
25.2455,19.0726,81.6368,g
57.1656,19.9402,12.267,g
26.3353,16.2775,27.835,g
45.8894,15.7069,1.7371,g
32.5377,19.6957,27.297,g
64.4081,23.7635,1.0067,g
45.8732,11.2837,4.6366,g
56.2479,20.9217,0.556,g
22.8274,12.9011,33.5573,g
18.9671,12.7729,31.4965,g
53.5736,25.803,7.596,g
74.4746,13.4246,5.847,g
29.669,19.4103,12.24,g
50.1872,27.6518,17.073,g
40.9468,18.4822,3.655,g
18.1069,10.398,45.778,g
18.0762,11.9477,20.997,g
47.1637,19.347,7.132,g
57.8911,22.2757,8.217,g
39.2852,14.4233,11.679,g
29.4748,14.7801,10.721,g
26.7751,18.1128,66.0281,g
62.3261,18.0596,73.9247,g
38.7558,15.7457,3.952,g
30.7339,13.3786,4.661,g
37.4443,24.6122,7.341,g
58.6495,27.8697,6.845,g
17.8663,10.0635,23.3338,g
12.641,9.2152,31.8219,g
97.3151,28.5147,2.984,g
23.8686,16.2113,68.464,g
12.9651,11.2603,56.521,g
87.8842,35.0948,4.122,g
27.0944,21.3476,1.0148,g
35.7748,15.872,2.073,g
30.3594,16.9003,0.2976,g
45.2808,20.8866,3.4724,g
19.2296,7.437,74.6152,g
18.2899,16.9979,23.367,g
28.6991,19.6079,21.0958,g
70.217,18.8949,8.293,g
23.8241,10.0087,0.572,g
85.6145,22.8778,1.57,g
30.694,22.0026,37.1267,g
43.2557,12.0269,9.697,g
36.7372,16.5615,27.593,g
19.6229,18.7334,10.1102,g
22.0837,10.5265,14.4397,g
13.3286,10.5157,76.331,g
34.8904,14.3351,10.5513,g
13.0451,10.91,81.2793,g
44.4555,15.7917,7.651,g
43.9432,29.7264,18.3709,g
23.1475,20.0584,81.7955,g
71.967,35.066,6.811,g
30.5845,8.2482,21.175,g
23.9569,0,66.733,g
56.3022,21.8228,1.2986,g
32.0868,17.982,8.974,g
18.2452,10.3919,18.0235,g
24.8746,16.3143,48.493,g
33.3237,12.3317,42.108,g
50.0446,19.2643,2.5772,g
59.0164,18.02,1.3107,g
63.9201,26.6873,0.035,g
83.9635,33.6984,3.0278,g
49.737,21.5338,19.187,g
32.2947,13.0008,39.8253,g
22.0498,16.529,9.097,g
74.1398,23.3213,0.7406,g
29.4732,11.3566,19.1106,g
20.4478,12.6043,22.3269,g
66.0896,16.8242,8.2426,g
32.7978,10.4236,5.203,g
68.7092,19.8659,1.0624,g
47.0589,12.5805,15.2609,g
