@relation magic

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
60.8535,2.6332,g
30.5583,14.043,g
31.7974,18.694,g
37.385,5.3907,g
32.6893,0.562,g
46.8561,1.1127,g
26.8589,0.638,g
12.6382,67.6997,g
84.5812,3.3954,g
95.3181,5.0683,g
27.3062,22.5743,g
28.5834,5.0486,g
62.1435,7.926,g
21.434,10.066,g
53.5918,78.558,g
34.0626,24.444,g
21.1715,82.0634,g
18.0424,5.4707,g
77.0789,6.8425,g
40.0652,18.0501,g
30.9136,11.2674,g
62.0023,0.505,g
53.0002,1.103,g
33.1849,4.632,g
54.908,31.805,g
26.611,29.5051,g
26.7867,13.143,g
22.0915,54.994,g
109.231,4.305,g
12.9763,84.6855,g
74.4627,4.1034,g
67.6545,0.4375,g
43.3752,17.999,g
22.1103,14.836,g
74.4417,3.9083,g
18.9665,25.1342,g
37.2895,3.2352,g
21.5488,23.9321,g
32.058,2.625,g
107.572,2.376,g
69.6783,9.78,g
22.0364,40.5939,g
73.6582,1.321,g
94.2369,1.854,g
26.7748,24.6072,g
81.4337,3.511,g
52.8238,6.278,g
45.2838,3.777,g
81.9657,3.333,g
42.6021,6.8576,g
21.4699,65.5712,g
18.9819,23.387,g
54.7437,0.267,g
82.2052,1.4594,g
20.4478,22.3269,g
82.258,10.429,g
39.87,20.4225,g
148.32,27.1274,g
31.4779,0.2487,g
34.5555,8.284,g
78.9104,2.556,g
20.1937,45.009,g
45.8064,6.8749,g
28.1343,10.3698,g
23.9415,59.7983,g
12.8721,43.7132,g
43.8236,14.3052,g
23.9971,7.9618,g
35.648,5.014,g
33.1995,3.651,g
81.5093,4.376,g
29.9358,39.0829,g
26.1052,3.9731,g
32.9844,2.3056,g
27.2918,17.5042,g
20.9383,52.554,g
24.2671,10.9993,g
105.339,5.388,g
32.9755,7.944,g
24.5289,2.189,g
27.9597,13.2785,g
29.1545,23.197,g
38.3425,9.9482,g
25.8254,9.273,g
87.9125,2.628,g
23.9911,4.869,g
29.3515,26.3691,g
32.9581,30.831,g
13.2147,58.2994,g
25.5298,41.5557,g
87.9035,3.7892,g
21.6024,8.9044,g
87.306,1.3293,g
53.7352,11.7065,g
53.5834,15.8766,g
45.8074,58.99,g
33.0532,9.549,g
28.3624,27.4515,g
84.44,1.17,g
20.6404,14.933,g
