@relation magic

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
34.0557,31.791,g
56.9612,39.579,g
34.6655,6.9113,g
23.8611,3.18,g
21.6802,65.6793,g
21.0331,54.931,g
27.8065,9.2,g
34.9502,17.6684,g
31.4932,19.0525,g
26.6892,5.8253,g
19.2521,47.858,g
29.0034,51.9091,g
36.9391,3.0159,g
68.4131,1.1476,g
30.5895,56.2862,g
12.4992,21.57,g
52.4878,26.0436,g
25.2365,47.1567,g
25.5998,62.509,g
25.6487,25.688,g
47.1951,18.4615,g
12.803,26.705,g
33.0182,31.8921,g
53.7411,26.16,g
28.5144,59.9787,g
36.8834,1.1687,g
22.0463,42.592,g
30.0188,21.0507,g
20.4846,25.044,g
66.8274,7.5468,g
29.0606,73.4413,g
20.7296,44.263,g
12.871,40.035,g
31.7461,18.1579,g
86.4233,5.462,g
42.9795,10.603,g
32.2869,5.8259,g
55.3431,25.7773,g
63.2291,0.8548,g
38.8396,6.5413,g
71.8872,3.211,g
19.2724,17.8512,g
80.2907,4.036,g
14.6095,21.3448,g
21.1621,15.5879,g
12.7169,15.651,g
43.2557,9.697,g
29.1673,6.382,g
101.085,0.0685,g
20.2764,78.2299,g
51.2581,5.1346,g
85.7919,0.2999,g
46.9364,1.4485,g
74.8373,0.1197,g
30.6543,42.632,g
55.8635,2.6299,g
32.0024,27.5578,g
18.621,26.1461,g
30.694,37.1267,g
13.143,70.33,g
17.4908,68.7191,g
20.0619,54.584,g
105.033,3.9102,g
76.9829,5.806,g
54.3778,7.6374,g
17.9872,7.3429,g
34.8365,10.4413,g
40.905,18.15,g
55.5017,0.936,g
17.0391,66.0852,g
68.1479,1.652,g
62.2387,11.48,g
27.2843,10.2623,g
72.2557,5.466,g
107.426,0.108,g
81.3604,8.8992,g
26.4554,88.1553,g
24.1656,69.3668,g
22.5805,3.667,g
44.6147,4.947,g
34.4244,27.604,g
12.9884,26.41,g
32.6404,25.9867,g
40.9117,0.58,g
34.9976,9.4498,g
66.1343,4.103,g
34.0146,15.18,g
95.7802,8.2692,g
30.4443,8.849,g
20.201,36.8528,g
20.2318,78.633,g
31.7329,7.755,g
21.8884,15.8008,g
41.7981,3.627,g
21.3087,12.2685,g
87.7908,1.661,g
81.0884,3.357,g
24.8503,5.528,g
35.6882,7.742,g
66.0687,5.369,g
19.1365,4.278,g
58.0216,3.131,g
68.7734,2.2482,g
39.143,9.903,g
21.1628,35.801,g
12.7436,39.403,g
47.9982,3.0708,g
22.3784,27.0844,g
62.634,1.8256,g
36.0068,3.6931,g
20.393,8.8679,g
85.2648,4.185,g
73.882,1.6503,g
13.1537,26.736,g
45.0952,21.611,g
26.1602,20.6134,g
70.1757,0.695,g
78.0294,0.4823,g
74.0236,4.1846,g
30.4239,0.929,g
38.5065,2.37,g
50.635,65.912,g
79.0025,2.411,g
48.8261,8.2676,g
92.5558,4.893,g
26.9438,1.1222,g
41.7791,1.8949,g
69.9918,9.2202,g
86.3828,2.5861,g
46.8212,6.648,g
28.7879,88.9008,g
42.925,15.396,g
45.2392,0.609,g
21.5414,42.731,g
40.7958,8.075,g
88.2461,0.415,g
18.8562,11.461,g
37.7445,5.248,g
38.1652,18.6818,g
28.6854,36.3353,g
30.0632,80.8951,g
21.5228,4.725,g
23.7276,85.4134,g
25.0728,0.0003,g
12.6701,82.2488,g
53.5601,4.9638,g
91.6993,1.9921,g
30.1196,51.11,g
42.1261,2.1978,g
58.6792,14.967,g
26.2043,32.021,g
24.8746,48.493,g
41.5898,8.909,g
21.5813,20.293,g
83.2349,5.079,g
21.0232,79.8933,g
18.9001,42.667,g
112.569,1.064,g
38.6526,8.8024,g
18.8943,2.707,g
90.1763,1.523,g
85.8538,15.77,g
56.2974,1.0352,g
17.7773,51.74,g
39.4987,2.188,g
40.7886,5.9571,g
35.8032,11.539,g
61.4065,8.6684,g
19.5841,10.7079,g
20.1959,26.193,g
39.3646,19.4174,g
27.1734,15.6121,g
21.4854,18.0829,g
21.0532,2.989,g
65.8896,0.2752,g
32.9078,6.8937,g
76.6071,3.7384,g
24.999,9.862,g
45.5221,9.498,g
36.5502,27.555,g
21.4181,39.5774,g
24.9214,21.498,g
22.3702,31.77,g
107.237,0.8238,g
41.3527,9.469,g
20.6343,79.2518,g
31.6449,3.7388,g
27.0182,30.222,g
63.2886,0.9753,g
53.7587,84.3933,g
31.4164,4.6173,g
16.1144,79.763,g
38.015,9.2636,g
21.7329,41.1319,g
43.5269,3.9958,g
38.3448,0.1899,g
48.9319,1.645,g
22.1515,48.964,g
21.7041,5.904,g
35.315,5.231,g
36.7253,10.921,g
94.6049,1.2109,g
95.5063,2.627,g
83.8355,4.6236,g
71.8778,0.2039,g
33.1165,5.7762,g
12.8548,73.8778,g
24.6528,0.881,g
31.5085,20.8552,g
43.5163,9.4008,g
35.8368,23.853,g
30.2852,12.395,g
18.8375,32.256,g
48.1644,19.0791,g
28.0163,21.279,g
62.1599,2.228,g
99.4753,2.17,g
23.0874,2.2829,g
34.1337,6.902,g
18.5398,35.495,g
40.9252,16.3084,g
67.7351,2.6774,g
78.3373,7.9135,g
18.6618,45.7173,g
26.1954,23.341,g
37.2195,11.386,g
40.634,7.9894,g
38.0445,12.735,g
41.1662,0.1056,g
26.9416,10.626,g
12.7087,46.283,g
21.0145,3.9389,g
38.8885,10.1466,g
28.5282,21.4331,g
60.4451,2.967,g
23.0885,45.055,g
55.3383,9.834,g
25.7999,19.1984,g
40.5427,21.1203,g
20.2904,82.6073,g
32.3364,26.53,g
91.2235,3.586,g
48.8841,1.783,g
74.1464,4.802,g
29.2617,6.879,g
104.424,1.29,g
61.374,3.713,g
16.3876,39.7158,g
12.9816,0,g
16.9089,26.26,g
13.3286,76.331,g
91.4628,2.331,g
51.5578,5.498,g
77.0603,2.565,g
20.2926,28.986,g
25.235,76.696,g
57.0377,2.359,g
25.4474,16.4371,g
51.5731,3.174,g
58.5298,7.0009,g
27.7865,25.282,g
58.6329,0.2733,g
21.1265,37.923,g
45.0172,8.718,g
74.8526,5.866,g
66.2175,17.6995,g
54.2678,2.103,g
68.8673,1.7069,g
37.3728,1.006,g
12.9987,32.861,g
21.0895,17.201,g
21.6375,21.088,g
24.2817,3.829,g
107.725,1.5131,g
51.4478,8.1035,g
60.012,11.1868,g
32.6279,10.3,g
87.2434,3.825,g
13.0322,9.83,g
19.2987,2.182,g
56.1812,7.318,g
28.272,22.252,g
38.0974,3.185,g
41.8803,2.2801,g
21.6496,89.6251,g
75.6635,11.3729,g
28.7043,61.727,g
23.4903,0.7529,g
105.305,4.985,g
29.7703,22.139,g
81.0902,1.7041,g
111.055,0.261,g
26.2642,26.944,g
41.2354,0.936,g
26.4178,52.269,g
47.2489,0.7073,g
36.345,10.885,g
28.8038,37.1524,g
44.3541,17.919,g
38.4696,37.3983,g
86.9886,10.8854,g
22.1048,9.0091,g
13.0635,63.3618,g
64.587,1.926,g
82.9885,2.622,g
31.3143,1.6985,g
26.9974,38.664,g
56.7558,8.026,g
65.8244,8.031,g
22.6234,3.197,g
36.1494,81.1465,g
96.7805,5.468,g
26.5259,28.938,g
21.6479,1.7721,g
63.2711,7.7662,g
40.0416,4.871,g
31.2945,1.646,g
60.8598,4.182,g
34.611,0.9038,g
13.3114,74.796,g
93.4709,2.6846,g
92.9405,4.7062,g
29.8389,3.7372,g
43.8486,4.721,g
42.0233,16.0801,g
19.6945,3.769,g
21.197,0.327,g
36.9615,9.4668,g
27.1139,47.397,g
43.911,14.874,g
20.8088,61.51,g
20.7922,6.786,g
17.8476,43.7863,g
34.6141,13.193,g
50.4186,9.691,g
58.1697,15.8268,g
74.5996,2.591,g
18.8725,49.329,g
23.2649,32.049,g
26.7054,29.945,g
49.0724,11.24,g
21.5488,23.9321,g
12.9548,66.059,g
94.1338,3.4297,g
12.9782,0.131,g
21.0102,2.0958,g
19.1799,15.6268,g
21.9551,77.9057,g
35.5578,31.498,g
89.5781,9.9644,g
19.5031,79.386,g
12.5215,59.206,g
91.5247,5.0549,g
17.0805,70.176,g
56.9381,2.1358,g
30.367,49.0315,g
99.4896,2.297,g
88.5729,2.634,g
25.2455,81.6368,g
40.3463,14.5122,g
30.3022,36.929,g
34.2513,4.939,g
74.3998,4.3296,g
18.6221,48.202,g
90.9354,6.1616,g
23.2704,12.99,g
82.9625,0.1512,g
24.7188,46.523,g
90.0058,2.058,g
28.0756,7.463,g
50.1678,0.922,g
29.4732,19.1106,g
42.7979,15.563,g
21.1957,29.6802,g
92.5638,2.868,g
89.508,1.7565,g
32.7548,2.2496,g
30.7067,56.785,g
19.495,27.951,g
90.2839,6.969,g
48.1834,4.4764,g
65.9033,1.308,g
31.0773,1.8695,g
22.9371,15.3,g
35.2351,19.418,g
43.614,8.783,g
13.2257,63.4889,g
19.6633,81.0899,g
35.6255,3.866,g
60.5135,6.909,g
49.6514,0.839,g
33.7945,9.383,g
38.0041,14.781,g
17.8425,41.436,g
59.817,5.235,g
53.7339,1.886,g
64.4081,1.0067,g
77.6846,3.186,g
30.5778,5.5419,g
33.3331,8.866,g
29.3424,39.189,g
27.2242,20.1203,g
35.92,5.5489,g
34.475,22.7149,g
76.244,5.054,g
39.4615,2.068,g
23.2615,44.127,g
49.1207,1.136,g
36.9483,14.432,g
57.0559,26.6457,g
20.1501,28.5692,g
36.155,5.836,g
19.7354,10.303,g
19.7289,28.062,g
100.664,1.45,g
27.0634,31.108,g
19.0154,58.903,g
32.2768,17.4336,g
19.8537,41.838,g
20.9288,16.771,g
62.8184,11.533,g
47.027,0.5398,g
18.2046,26.3124,g
13.2611,61.03,g
22.7386,58.6846,g
91.6774,3.4717,g
35.2052,18.325,g
38.0252,10.748,g
43.992,19.157,g
12.7717,87.9981,g
28.4759,20.123,g
36.37,5.5742,g
40.6884,6.2944,g
23.6209,6.675,g
43.0627,2.85,g
20.1997,17.3756,g
40.2789,2.0323,g
12.8791,67.6544,g
28.7399,19.7509,g
118.581,8.2015,g
21.6029,82.4952,g
62.0023,0.505,g
83.6515,2.389,g
58.3502,2.826,g
95.4114,2.526,g
15.4509,37.1275,g
27.1944,3.2782,g
60.3976,2.873,g
47.6,2.608,g
35.2888,7.108,g
35.225,27.2776,g
23.7222,37.143,g
29.7983,36.3005,g
21.0701,6.7698,g
18.0693,84.2593,g
23.7496,28.429,g
50.0755,5.647,g
26.1423,2.4225,g
17.6496,32.8778,g
22.0289,26.823,g
55.9732,8.528,g
69.7228,2.0787,g
42.3725,0.6925,g
17.2563,32.4323,g
24.1674,8.688,g
22.7566,43.3032,g
19.6295,11.997,g
68.3724,0.0127,g
34.6876,12.095,g
17.5265,26.8207,g
31.8437,5.475,g
18.0486,18.3101,g
37.5053,8.6201,g
113.51,4.016,g
74.3917,5.7626,g
62.0635,3.9526,g
13.2183,7.022,g
30.1938,13.7154,g
21.6674,4.344,g
32.2964,35.1875,g
76.763,6.853,g
48.8751,15.5752,g
21.0636,11.615,g
84.3673,12.706,g
60.0423,52.36,g
17.2632,43.542,g
27.5215,64.0684,g
24.7837,1.3628,g
34.434,12.113,g
39.5388,15.032,g
21.1235,74.254,g
55.1056,1.1528,g
97.2927,9.6868,g
32.002,19.576,g
22.6754,4.8629,g
18.8065,36.1365,g
31.0277,0.3403,g
21.0483,32.4415,g
86.9287,2.3402,g
82.9946,2.9285,g
49.3869,5.7179,g
20.947,34.4932,g
33.5536,5.2729,g
26.0266,48.8519,g
96.4553,1.7133,g
27.1373,17.2732,g
118.862,1.5122,g
17.2258,49.9518,g
33.8898,6.891,g
21.9208,11.79,g
42.9943,4.988,g
73.28,1.0024,g
25.1536,23.479,g
62.9629,2.217,g
31.3983,68.5256,g
77.3543,3.7039,g
20.414,6.208,g
57.3784,21.804,g
18.6383,36.155,g
43.8989,57.981,g
12.4763,45.626,g
68.01,4.0577,g
45.0948,4.361,g
85.7897,1.018,g
31.3598,75.9302,g
63.4767,11.8804,g
50.7843,4.89,g
31.7518,4.706,g
33.9512,18.5652,g
61.867,0.512,g
34.6692,8.705,g
94.7727,2.012,g
34.969,4.116,g
76.5934,19.152,g
12.8285,40.354,g
26.5659,5.6489,g
27.0828,3.791,g
37.7811,11.192,g
81.2829,4.074,g
97.854,2.4052,g
27.1044,29.844,g
47.1551,1.221,g
21.6948,23.451,g
19.2924,68.7907,g
12.6993,7.8517,g
28.8538,11.6565,g
86.7913,2.284,g
47.3598,3.1134,g
30.6824,9.7889,g
18.2067,49.5821,g
77.0202,2.8361,g
81.5093,4.376,g
42.3207,9.1652,g
70.4799,4.5199,g
57.3932,4.7613,g
44.5536,3.2582,g
76.6189,1.2024,g
78.7682,2.3175,g
47.4331,18.4433,g
38.2553,1.2447,g
34.2309,8.344,g
34.5434,12.0162,g
18.1202,37.8225,g
22.2257,28.526,g
38.2285,23.28,g
23.4302,1.6094,g
55.9102,10.581,g
36.9453,2.242,g
76.1909,1.64,g
42.169,5.1421,g
124.496,88.582,g
13.7355,38.4018,g
25.1333,52.0161,g
22.555,56.916,g
41.1215,5.2825,g
20.5417,20.5917,g
37.742,24.216,g
35.2003,12.8885,g
19.901,49.186,g
20.8716,23.769,g
77.4963,6.373,g
18.4204,33.3598,g
26.8717,1.8311,g
23.4123,39.4624,g
28.5181,15.767,g
60.523,9.3455,g
40.9467,41.3483,g
22.7698,15.1204,g
12.6216,57.2856,g
36.4567,19.724,g
90.2566,1.8578,g
34.6114,1.5901,g
52.4722,10.7248,g
36.1484,4.6718,g
36.5237,12.715,g
29.4591,15.514,g
20.3902,37.113,g
12.5216,25.3912,g
27.8007,23.006,g
25.3012,48.5567,g
12.863,17.031,g
50.8879,1.6086,g
91.3478,1.027,g
19.1712,84.4501,g
97.7222,3.3807,g
49.9884,4.2187,g
12.591,29.7285,g
28.5536,12.806,g
40.6756,15.426,g
43.0148,5.4962,g
18.1158,47.2489,g
24.3751,45.8112,g
21.1253,30.572,g
24.8562,22.9883,g
74.2516,3.2129,g
63.8971,1.6754,g
20.73,67.7536,g
23.7871,4.575,g
33.0328,45.3284,g
40.8246,9.868,g
29.7456,19.182,g
46.457,6.509,g
19.7692,83.8778,g
40.9872,0.0821,g
23.1352,49.932,g
32.1797,2.5841,g
42.2145,0.5371,g
21.8583,12.6028,g
34.2265,4.551,g
69.4657,5.6357,g
48.9681,12.422,g
25.7531,42.2302,g
32.3994,67.892,g
23.5009,21.192,g
43.7671,27.622,g
17.9289,12.0487,g
88.5664,5.1478,g
19.4413,17.0993,g
30.3343,9.129,g
57.1656,12.267,g
30.5634,85.6181,g
46.0246,3.595,g
102.541,2.7131,g
28.8068,0.2906,g
59.1116,10.3354,g
37.0123,5.207,g
76.8587,3.196,g
67.6545,0.4375,g
18.5424,74.4102,g
26.4947,36.725,g
65.667,16.903,g
34.4834,9.317,g
50.2054,16.239,g
50.183,23.816,g
81.2135,0.193,g
27.4014,48.202,g
56.2513,9.9628,g
23.6111,84.8323,g
71.3588,1.576,g
81.1257,3.0993,g
21.4634,10.54,g
37.2778,8.195,g
106.983,0.4318,g
32.6908,10.018,g
48.1337,14.1339,g
21.9807,24.17,g
26.0078,22.151,g
50.2888,39.0638,g
18.2664,14.708,g
22.414,37.3241,g
37.3397,3.892,g
39.1714,6.8181,g
66.4031,9.4551,g
33.8385,9.0883,g
35.9089,26.7977,g
74.6238,15.92,g
61.4574,5.6897,g
18.4641,11.6166,g
77.0437,0.357,g
32.8531,15.4667,g
30.7413,3.262,g
84.1573,3.214,g
21.115,62.108,g
32.5973,7.556,g
37.7881,7.342,g
23.531,35.1268,g
56.9447,5.0681,g
42.045,14.3144,g
13.2334,44.4218,g
32.9825,2.4725,g
27.5376,9.1895,g
83.8436,3.2408,g
46.5607,81.589,g
62.9321,0.542,g
32.6392,21.5727,g
46.3534,18.661,g
82.7995,0.2339,g
45.4241,7.295,g
25.4578,3.363,g
82.1301,0.4454,g
41.7932,13.6362,g
24.0005,6.9421,g
12.9826,86.7275,g
70.457,34.2372,g
49.3619,11.961,g
31.2892,4.9939,g
31.4029,55.708,g
96.8446,0.7867,g
93.9699,4.4256,g
24.6708,21.4367,g
12.6243,47.441,g
29.6626,8.1489,g
58.4195,3.8408,g
66.2579,17.172,g
23.9923,44.853,g
31.9774,6.46,g
41.3433,9.474,g
20.8898,4.268,g
43.3635,3.7958,g
67.2302,13.9446,g
30.15,6.93,g
12.42,42.4922,g
81.7275,0.345,g
36.1281,10.5725,g
79.0178,9.0533,g
66.6232,2.2166,g
27.4186,4.681,g
24.7047,18.579,g
20.3725,8.2645,g
12.7287,24.009,g
21.5706,44.497,g
40.8289,26.798,g
20.6488,54.5987,g
49.6538,7.9929,g
70.9683,5.1398,g
45.613,5.0398,g
80.5967,5.9931,g
38.1116,2.0107,g
