@relation magic

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
53.1026,3.089,0.3299,6.083,g
24.9261,2.5384,0.4428,7.3195,g
46.2759,3.0133,0.2532,1.4241,g
62.4243,3.2783,0.1802,2.979,g
24.8552,2.5119,0.4554,19.1574,g
66.6981,2.7843,0.2728,8.269,g
36.5312,2.8633,0.2822,7.0737,g
25.5788,2.9533,0.3051,40.679,g
76.9668,3.365,0.1696,2.2043,g
98.6964,3.1816,0.1685,3.6338,g
33.528,3.0671,0.2554,2.3111,g
21.9585,2.5563,0.4444,19.662,g
19.1365,2.2279,0.6154,4.278,g
81.9748,3.2961,0.22,0.9621,g
18.7573,2.6474,0.473,10.6572,g
38.5211,2.8929,0.2444,2.0933,g
30.8779,2.3493,0.4877,40.5255,g
45.0329,3.4412,0.1781,38.027,g
62.3448,3.5533,0.1516,7.61,g
91.5247,2.8603,0.2966,5.0549,g
20.4837,2.2405,0.5977,45.65,g
24.2215,2.3683,0.5525,0.075,g
106.501,3.6269,0.1225,4.26,g
71.5533,2.7997,0.3283,5.421,g
15.6186,2.2856,0.6373,50.6366,g
68.0663,3.1543,0.2243,10.4946,g
92.3374,4.0936,0.0897,48.2051,g
40.7847,2.6289,0.3102,47.1801,g
22.6397,2.1492,0.5603,14.3756,g
96.1,3.1321,0.2398,5.9111,g
60.0541,3.0561,0.4622,7.46,g
78.0691,3.3742,0.1834,0.916,g
22.6437,2.2923,0.6786,21.399,g
97.9047,4.0321,0.1185,8.181,g
12.7921,2.1189,0.7224,12.2449,g
19.0999,2.3375,0.7816,30.3774,g
28.4454,2.3793,0.5344,1.44,g
30.6251,2.842,0.2906,18.895,g
20.1906,2.1319,0.7159,18.286,g
57.8911,2.8497,0.2346,8.217,g
27.8169,2.4166,0.4483,52.521,g
52.1403,3.2234,0.1734,0.1304,g
78.6493,3.7751,0.1103,3.227,g
70.8359,2.9178,0.3372,1.046,g
77.916,3.4083,0.1882,2.21,g
26.089,2.3664,0.486,13.935,g
13.3518,2.2393,0.8242,16.921,g
46.5503,2.641,0.3131,18.7204,g
35.8686,2.7585,0.3557,1.0842,g
20.0821,2.2109,0.7877,34.358,g
29.2873,2.4005,0.5288,12.5354,g
27.1848,2.4893,0.4052,47.377,g
65.9296,3.1081,0.322,2.038,g
24.8576,2.6004,0.527,3.715,g
19.2635,2.1287,0.7361,77.957,g
27.6075,2.2878,0.5928,2.676,g
25.558,2.3233,0.4561,2.178,g
22.4196,2.4878,0.5594,10.9799,g
35.7533,2.9547,0.2697,4.507,g
12.6161,2.3551,0.7064,65.013,g
32.7643,2.8331,0.2746,6.2504,g
50.9098,3.476,0.2069,7.0487,g
26.6593,2.5676,0.4384,3.0264,g
21.308,2.4464,0.5295,7.3869,g
20.724,2.2788,0.6105,13.056,g
88.5729,2.7952,0.2885,2.634,g
53.1406,2.7868,0.2369,2.7357,g
42.4521,2.2565,0.6925,48.416,g
24.6381,2.6385,0.4966,76.4614,g
41.8231,3.3309,0.1876,12.156,g
12.9651,2.1055,0.7451,32.5129,g
34.2078,2.5521,0.3843,6.6964,g
36.079,2.3793,0.4301,26.3559,g
81.5117,2.8624,0.2306,7.5361,g
28.8163,2.6385,0.2644,57.742,g
13.0171,2.1351,0.7546,2.5667,g
66.5349,3.2463,0.2133,9.559,g
58.7256,2.8293,0.2444,3.973,g
41.128,2.8075,0.2773,2.042,g
103.021,2.8142,0.3819,19.43,g
21.0476,2.6425,0.4533,16.8056,g
26.3029,2.3936,0.4808,5.4587,g
21.1689,2.3365,0.5945,27.2976,g
22.8704,2.4354,0.5761,2.8735,g
38.8396,2.5905,0.3979,6.5413,g
83.3786,3.5232,0.2569,3.915,g
57.9726,3.2838,0.2981,0.023,g
24.7323,2.3664,0.529,14.7714,g
19.0389,2.2355,0.5814,5.6753,g
30.9732,2.4533,0.4613,22.8837,g
26.4554,2.8366,0.335,88.1553,g
39.301,2.7156,0.3715,4.5729,g
19.6229,2.5179,0.349,10.1102,g
19.2624,2.4158,0.5605,56.5669,g
27.4167,2.5786,0.3193,3.5901,g
42.6815,2.8159,0.2872,5.212,g
21.7375,2.1746,0.7291,8.734,g
