@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,7,9,11'

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
23.8172,-6.4633,10.449,g
60.458,-33.8765,8.292,g
107.338,89.5136,3.312,g
87.4217,68.3446,0.3647,g
66.1331,50.5528,11.5159,g
19.5793,17.3916,13.17,g
92.5854,-48.92,2.5099,g
21.6891,-17.6826,1.5485,g
60.7883,-19.3902,5.097,g
36.079,-17.1724,26.3559,g
25.2455,11.1564,81.6368,g
57.1656,44.4537,12.267,g
26.3353,-15.3203,27.835,g
45.8894,22.4139,1.7371,g
32.5377,21.2875,27.297,g
64.4081,41.2256,1.0067,g
45.8732,-19.3437,4.6366,g
56.2479,36.6852,0.556,g
22.8274,-12.0722,33.5573,g
18.9671,11.5546,31.4965,g
53.5736,58.4267,7.596,g
74.4746,76.5354,5.847,g
29.669,-21.0367,12.24,g
50.1872,53.802,17.073,g
40.9468,-21.5671,3.655,g
18.1069,11.3674,45.778,g
18.0762,-10.1699,20.997,g
47.1637,40.5783,7.132,g
57.8911,-36.4026,8.217,g
39.2852,37.0007,11.679,g
29.4748,-15.1459,10.721,g
26.7751,14.3378,66.0281,g
62.3261,49.8049,73.9247,g
38.7558,14.8127,3.952,g
30.7339,-25.4043,4.661,g
37.4443,27.5978,7.341,g
58.6495,-38.1196,6.845,g
17.8663,13.3886,23.3338,g
12.641,10.0579,31.8219,g
97.3151,80.0073,2.984,g
23.8686,15.2242,68.464,g
12.9651,5.9191,56.521,g
87.8842,29.1815,4.122,g
27.0944,22.1001,1.0148,g
35.7748,19.358,2.073,g
30.3594,-13.2944,0.2976,g
45.2808,-24.6513,3.4724,g
19.2296,-7.5664,74.6152,g
18.2899,13.8627,23.367,g
28.6991,23.5966,21.0958,g
70.217,46.3781,8.293,g
23.8241,18.1984,0.572,g
85.6145,85.5687,1.57,g
30.694,20.2385,37.1267,g
43.2557,16.1869,9.697,g
36.7372,37.0206,27.593,g
19.6229,11.422,10.1102,g
22.0837,-18.8925,14.4397,g
13.3286,4.3614,76.331,g
34.8904,31.9063,10.5513,g
13.0451,-5.3863,81.2793,g
44.4555,30.4447,7.651,g
43.9432,23.7578,18.3709,g
23.1475,22.5903,81.7955,g
71.967,52.2989,6.811,g
30.5845,20.0241,21.175,g
23.9569,0,66.733,g
56.3022,42.6022,1.2986,g
32.0868,-19.4625,8.974,g
18.2452,5.7769,18.0235,g
24.8746,20.5957,48.493,g
33.3237,-17.7864,42.108,g
50.0446,41.2236,2.5772,g
59.0164,59.9175,1.3107,g
63.9201,39.0716,0.035,g
83.9635,83.0857,3.0278,g
49.737,-34.0836,19.187,g
32.2947,26.7207,39.8253,g
22.0498,-12.7693,9.097,g
74.1398,32.8741,0.7406,g
29.4732,20.7717,19.1106,g
20.4478,-12.5683,22.3269,g
66.0896,71.255,8.2426,g
32.7978,26.8723,5.203,g
68.7092,34.6695,1.0624,g
47.0589,-25.0953,15.2609,g
25.2701,13.0698,29.746,g
77.4731,43.6268,4.233,g
26.0503,19.0003,16.2105,g
86.9174,59.957,1.0866,g
61.9494,47.9741,0.853,g
42.9224,20.0999,7.817,g
55.0826,42.2168,3.919,g
48.1057,29.7204,13.0285,g
19.0792,9.164,75.0613,g
26.9835,-12.7168,6.259,g
33.8356,26.5376,23.115,g
43.814,24.9308,19.0193,g
106.821,78.9675,1.9326,g
22.9072,9.6974,9.7478,g
67.3067,77.4819,5.761,g
37.0078,24.3286,3.6622,g
15.6186,3.5316,50.6366,g
20.2951,10.8325,33.3381,g
27.9436,-24.3869,31.6319,g
24.4464,20.1313,11.2109,g
21.1155,-9.8554,49.707,g
67.5816,82.4914,5.3213,g
104.872,78.4918,0.604,g
12.8514,7.4683,14.6097,g
89.2198,60.5827,3.667,g
26.433,18.0502,12.833,g
66.4618,28.8496,20.661,g
47.7858,29.8589,3.2554,g
12.9712,6.7776,71.9552,g
48.8751,43.6727,15.5752,g
73.336,14.5381,2.9936,g
37.5027,17.7277,18.005,g
43.8236,28.5688,14.3052,g
30.2879,15.4904,34.1383,g
21.0331,17.4986,54.931,g
20.5839,18.3629,45.687,g
56.4236,-10.1986,1.4636,g
31.4399,21.9508,3.8253,g
24.9251,-17.1593,12.174,g
75.4045,60.9121,13.77,g
49.0724,22.821,11.24,g
12.787,5.3573,72.426,g
26.8132,24.4633,33.5185,g
105.264,78.1311,5.8936,g
25.1648,-13.2826,2.0137,g
24.0954,17.9618,0.788,g
27.2918,25.5889,17.5042,g
20.7386,17.8583,29.934,g
12.8702,6.0869,83.1822,g
98.0245,95.7514,1.447,g
36.6443,26.9221,4.5447,g
87.8482,105.081,15.2606,g
25.3267,14.7904,81.0686,g
21.1753,16.7017,76.2728,g
34.9763,17.0663,8.539,g
39.4235,34.2025,8.6997,g
52.1044,52.6747,5.8345,g
31.6769,28.6597,64.622,g
25.7304,-19.2298,3.8417,g
19.6892,-3.6483,59.9239,g
28.5888,17.8939,12.747,g
18.9069,16.3617,50.2541,g
