@relation magic

@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
11.0711,2.6744,1.465,g
19.7691,3.0594,7.6551,g
11.8845,2.2636,40.449,g
18.9129,2.357,42.731,g
13.5035,2.4425,19.9136,g
6.9745,2.0917,12.2685,g
18.4628,2.5927,26.1088,g
18.3319,2.9289,11.5856,g
32.2813,3.8581,4.5252,g
13.331,2.8395,8.4671,g
6.5197,2.2343,13.9756,g
11.008,2.4518,10.545,g
7.2066,2.1089,58.679,g
11.2942,2.4014,46.6417,g
21.744,3.1269,3.5,g
30.6098,3.2504,11.124,g
25.4188,3.1508,1.1889,g
30.2255,3.1573,2.936,g
10.88,2.1959,33.191,g
17.8679,2.499,49.186,g
35.7955,3.3054,2.266,g
10.5498,2.2201,18.975,g
15.655,2.3253,86.0763,g
16.1954,2.4556,71.004,g
24.7773,3.3432,8.624,g
34.1256,3.6003,2.3411,g
12.2518,2.4393,22.5916,g
12.6296,2.658,1.1676,g
21.7304,2.8606,5.164,g
10.0152,2.3674,6.211,g
31.1051,3.3386,9.1402,g
47.6012,3.386,19.589,g
6.5774,2.1446,18.981,g
24.6979,3.0667,2.4152,g
19.8047,2.5877,13.233,g
10.346,2.5347,7.4932,g
17.5749,2.8494,4.655,g
35.7308,2.9204,7.6504,g
16.0096,2.6484,4.3673,g
25.8895,3.6091,7.4474,g
15.3817,2.5786,4.107,g
18.0313,3.2703,3.2846,g
22.3916,2.7871,52.0176,g
15.0744,2.4158,15.0466,g
15.0354,2.6707,2.4225,g
17.3361,2.7408,3.9385,g
14.7113,2.6335,8.368,g
12.7685,2.3253,8.78,g
12.1866,2.6133,9.6339,g
14.3351,2.7243,10.5513,g
22.829,2.8762,61.2522,g
6.8176,2.0774,23.9321,g
11.2343,2.2355,79.8933,g
18.6679,2.7097,12.747,g
19.4481,2.9516,4.8668,g
11.6175,2.0233,46.2009,g
12.6951,2.4005,30.9668,g
11.8327,2.2266,56.6622,g
23.6018,3.028,1.762,g
16.0585,2.9287,22.732,g
12.5732,2.6972,10.829,g
34.3604,3.6921,0.5894,g
19.5101,2.7431,85.3717,g
15.5802,2.5484,4.286,g
7.1339,2.1287,80.0502,g
12.44,2.3953,60.023,g
23.8806,2.7501,16.1837,g
10.3588,2.3222,14.987,g
16.0328,2.7756,38.707,g
14.1931,2.5723,25.688,g
10.5806,2.5211,9.6728,g
0.0043,2.2028,37.3872,g
27.1425,3.7084,0.279,g
10.6149,2.5045,11.3112,g
10.6409,2.3334,57.4463,g
16.2637,2.7969,19.1036,g
16.5548,2.382,0.9654,g
7.4549,2.0774,2.182,g
15.4333,2.6498,25.6089,g
23.2651,2.934,79.959,g
44.6785,3.7402,2.042,g
14.847,2.3149,22.9229,g
46.2846,4.2755,3.9102,g
30.6278,3.8192,1.219,g
17.5355,2.6415,39.2035,g
24.5667,3.2654,0.965,g
