@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,7,9,11'

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
86.0486,57.8212,2.005,g
34.9205,11.8249,9.59,g
49.6143,26.0127,0.67,g
26.9766,16.287,3.675,g
29.817,23.9409,15.9328,g
34.9502,11.1413,17.6684,g
39.1755,25.4219,6.4974,g
41.4001,30.5051,0.6344,g
26.8928,-8.159,23.821,g
28.0883,-17.4113,27.549,g
25.1576,11.1073,47.777,g
25.5688,25.194,74.308,g
37.3516,31.5053,1.713,g
21.6327,9.6019,10.615,g
23.2114,22.652,2.8462,g
23.1587,15.0322,61.5621,g
36.9017,-13.2831,1.9727,g
34.4244,23.1758,27.604,g
32.0949,17.3007,14.233,g
80.0634,73.1529,0.57,g
22.7946,-12.1896,37.2132,g
62.1547,43.1847,3.4278,g
28.3371,22.0479,7.208,g
19.6633,-14.1482,81.0899,g
37.6122,21.3123,28.521,g
22.241,10.3637,32.6097,g
70.2288,65.1319,1.562,g
20.8484,-10.5577,68.6674,g
88.0174,78.2005,6.986,g
36.852,29.5049,8.877,g
57.7702,43.2779,6.527,g
17.2692,-6.3159,40.0799,g
35.315,29.9203,5.231,g
31.4417,21.7099,27.914,g
43.9643,-25.9433,1.228,g
34.9294,23.9472,1.3937,g
19.8657,17.5656,17.929,g
73.2648,67.9722,6.2195,g
36.4567,22.7937,19.724,g
38.9699,34.8474,14.53,g
27.8675,17.9717,8.5878,g
22.7103,9.9208,78.773,g
50.0449,-37.444,69.094,g
19.2295,-18.4222,24.262,g
94.8427,82.8087,3.2764,g
41.2937,-30.0301,5.153,g
27.3361,17.5536,19.4594,g
41.1027,20.7355,7.067,g
23.6829,-12.8175,77.229,g
20.0833,18.2534,20.6196,g
23.7871,-14.5591,4.575,g
18.5136,8.0834,11.74,g
16.0411,-7.9366,62.18,g
50.1709,-50.4617,47.392,g
56.5206,32.893,2.379,g
27.4278,19.1969,3.597,g
47.8357,37.4746,0.468,g
22.6157,10.1953,34.5976,g
27.8821,19.6353,37.9035,g
25.1526,18.1689,61.216,g
23.1306,2.8332,41.0922,g
48.3,33.1031,13.0282,g
31.8655,-20.5805,2.8753,g
49.5441,33.604,2.433,g
72.7337,33.95,3.4835,g
114.722,93.7667,2.9341,g
38.149,31.1901,23.0914,g
80.2192,68.0245,0.146,g
53.9679,50.671,8.986,g
30.7967,31.5476,18.6544,g
66.4031,48.7189,9.4551,g
51.8237,-40.3148,7.2099,g
13.0019,6.0317,66.374,g
49.9223,51.4013,6.85,g
52.7558,34.6284,6.159,g
58.0363,18.862,4.9132,g
51.5731,40.4314,3.174,g
28.4678,19.0403,10.618,g
45.4153,15.2556,13.285,g
28.2166,-9.524,14.0812,g
71.9578,44.3066,9.0544,g
70.3078,22.3913,3.9509,g
44.5562,22.7598,17.2162,g
57.8134,41.7081,0.211,g
26.1968,-18.9298,11.7823,g
38.6741,-22.7626,3.4588,g
36.939,27.5274,7.1492,g
18.7734,-12.5964,41.3192,g
33.1485,-16.0514,38.817,g
75.5387,73.9339,3.201,g
22.7149,19.5782,17.478,g
32.4831,-15.632,3.827,g
36.1484,-30.4106,4.6718,g
75.8672,69.8653,1.861,g
23.8297,13.4365,5.397,g
27.5928,13.3007,8.947,g
19.2845,18.0623,83.7969,g
65.5503,43.1668,15.135,g
42.3886,-18.7029,5.565,g
48.4661,39.3133,4.825,g
70.1175,34.9175,1.4663,g
62.0891,36.3416,6.479,g
47.0522,-32.5108,31.6682,g
17.4409,-0.3427,35.9057,g
17.9676,6.3821,77.35,g
72.7691,60.4412,0.7859,g
51.583,-30.128,15.0428,g
30.3595,22.1543,16.73,g
27.0017,13.4257,80.473,g
61.8196,58.2781,1.092,g
30.336,24.2169,27.3402,g
36.9391,28.9002,3.0159,g
18.3844,17.3911,60.543,g
41.2042,33.551,3.3282,g
33.8305,-9.3742,12.0413,g
90.9387,68.4524,1.479,g
20.8652,17.6239,7.671,g
70.3815,54.971,5.247,g
43.7239,-18.9739,17.406,g
66.4347,67.7566,10.237,g
76.1909,48.078,1.64,g
61.7387,54.7415,5.861,g
31.9699,20.3419,44.373,g
90.1763,-54.2293,1.523,g
84.1527,-71.2491,2.3306,g
22.7386,-16.2333,58.6846,g
85.6371,35.4987,1.2469,g
21.9177,16.4387,46.642,g
21.9664,21.2193,7.388,g
47.6672,41.3074,9.11,g
18.1879,-6.9371,6.3162,g
54.2506,56.5119,0.029,g
19.2373,12.2527,56.8865,g
92.7062,78.0131,0.9333,g
26.1687,-18.4828,64.571,g
39.3646,26.6207,19.4174,g
25.9645,16.0433,19.8739,g
63.805,51.4361,0.1897,g
40.7319,-25.7537,4.584,g
97.0232,58.1563,2.8669,g
32.2232,24.4939,7.226,g
44.7307,41.0094,5.1233,g
20.1082,12.8318,15.288,g
83.1099,-40.7731,1.9969,g
47.8281,34.306,3.53,g
21.9111,-20.0216,87.9835,g
60.4811,45.6313,1.1058,g
32.2241,18.0815,2.2101,g
32.3989,30.3294,7.352,g
35.6536,15.1357,6.9109,g
20.0308,14.628,11.338,g
48.4126,31.4549,10.9987,g
22.9757,19.6848,16.534,g
28.6584,-17.5378,7.689,g
20.4561,-4.2009,5.219,g
55.5756,30.4735,2.858,g
32.2595,10.6993,0.457,g
18.2796,6.7534,0.0621,g
43.4518,-19.3269,7.1147,g
18.6836,17.8898,16.0875,g
27.9778,25.099,16.055,g
111.015,83.2291,2.6075,g
23.0552,-10.3781,10.379,g
33.7757,-25.8761,1.314,g
58.1256,50.1519,5.798,g
141.884,98.6042,5.704,g
41.4986,23.7276,11.817,g
74.4417,36.8007,3.9083,g
39.6573,19.5955,16.72,g
76.1034,68.9885,1.341,g
29.3913,-20.9468,19.9136,g
113.44,-27.8434,3.685,g
18.2939,-6.4843,68.712,g
55.7695,52.0204,0.554,g
35.92,-9.3284,5.5489,g
16.5737,-7.2764,45.9059,g
70.6423,70.0259,8.94,g
74.9208,-48.9905,1.408,g
21.295,10.2831,12.4043,g
37.3728,-26.2855,1.006,g
19.7891,5.0107,10.139,g
50.6455,44.6014,19.0501,g
89.5962,-104.224,7.4382,g
21.4329,-15.0393,20.7,g
22.1689,10.7877,45.8014,g
12.736,-8.7997,16.144,g
97.0464,84.5137,30.297,g
21.7632,-8.0145,26.131,g
69.0182,50.8668,7.312,g
22.3943,-20.0166,55.884,g
30.6543,21.1195,42.632,g
18.0929,6.3958,6.1193,g
45.5945,-32.9385,9.0222,g
23.4293,17.1517,15.311,g
29.6494,-17.8804,3.2425,g
72.6176,65.415,6.9791,g
43.3106,38.7788,12.2655,g
26.8718,21.7144,14.5319,g
32.4915,-18.3771,8.249,g
42.2472,19.1124,0.8358,g
81.6259,71.2656,3.1589,g
84.2514,58.2115,11.124,g
15.1324,-2.3146,21.428,g
18.8093,17.572,55.1624,g
20.4962,10.5577,58.679,g
29.0428,-24.0117,11.474,g
37.9632,19.804,1.7101,g
38.0775,30.6531,20.797,g
48.6307,42.1381,6.54,g
37.6126,31.8129,6.2998,g
33.5948,-12.249,29.3634,g
112.412,39.0389,1.949,g
63.4558,27.8829,2.8194,g
40.0986,27.223,0.805,g
17.7811,15.6498,30.4737,g
12.7464,-9.2905,69.4336,g
54.4075,58.4949,65.913,g
19.0389,-11.7216,5.6753,g
57.5105,52.2129,3.837,g
40.4392,24.582,13.8,g
18.5127,13.1938,40.251,g
84.6723,99.6052,5.3339,g
12.3331,10.7468,17.444,g
48.2679,-36.6641,35.118,g
56.1918,49.969,1.591,g
18.2998,-15.8476,73.658,g
47.8141,34.2703,12.0685,g
12.6846,-5.0177,44.082,g
46.207,48.9698,53.6761,g
13.655,-4.8081,35.794,g
107.508,88.203,4.5595,g
29.1714,12.0149,1.9602,g
53.521,49.5699,0.984,g
75.5048,57.015,2.359,g
20.7038,11.0689,9.9488,g
24.6901,-22.0628,21.7968,g
25.7974,13.4294,58.6235,g
49.1913,33.3533,4.2502,g
36.0495,-17.2484,5.396,g
34.4357,-19.695,2.701,g
68.0656,-33.9962,8.0874,g
51.1672,32.9364,5.521,g
98.8383,-61.3293,1.0133,g
18.6618,12.4181,45.7173,g
43.1955,37.1483,0.075,g
95.0076,81.4116,0.051,g
53.4704,-50.2421,2.8916,g
31.9061,17.9271,22.6447,g
21.6901,-18.5206,35.37,g
85.2934,72.7592,3.104,g
81.3608,69.3567,1.9326,g
42.1804,31.3598,13.5661,g
40.7164,19.2059,3.235,g
29.5142,-8.3571,16.5815,g
25.2155,19.81,48.887,g
28.1957,20.8257,37.3532,g
72.0293,-39.2013,6.707,g
62.9321,62.0719,0.542,g
83.7773,-34.015,3.2282,g
44.0857,-28.5581,0.7342,g
23.481,10.827,71.603,g
59.0249,44.7229,0.057,g
33.6964,-16.0499,24.449,g
18.2742,-17.8521,82.5247,g
21.435,6.9507,19.691,g
45.613,-22.7252,5.0398,g
52.1851,25.1794,9.544,g
18.8725,5.7972,49.329,g
39.1456,27.3095,6.193,g
27.2244,20.8847,1.6146,g
18.6465,6.9274,63.3662,g
29.3669,-18.2009,3.0025,g
61.208,54.5215,11.0105,g
30.327,17.9015,81.3672,g
22.6255,-11.3924,15.109,g
28.9288,-17.2929,20.6729,g
63.3379,55.0795,5.324,g
21.047,18.7441,5.1507,g
20.458,16.724,46.285,g
75.989,57.1007,4.972,g
81.0239,54.1547,5.0286,g
31.6582,19.1343,39.136,g
45.3501,40.2406,14.5462,g
12.8791,-5.6954,67.6544,g
22.1211,19.1,13.9345,g
34.6295,18.8844,72.4438,g
68.4086,61.9179,5.9606,g
39.1459,-19.936,2.6191,g
32.8882,-22.07,8.0922,g
44.9509,24.8832,34.735,g
50.0346,42.5536,6.035,g
24.8168,4.357,3.542,g
65.0647,72.9835,8.5788,g
62.6624,51.0764,2.245,g
45.102,31.4351,1.2698,g
18.7237,13.5944,8.6873,g
31.9679,21.9528,18.3196,g
85.6428,77.4443,6.784,g
35.5577,-21.9429,3.314,g
23.7769,7.4345,43.362,g
16.6309,4.8137,56.9209,g
55.5272,36.7524,13.331,g
72.4377,25.0497,5.378,g
18.3451,16.9312,10.1604,g
91.8442,79.7142,4.5107,g
79.5498,-54.7687,8.6814,g
32.9774,22.5657,36.8783,g
64.3029,16.6768,7.8144,g
30.1451,25.0588,11.983,g
71.4573,54.8724,6.0914,g
25.4335,-9.8857,2.276,g
87.1984,71.9328,0.883,g
19.5201,12.899,81.779,g
37.6154,-28.7116,13.394,g
26.5364,18.034,15.321,g
26.1827,-8.1313,14.6067,g
94.0642,81.5687,4.9933,g
31.9077,18.6176,5.9537,g
119.371,85.6656,19.9605,g
17.5738,-8.4245,23.896,g
34.3515,27.3734,0.4904,g
54.6903,41.7832,22.307,g
19.1712,16.6594,84.4501,g
47.9982,-40.2479,3.0708,g
12.6054,9.8325,6.0163,g
39.6948,-13.4913,6.11,g
90.4031,48.2571,1.5824,g
95.5849,87.6339,0.7801,g
81.2144,71.4551,0.2799,g
22.2034,18.7733,51.144,g
83.5277,79.2466,6.34,g
45.4666,24.4189,15.5689,g
31.9543,19.2773,2.124,g
60.8649,23.8006,4.081,g
21.4431,-13.1833,29.712,g
17.0911,7.3418,14.894,g
77.9731,58.899,2.4615,g
74.7915,69.2272,11.45,g
21.2928,-9.5293,23.036,g
39.4933,22.5587,10.878,g
66.9411,76.8033,5.633,g
52.9929,40.5554,4.885,g
52.6722,38.0266,7.2741,g
31.7833,27.5985,3.234,g
36.9759,22.5906,3.906,g
24.51,-14.3725,66.6354,g
23.5602,18.9767,25.4166,g
21.3858,10.908,33.326,g
19.32,11.6404,24.1032,g
21.0932,13.4576,15.343,g
28.3624,-10.2841,27.4515,g
32.4106,22.2017,13.097,g
41.4007,24.0314,21.9634,g
12.6715,9.0043,8.7191,g
54.0804,51.8585,9.9658,g
57.2696,-25.5243,7.052,g
73.882,51.8924,1.6503,g
13.1787,-2.7238,27.106,g
18.1728,-10.1203,29.6658,g
80.4535,94.1508,14.203,g
28.4344,-12.5485,73.681,g
87.425,65.1788,1.909,g
40.0652,26.5156,18.0501,g
36.2746,30.6402,2.975,g
81.3711,56.0385,0.6543,g
43.5467,28.2733,8.662,g
100.664,85.6362,1.45,g
