@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
86.0486,21.8287,3.3587,2.005,g
34.9205,15.9621,2.8457,9.59,g
49.6143,28.1482,3.2641,0.67,g
26.9766,9.7238,2.3064,3.675,g
29.817,19.8364,2.7372,15.9328,g
34.9502,16.0121,3.0663,17.6684,g
39.1755,26.3821,2.7966,6.4974,g
41.4001,25.658,3.0414,0.6344,g
26.8928,17.7678,2.8439,23.821,g
28.0883,6.8084,2.2504,27.549,g
25.1576,12.8638,2.4564,47.777,g
25.5688,19.0735,2.2911,74.308,g
37.3516,16.8653,2.7882,1.713,g
21.6327,17.2218,2.5434,10.615,g
23.2114,18.431,2.7466,2.8462,g
23.1587,0.0046,2.1319,61.5621,g
36.9017,24.9234,3.0876,1.9727,g
34.4244,9.6598,2.4955,27.604,g
32.0949,13.4114,2.6915,14.233,g
80.0634,31.6829,3.7285,0.57,g
22.7946,17.6215,2.2889,37.2132,g
62.1547,22.8527,3.4072,3.4278,g
28.3371,24.9896,2.968,7.208,g
19.6633,9.2678,2.2304,81.0899,g
37.6122,14.3011,2.7404,28.521,g
22.241,8.9672,2.2529,32.6097,g
70.2288,28.4154,3.1828,1.562,g
20.8484,12.248,2.437,68.6674,g
88.0174,21.6106,3.2456,6.986,g
36.852,25.1337,3.0052,8.877,g
57.7702,19.8409,3.146,6.527,g
17.2692,11.1405,2.2504,40.0799,g
35.315,16.4057,2.6871,5.231,g
31.4417,19.7318,2.9827,27.914,g
43.9643,15.1253,2.8454,1.228,g
34.9294,15.993,2.5658,1.3937,g
19.8657,10.773,2.3324,17.929,g
73.2648,27.0787,3.5292,6.2195,g
36.4567,9.6195,2.4698,19.724,g
38.9699,14.8991,2.8264,14.53,g
27.8675,6.8238,2.3579,8.5878,g
22.7103,17.5142,2.541,78.773,g
50.0449,32.9152,2.9472,69.094,g
19.2295,11.4438,2.3655,24.262,g
94.8427,46.5011,4.1613,3.2764,g
41.2937,12.6744,2.6942,5.153,g
27.3361,8.0875,2.2577,19.4594,g
41.1027,11.8476,2.5283,7.067,g
23.6829,0,2.0512,77.229,g
20.0833,15.4987,2.3627,20.6196,g
23.7871,13.4529,2.3253,4.575,g
18.5136,16.9251,2.5334,11.74,g
16.0411,7.1442,2.2999,62.18,g
50.1709,20.6646,2.9859,47.392,g
56.5206,25.5338,3.3015,2.379,g
27.4278,12.636,2.7555,3.597,g
47.8357,20.8121,3.3922,0.468,g
22.6157,12.6978,2.2788,34.5976,g
27.8821,17.6439,2.7455,37.9035,g
25.1526,0,2.1599,61.216,g
23.1306,14.9958,2.5971,41.0922,g
48.3,20.615,3.0086,13.0282,g
31.8655,17.9128,2.6599,2.8753,g
49.5441,26.2693,3.528,2.433,g
72.7337,25.2033,3.2394,3.4835,g
114.722,58.9702,4.4451,2.9341,g
38.149,22.1737,2.6469,23.0914,g
80.2192,25.8956,3.4586,0.146,g
53.9679,25.405,3.0243,8.986,g
