@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
63.3453,0.64,g
63.2886,0.9753,g
35.9913,0.2425,g
92.8723,7.7301,g
22.7945,6.7835,g
99.6416,74.5664,g
96.3755,9.782,g
30.3331,0.9075,g
23.0242,33.4008,g
23.6353,43.565,g
39.3737,3.7449,g
41.0677,17.671,g
60.0261,1.3841,g
94.2369,1.854,g
81.2317,4.155,g
18.8734,17.1286,g
18.249,15.8259,g
13.1155,58.845,g
23.807,10.378,g
33.3045,5.2437,g
85.6478,0.7472,g
35.9225,2.969,g
13.1469,27.3603,g
31.3143,1.6985,g
34.3373,48.259,g
23.3353,29.1324,g
31.0208,8.2969,g
68.6967,3.4614,g
24.1417,89.2231,g
53.7088,11.677,g
30.3706,6.7334,g
23.2118,7.755,g
32.9957,71.066,g
28.4739,25.431,g
59.0112,1.8811,g
63.7006,8.519,g
12.9683,38.1314,g
24.9509,23.425,g
37.8835,6.518,g
26.8589,0.638,g
112.635,17.724,g
12.6846,4.176,g
67.9187,0.794,g
19.6321,8.5814,g
32.0222,35.625,g
21.5732,0.0002,g
25.3012,48.5567,g
70.1479,8.2377,g
71.6093,6.166,g
20.8936,53.587,g
138.085,5.931,g
27.3505,15.7217,g
18.6133,9.438,g
35.1926,10.685,g
36.0465,1.9542,g
26.8454,17.533,g
43.911,14.874,g
30.9688,69.0844,g
41.671,5.7949,g
36.384,6.303,g
95.6926,7.0973,g
28.8214,23.4123,g
18.633,58.2819,g
40.6296,6.1626,g
20.6647,68.5155,g
33.3893,38.976,g
18.0519,56.732,g
71.6766,9.612,g
16.3607,35.427,g
29.0213,9.2572,g
53.5632,61.5552,g
24.5661,11.018,g
46.9295,8.4913,g
17.0991,31.951,g
24.2734,17.466,g
68.792,4.841,g
26.0277,0.6419,g
58.9884,12.3224,g
21.3781,22.0158,g
27.1111,12.4588,g
24.7179,8.976,g
29.657,19.4898,g
17.1544,48.5893,g
138.838,3.499,g
61.2167,5.806,g
19.9908,75.1784,g
18.883,49.52,g
40.1178,1.23,g
81.0307,28.508,g
92.8988,3.3724,g
54.908,31.805,g
32.4967,63.9721,g
12.7169,15.651,g
68.9709,8.5297,g
24.7867,39.2593,g
25.2958,18.1924,g
28.1555,35.72,g
18.5361,0.244,g
35.3812,15.8702,g
26.067,20.441,g
21.4668,30.8438,g
23.7253,28.267,g
47.9212,4.251,g
110.128,64.95,g
57.6218,2.673,g
92.2265,5.0667,g
41.0163,4.1807,g
27.3453,6.736,g
25.607,5.452,g
50.4291,6.1251,g
20.9858,53.01,g
26.4549,25.187,g
38.685,6.8087,g
