@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-3,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
51.624,21.1502,2.9085,3.613,g
87.2384,27.935,2.8848,4.4265,g
23.5647,9.9926,2.2095,26.5328,g
73.6263,35.582,3.4533,4.471,g
44.0846,23.0143,2.8974,16.119,g
65.3574,22.3483,2.7376,4.874,g
43.7724,20.353,2.8982,16.25,g
20.9491,7.0366,2.1414,40.656,g
41.2629,20.9786,3.1361,7.6147,g
53.7339,15.4395,2.4298,1.886,g
47.8275,18.509,2.747,4.798,g
13.1994,10.8032,2.224,54.0277,g
20.7445,17.3249,2.5916,25.7775,g
42.3725,20.2021,3.2909,0.6925,g
25.2091,10.6551,2.3701,41.563,g
35.7062,13.2892,2.3664,1.2543,g
62.6886,22.612,3.2496,3.121,g
22.5702,0,2.1629,80.3449,g
33.3528,17.6866,2.7551,8.709,g
97.794,26.8347,3.5327,3.2128,g
52.8479,21.5505,2.9462,6.087,g
40.6097,20.5874,2.9117,0.774,g
59.817,14.838,2.8808,5.235,g
24.38,17.4654,2.616,0.8652,g
39.2192,14.1085,2.8534,9.1923,g
23.153,21.0028,2.8065,27.621,g
70.457,22.9878,3.0195,34.2372,g
63.7616,24.1374,3.1096,3.473,g
37.6518,15.2293,2.8561,7.803,g
70.4799,18.7963,2.7906,4.5199,g
38.5491,19.1817,3.0384,7.8488,g
36.2124,9.5335,2.3838,27.4653,g
45.5567,16.8422,2.9263,3.378,g
32.4734,11.2154,2.7271,6.915,g
48.6413,19.3526,2.8048,11.287,g
35.5524,15.3608,2.7945,13.69,g
31.8025,12.3285,2.3502,9.822,g
72.7983,23.2986,3.3429,7.4414,g
92.3205,31.3727,3.0948,2.0919,g
18.9658,7.402,2.1414,76.0739,g
38.525,28.8308,3.0257,2.3112,g
74.1464,20.7143,2.7348,4.802,g
63.6676,17.6143,2.5877,20.872,g
41.504,21.5189,2.6794,12.8677,g
43.0546,19.9313,2.5676,12.089,g
60.012,19.0335,2.9398,11.1868,g
43.9241,10.9225,2.7202,21.329,g
72.7908,23.7428,3.5405,4.2311,g
31.3015,12.9583,2.4616,7.923,g
42.7735,24.0127,2.7447,13.269,g
27.506,17.6938,2.7263,3.3162,g
27.8546,16.5647,2.882,4.1367,g
34.9792,22.7377,3.0222,4.075,g
12.4899,11.9789,2.1688,45.6611,g
46.3706,21.9331,2.9206,2.447,g
91.6993,42.7846,3.9713,1.9921,g
18.4491,7.3587,2.1945,42.315,g
27.1373,13.7348,2.4281,17.2732,g
12.8557,9.8076,2.4141,78.748,g
28.2338,16.3284,2.5308,8.526,g
17.725,7.4803,2.1833,33.97,g
18.7991,12.4262,2.3829,35.2698,g
71.7681,27.3733,3.6294,5.254,g
24.8332,7.3512,2.3784,20.643,g
80.7882,55.0349,3.4713,22.529,g
27.1259,12.9634,2.5653,21.073,g
46.3641,13.7186,2.9763,10.4919,g
53.0403,13.8821,2.8159,10.1148,g
24.8368,14.4621,2.4571,6.437,g
87.02,21.7407,2.634,2.8508,g
25.9826,13.9899,2.6556,4.752,g
22.9006,12.6407,2.6232,11.7582,g
57.9074,30.0559,2.9365,10.159,g
33.4718,23.5392,2.5617,0.6027,g
31.0015,15.8117,2.5682,8.767,g
60.6745,21.4003,3.1984,18.082,g
35.648,11.8742,2.673,5.014,g
26.2271,20.6569,2.9146,2.1651,g
20.5966,17.8906,2.3473,45.299,g
63.9655,26.6584,3.7121,5.7611,g
25.2907,11.508,2.4713,3.1678,g
49.5199,20.1482,2.8573,16.8734,g
13.1739,10.5938,2.2467,16.7394,g
20.5858,7.2402,2.0273,23.962,g
76.1914,36.9303,3.6457,4.034,g
25.8305,7.7487,2.2967,17.392,g
51.0346,22.7669,2.6721,9.203,g
93.0607,28.3185,3.5398,3.737,g
87.9125,24.0949,3.4298,2.628,g
22.2142,10.9289,2.2455,23.936,g
48.4816,8.4573,2.3802,0.7494,g
26.9169,7.0266,2.2648,78.1246,g
53.746,26.0975,2.8873,36.8773,g
33.8385,23.1018,3.071,9.0883,g
54.4375,32.7823,3.1174,2.6399,g
34.6872,15.5802,2.5484,4.286,g
20.8857,11.2823,2.404,58.7535,g
56.5563,19.5159,2.8085,1.695,g
22.6828,10.0152,2.3674,6.211,g
36.2836,17.3307,2.6915,24.191,g
22.2418,16.4332,2.4216,18.5462,g
18.9821,10.0948,2.2455,18.537,g
27.0104,19.1173,2.5224,11.766,g
25.9264,13.0316,2.5752,19.267,g
23.7368,11.5514,2.4448,30.194,g
41.8489,17.6323,2.6946,5.055,g
63.8905,24.804,3.2921,4.63,g
94.6049,30.5083,3.7389,1.2109,g
26.0216,9.648,2.4935,44.3455,g
21.2163,10.8702,2.1732,27.583,g
52.3507,21.7304,2.8606,5.164,g
23.945,12.5218,2.3473,7.211,g
37.5297,21.1485,3.1765,30.76,g
20.8415,7.1822,2.0663,33.539,g
80.2186,25.8725,3.5354,0.8713,g
53.1946,14.7069,2.8896,2.701,g
49.8805,25.0612,3.2717,39.8357,g
17.4019,16.4024,2.5459,72.654,g
