@relation magic

@attribute FLength numeric
@attribute FWidth numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
33.5981,14.042,16.463,g
73.3171,23.5811,2.8894,g
13.4134,10.192,4.157,g
91.7477,22.9294,9.9993,g
93.38,31.0536,5.288,g
35.577,15.0526,2.0711,g
12.7427,11.5967,79.144,g
43.3248,14.9856,11.13,g
26.6048,17.7514,11.4622,g
55.3893,24.3116,1.5204,g
106.44,33.6777,4.894,g
22.1758,22.1106,21.346,g
104.604,43.6324,4.314,g
12.9432,11.2194,89.7459,g
59.7619,13.912,10.5445,g
22.4688,14.9097,59.4506,g
32.3176,12.9147,12.306,g
74.7915,22.9493,11.45,g
28.0184,15.3868,3.306,g
44.613,22.0402,7.436,g
81.8961,21.7384,0.219,g
35.8304,16.0994,13.0951,g
22.7173,0.0026,5.2051,g
20.0986,12.8671,21.675,g
35.2851,18.8631,16.104,g
29.4732,11.3566,19.1106,g
13.1598,10.4453,34.5856,g
18.5136,16.9251,11.74,g
156.301,33.0123,4.1613,g
49.6143,28.1482,0.67,g
78.1577,33.4577,7.323,g
38.5551,11.2822,17.979,g
43.0769,17.081,15.9601,g
59.8073,19.6358,0.466,g
29.1714,15.6747,1.9602,g
67.0121,24.7274,2.123,g
51.1226,19.913,3.888,g
19.2624,18.1898,56.5669,g
46.5015,36.7249,19.163,g
26.2893,19.8336,16.7926,g
53.6076,24.7149,1.853,g
20.5858,7.2402,23.962,g
20.155,7.2713,39.6284,g
38.685,13.7538,6.8087,g
35.1147,17.8008,16.6113,g
29.638,22.3916,52.0176,g
18.8069,16.4272,29.692,g
42.4518,22.9129,9.906,g
49.2705,19.1009,8.8233,g
67.7351,21.1326,2.6774,g
56.6077,24.9021,2.4729,g
42.5751,10.8151,11.3585,g
50.0677,17.6383,21.887,g
28.4384,12.8778,54.7663,g
23.133,8.7943,12.164,g
41.984,17.7441,7.9241,g
28.1559,14.9064,25.4801,g
89.3435,23.2121,1.3127,g
82.5295,21.5646,2.176,g
93.9743,33.4934,2.2699,g
73.0436,28.8003,1.611,g
34.4273,11.1924,17.991,g
38.025,15.9698,12.1567,g
92.9002,27.648,1.324,g
75.9021,22.406,4.814,g
32.8823,20.8996,9.7115,g
20.1638,12.7267,11.655,g
53.6832,18.8762,0.803,g
32.4659,21.5558,14.407,g
61.3352,19.0376,9.634,g
46.3641,13.7186,10.4919,g
43.814,23.5591,19.0193,g
54.623,21.7267,11.24,g
58.4422,19.6955,19.889,g
24.8576,9.5246,3.715,g
54.0804,29.2149,9.9658,g
45.1917,16.5049,3.06,g
30.15,19.2314,6.93,g
73.2648,27.0787,6.2195,g
23.8725,11.8221,9.027,g
29.3874,17.8245,10.789,g
29.805,12.3865,41.3475,g
74.4746,13.4246,5.847,g
49.165,42.3026,4.8828,g
34.0197,9.4725,0.4852,g
38.4451,14.0055,7.8286,g
22.6135,10.6883,10.7152,g
20.8491,9.9287,65.8518,g
18.5832,10.1782,20.9362,g
25.6437,10.2737,13.6579,g
73.9764,33.4965,1.537,g
25.2099,10.5761,72.391,g
28.653,14.7728,22.384,g
22.0215,10.9569,55.6963,g
53.6984,15.966,68.073,g
48.5562,19.8516,10.529,g
60.0261,12.245,1.3841,g
31.3357,20.1946,26.0319,g
23.2179,15.4175,25.3949,g
78.9361,30.75,1.3658,g
73.5568,28.7359,3.062,g
26.4121,17.8816,20.435,g
18.8495,11.5078,65.3027,g
36.6132,26.6724,66.1973,g
12.9091,11.2356,0.3707,g
45.1827,17.8152,15.562,g
38.1089,15.08,13.741,g
37.716,19.0122,21.8653,g
16.573,11.2568,21.7684,g
52.4962,25.9855,8.9195,g
84.1495,15.471,0.4443,g
24.7655,17.8989,5.887,g
41.0677,16.2578,17.671,g
44.9545,19.6036,6.826,g
39.4933,13.0682,10.878,g
21.3968,18.257,85.5644,g
82.9946,23.8627,2.9285,g
84.5714,19.5962,4.2254,g
65.1513,29.9163,17.772,g
25.0807,12.4177,61.1859,g
22.4686,6.4046,18.2554,g
26.417,8.1402,7.3755,g
34.7886,19.5066,14.054,g
29.7715,14.7263,6.6615,g
48.6658,10.9483,0.1985,g
38.6526,18.266,8.8024,g
28.5807,18.1143,13.2274,g
23.5348,15.0164,5.8248,g
17.3357,10.9817,22.2335,g
51.326,17.6006,7.26,g
59.4146,21.6014,2.236,g
28.5443,9.8997,11.3856,g
19.6111,12.9182,30.556,g
50.4557,23.2869,7.6353,g
61.9494,31.0583,0.853,g
64.9547,16.9587,0.195,g
21.6496,11.553,89.6251,g
43.2081,22.3084,3.4828,g
23.8915,12.8584,6.2472,g
12.8702,11.4376,83.1822,g
32.8882,13.3841,8.0922,g
57.2207,23.6817,3.2171,g
42.1685,32.0539,33.8695,g
81.1521,29.1526,4.248,g
75.4576,36.3955,4.6873,g
26.0211,9.5427,10.2299,g
16.6311,15.8664,31.7295,g
34.6851,29.3093,13.672,g
23.1363,13.5366,3.438,g
27.2926,8.7939,3.366,g
21.1063,6.6598,7.8499,g
