@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1-2,9,11'

@attribute FLength numeric
@attribute FWidth numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
28.7967,16.0021,40.092,g
44.7394,15.6364,3.251,g
27.2304,19.2817,77.5379,g
84.61,36.4657,17.575,g
24.999,14.6867,9.862,g
20.8112,7.1717,85.103,g
24.999,17.775,81.8671,g
18.4475,11.7563,69.2291,g
101.703,39.5491,4.0677,g
41.3848,32.4617,9.628,g
20.5839,12.8876,26.586,g
91.6174,39.9496,3.0094,g
20.7154,7.1982,88.4999,g
20.4525,7.2419,9.1256,g
17.8912,15.0832,44.74,g
84.2741,33.3225,3.7714,g
33.7616,14.4511,32.377,g
74.3456,37.459,31.553,g
78.2002,23.1372,12.616,g
19.7592,12.1812,18.354,g
44.9999,25.6517,46.1539,g
68.9648,25.5221,0.402,g
49.6601,22.0999,5.4509,g
19.4731,12.2939,53.7383,g
24.5581,15.468,26.996,g
23.6426,0,0,g
88.6611,23.5917,0.71,g
43.9615,20.2437,6.846,g
109.37,7.2912,0.589,g
18.7703,10.0147,50.86,g
19.7692,15.8392,83.8778,g
79.7124,35.2208,2.129,g
27.1848,14.0718,47.377,g
66.8289,20.5976,5.1606,g
35.8341,21.9779,6.11,g
40.0436,29.8364,1.6058,g
81.8495,36.8892,16.194,g
23.4123,14.7674,39.4624,g
37.7253,16.6038,15.834,g
94.8276,37.9939,1.024,g
38.0902,23.3226,25.6015,g
72.6419,23.1654,2.1522,g
28.7248,16.5417,3.5355,g
29.4682,24.3438,19.977,g
95.6947,21.7506,0.2763,g
33.1706,15.5717,7.608,g
24.4446,14.3012,20.8407,g
18.9434,10.2434,12.938,g
48.8261,15.6801,8.2676,g
23.4563,11.3381,21.817,g
31.3318,19.8114,18.65,g
18.6774,17.6112,8.3828,g
48.5152,22.2848,0.6261,g
32.392,14.8974,7.136,g
26.503,11.6146,30.148,g
21.0167,8.4981,9.3744,g
51.6785,25.5782,1.8934,g
57.1182,25.9623,19.89,g
82.1714,40.3261,1.7505,g
25.0822,10.9047,6.219,g
35.5418,19.0787,27.4184,g
23.6729,0,47.7751,g
34.2078,12.1986,6.6964,g
37.1898,16.2488,7.0604,g
40.9872,16.3956,0.0821,g
12.9987,10.7215,32.861,g
16.9818,14.9461,51.0269,g
12.4392,12.0404,18.3994,g
27.1388,21.2758,30.825,g
100.038,57.3927,2.931,g
64.5397,30.7499,13.377,g
28.2176,14.1847,89.9535,g
36.9048,16.4389,1.8977,g
92.3723,47.0706,17.086,g
23.8022,16.2389,15.4009,g
41.0476,23.8253,6.121,g
21.0689,13.6215,5.3844,g
102.285,28.5416,2.661,g
32.853,19.9412,8.724,g
40.3463,19.8422,14.5122,g
77.3543,41.9258,3.7039,g
51.264,22.1306,10.649,g
70.1638,27.6647,8.3983,g
27.7483,18.2389,9.141,g
18.0652,16.1578,67.7358,g
31.79,18.2532,13.812,g
37.374,24.8696,25.394,g
18.6774,13.7599,15.0753,g
33.7945,22.1564,9.383,g
26.277,16.3552,19.6343,g
32.4832,20.0252,24.26,g
81.5827,22.0786,0.5805,g
22.3851,12.6677,12.169,g
41.6441,22.594,16.037,g
40.0334,16.7695,4.1,g
30.8343,16.9119,56.523,g
21.462,17.3662,1.493,g
58.3389,24.843,8.174,g
20.6484,6.9116,7.414,g
18.4901,14.4091,5.515,g
29.2688,14.2779,47.559,g
38.5396,30.0414,0.0345,g
123.623,32.9219,4.358,g
43.3752,20.5633,17.999,g
24.8854,17.6444,15.148,g
55.6462,19.9946,15.151,g
88.992,32.736,5.627,g
40.1071,27.6602,11.7922,g
12.8789,11.4348,9.2006,g
37.8069,23.842,10.6904,g
56.1911,24.7904,1.621,g
20.47,19.9695,63.4398,g
56.2863,21.7638,20.5187,g
42.6005,22.6843,14.976,g
27.8752,9.6675,44.0434,g
28.1148,17.3168,10.742,g
21.9255,12.665,4.941,g
23.4322,17.6963,79.712,g
88.0016,41.5354,26.8401,g
18.621,10.2621,26.1461,g
49.7636,28.4542,3.2719,g
49.8051,14.0499,5.4954,g
65.4261,21.4481,8.129,g
65.6466,23.2731,4.6995,g
85.9632,28.6412,5.703,g
29.7499,18.698,0.56,g
25.519,22.8539,30.5133,g
29.0348,20.0742,54.004,g
23.9073,12.3949,3.145,g
76.6239,34.0896,4.172,g
79.7263,29.3006,2.4487,g
