@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
31.6036,6.3609,g
33.1818,41.929,g
50.4829,22.471,g
87.5837,2.428,g
25.4762,24.847,g
32.0586,12.1807,g
29.3424,39.189,g
73.2547,23.149,g
27.4888,23.5868,g
27.1044,29.844,g
35.577,2.0711,g
25.0056,4.2353,g
24.3343,10.288,g
78.6493,3.227,g
77.5343,1.892,g
20.5321,44.9,g
43.1994,7.6914,g
31.5256,10.2785,g
46.5588,12.727,g
86.5346,4.8152,g
20.9663,47.8491,g
22.2442,6.6462,g
24.598,8.0075,g
37.6758,20.1948,g
108.261,1.873,g
49.8142,14.103,g
62.7644,4.1234,g
101.178,3.1693,g
20.7417,16.395,g
18.0693,84.2593,g
34.1392,13.7301,g
106.364,0.624,g
55.8434,5.4306,g
68.7354,9.3666,g
31.5737,29.603,g
47.0893,2.621,g
19.7221,31.983,g
71.9672,2.8019,g
26.889,18.419,g
39.4796,1.129,g
31.257,1.9639,g
45.4678,1.087,g
32.4134,17.831,g
27.8936,82.8799,g
86.7133,0.6696,g
41.9654,7.1441,g
80.5967,5.9931,g
88.4638,0.533,g
92.6332,0.123,g
94.1836,2.957,g
19.8584,20.1575,g
61.5098,9.437,g
33.2252,15.71,g
35.3335,5.8315,g
38.2407,3.9659,g
23.1262,16.232,g
19.6147,29.2598,g
68.2982,6.3982,g
55.7546,3.628,g
28.1635,17.1252,g
47.409,2.939,g
92.3308,0.6513,g
21.942,21.49,g
58.0216,3.131,g
16.3134,9.3001,g
81.3975,22.7735,g
83.8355,4.6236,g
33.3819,44.799,g
27.6167,89.7323,g
26.3542,21.6256,g
48.451,8.691,g
55.9196,2.646,g
18.9053,33.344,g
26.6994,9.393,g
21.5359,15.312,g
132.954,0.36,g
33.1141,47.7302,g
59.6587,12.842,g
27.5407,34.6822,g
13.1759,8.886,g
32.8483,4.565,g
43.7585,8.3799,g
40.8706,5.528,g
38.5385,0.583,g
21.4514,8.6808,g
93.2945,1.851,g
37.6898,1.57,g
13.2566,15.671,g
20.1487,28.6298,g
58.1603,1.6337,g
27.9279,12.21,g
43.0781,23.884,g
23.2333,26.733,g
20.4899,70.14,g
41.1907,27.354,g
22.7173,5.2051,g
30.9955,32.5233,g
73.1549,0.3485,g
22.4688,59.4506,g
57.0078,7.705,g
21.947,40.4341,g
60.9338,13.807,g
53.652,26.4137,g
28.5807,13.2274,g
35.6259,3.3842,g
50.3888,4.4298,g
26.5832,31.498,g
59.2595,3.5017,g
28.7044,49.667,g
36.7909,8.0884,g
61.5025,5.245,g
97.4967,0.6868,g
21.565,3.896,g
48.4003,8.0926,g
25.5063,0.864,g
33.3412,8.787,g
40.6004,13.3149,g
85.7919,0.2999,g
37.4704,1.9409,g
39.6308,3.026,g
41.4656,13.0923,g
54.123,6.339,g
67.6685,2.3677,g
12.9656,12.9511,g
17.2647,24.6514,g
22.5585,9.3268,g
41.2802,14.077,g
28.2082,64.547,g
77.5475,0.641,g
46.5015,19.163,g
24.4953,5.0927,g
28.6908,39.0498,g
41.8044,22.3263,g
37.1967,10.3638,g
63.1254,6.9492,g
19.9774,3.2309,g
33.6985,3.9292,g
60.0416,2.7873,g
27.651,23.851,g
67.7932,6.105,g
22.6234,3.197,g
29.8203,17.7272,g
35.6496,2.205,g
65.9033,1.308,g
32.9572,21.1247,g
22.7815,3.0779,g
84.9009,1.419,g
21.6421,45.9906,g
87.3122,1.902,g
34.9461,82.8542,g
37.9953,10.0049,g
20.8491,65.8518,g
19.5955,23.6345,g
27.4308,9.3801,g
28.9745,5.1486,g
29.8548,26.9856,g
31.2684,22.4698,g
26.3595,8.299,g
37.3484,0.4092,g
80.1881,19.3195,g
23.7533,14.2238,g
12.6396,61.162,g
38.7824,21.516,g
12.611,5.0155,g
18.9883,31.8054,g
74.4488,0.1431,g
80.0227,8.5037,g
90.4766,0.141,g
112.725,2.337,g
19.1463,87.1479,g
21.2211,56.2975,g
12.5842,35.09,g
51.1294,1.0956,g
89.5857,1.2147,g
21.5956,52.6428,g
19.2814,33.6702,g
30.2969,37.42,g
88.6127,1.8554,g
23.1655,24.7031,g
46.4868,1.2932,g
