@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,9,11'

@attribute FLength numeric
@attribute FSize numeric
@attribute FConc numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
63.3453,3.4233,0.2339,0.64,g
63.2886,3.4434,0.2342,0.9753,g
35.9913,2.7466,0.3297,0.2425,g
92.8723,3.1553,0.242,7.7301,g
22.7945,2.567,0.5203,6.7835,g
99.6416,2.4362,0.3846,74.5664,g
96.3755,3.359,0.2179,9.782,g
30.3331,2.4526,0.4762,0.9075,g
23.0242,2.2188,0.4471,33.4008,g
23.6353,2.4661,0.6291,43.565,g
39.3737,2.7763,0.3213,3.7449,g
41.0677,2.7308,0.3532,17.671,g
60.0261,2.8052,0.26,1.3841,g
94.2369,2.7727,0.297,1.854,g
81.2317,3.7262,0.1694,4.155,g
18.8734,2.5821,0.4686,17.1286,g
18.249,2.2529,0.6034,15.8259,g
13.1155,2.1973,0.8,58.845,g
23.807,2.4289,0.5624,10.378,g
33.3045,2.6862,0.3687,5.2437,g
85.6478,3.3537,0.2719,0.7472,g
35.9225,2.5224,0.3093,2.969,g
13.1469,2.2467,0.7819,27.3603,g
31.3143,2.873,0.284,1.6985,g
34.3373,2.8109,0.3246,48.259,g
23.3353,2.6721,0.3298,29.1324,g
31.0208,2.5218,0.5444,8.2969,g
68.6967,3.1733,0.1858,3.4614,g
24.1417,2.7853,0.3885,89.2231,g
53.7088,2.8695,0.2984,11.677,g
30.3706,3.0177,0.3005,6.7334,g
23.2118,2.2455,0.5568,7.755,g
32.9957,2.4175,0.5507,71.066,g
28.4739,2.6862,0.2945,25.431,g
59.0112,3.5361,0.1691,1.8811,g
63.7006,3.2033,0.2549,8.519,g
12.9683,2.3149,0.7458,38.1314,g
24.9509,2.4928,0.4566,23.425,g
37.8835,2.5752,0.3298,6.518,g
26.8589,2.5145,0.4465,0.638,g
112.635,2.9868,0.1918,17.724,g
12.6846,2.1055,0.7137,4.176,g
67.9187,3.5981,0.1342,0.794,g
19.6321,2.0986,0.741,8.5814,g
32.0222,2.3454,0.4966,35.625,g
21.5732,2.1222,0.7698,0.0002,g
25.3012,2.5682,0.5568,48.5567,g
70.1479,3.4283,0.1984,8.2377,g
71.6093,2.7551,0.3638,6.166,g
20.8936,2.07,0.6809,53.587,g
138.085,3.9738,0.0803,5.931,g
27.3505,2.3212,0.4487,15.7217,g
18.6133,2.3054,0.6089,9.438,g
35.1926,3.2262,0.221,10.685,g
36.0465,2.7903,0.2917,1.9542,g
26.8454,2.5296,0.4284,17.533,g
43.911,3.0465,0.301,14.874,g
30.9688,2.8837,0.3987,69.0844,g
41.671,3.0654,0.2822,5.7949,g
36.384,2.6946,0.2606,6.303,g
95.6926,3.328,0.1913,7.0973,g
28.8214,3.1002,0.3152,23.4123,g
18.633,2.4108,0.5204,58.2819,g
40.6296,2.8162,0.2443,6.1626,g
20.6647,2.2292,0.7316,68.5155,g
33.3893,3.0212,0.259,38.976,g
18.0519,2.1818,0.5395,56.732,g
71.6766,3.63,0.1768,9.612,g
16.3607,2.3522,0.5956,35.427,g
29.0213,2.4048,0.4094,9.2572,g
53.5632,2.8442,0.2792,61.5552,g
24.5661,2.6758,0.3439,11.018,g
46.9295,2.6857,0.2804,8.4913,g
17.0991,2.3118,0.6683,31.951,g
24.2734,2.4456,0.4624,17.466,g
68.792,3.6718,0.155,4.841,g
26.0277,2.5502,0.4535,0.6419,g
58.9884,2.7255,0.2653,12.3224,g
21.3781,2.3464,0.5946,22.0158,g
27.1111,2.5826,0.3817,12.4588,g
24.7179,2.4541,0.4323,8.976,g
29.657,2.6955,0.4012,19.4898,g
17.1544,2.2405,0.5632,48.5893,g
138.838,3.2464,0.1713,3.499,g
61.2167,2.8993,0.2875,5.806,g
19.9908,2.6175,0.538,75.1784,g
18.883,2.2672,0.6541,49.52,g
40.1178,3.0058,0.2743,1.23,g
81.0307,2.9312,0.2578,28.508,g
92.8988,3.7862,0.1824,3.3724,g
54.908,2.5384,0.3849,31.805,g
32.4967,2.5514,0.3118,63.9721,g
12.7169,2.2443,0.7066,15.651,g
68.9709,2.7616,0.3602,8.5297,g
24.7867,2.8319,0.2946,39.2593,g
25.2958,2.4401,0.5154,18.1924,g
28.1555,2.4487,0.452,35.72,g
18.5361,2.1903,0.5419,0.244,g
35.3812,2.6556,0.3735,15.8702,g
26.067,2.5988,0.3627,20.441,g
21.4668,2.2945,0.5635,30.8438,g
23.7253,2.0663,0.7039,28.267,g
47.9212,3.1834,0.1783,4.251,g
110.128,2.608,0.4266,64.95,g
57.6218,3.3346,0.1842,2.673,g
92.2265,2.9077,0.1719,5.0667,g
41.0163,2.4518,0.2898,4.1807,g
27.3453,2.4735,0.484,6.736,g
25.607,2.5296,0.4313,5.452,g
50.4291,3.0506,0.3035,6.1251,g
20.9858,2.5611,0.4093,53.01,g
26.4549,2.4713,0.4561,25.187,g
38.685,2.4526,0.3704,6.8087,g
32.843,2.9146,0.4017,3.4605,g
19.5565,2.4183,0.6565,22.452,g
50.8879,2.9848,0.2113,1.6086,g
18.1784,2.2878,0.6289,7.916,g
39.6606,2.6726,0.3167,34.0416,g
69.9918,2.8751,0.2347,9.2202,g
18.2406,2.2201,0.5783,18.975,g
23.5264,2.643,0.3595,52.2065,g
36.0926,2.3927,0.4575,15.5661,g
39.2553,3.0755,0.1992,5.892,g
68.4131,3.2439,0.2178,1.1476,g
90.829,3.6755,0.19,1.6314,g
34.8356,2.4048,0.437,16.376,g
21.8583,2.8707,0.3744,12.6028,g
28.8362,2.4786,0.4552,7.4925,g
23.2204,2.1287,0.7807,74.3282,g
18.7977,2.4241,0.5198,38.1018,g
18.6982,2.3971,0.5251,14.281,g
39.4299,3.0477,0.2751,0.04,g
16.7909,2.3032,0.5821,15.7723,g
110.58,3.4465,0.1431,9.6984,g
24.0767,2.6449,0.4077,32.3979,g
20.7262,2.3865,0.4723,14.549,g
22.5238,2.3541,0.6239,22.9198,g
20.3243,2.2878,0.6134,41.763,g
37.5814,2.6048,0.3801,5.933,g
12.867,2.1414,0.722,42.694,g
27.9249,2.2148,0.5793,31.265,g
16.7429,2.2967,0.6515,20.2043,g
25.2997,2.9004,0.3308,3.762,g
24.0201,2.451,0.5416,6.311,g
34.7049,2.7118,0.3068,16.679,g
65.4492,3.3339,0.1873,2.304,g
25.9963,2.6702,0.3825,85.2337,g
27.2296,2.7585,0.3714,2.0627,g
40.9857,2.6395,0.289,12.949,g
33.6677,2.641,0.3909,6.971,g
26.3904,2.2601,0.6099,9.8612,g
88.3759,3.5153,0.1264,8.2753,g
33.9768,2.7642,0.3408,71.4495,g
75.3228,3.5093,0.2,1.216,g
30.817,2.6561,0.415,34.5966,g
77.2321,3.1315,0.1869,6.987,g
35.6831,2.6675,0.3548,14.018,g
45.0286,3.0779,0.2608,11.8623,g
24.0493,2.7093,0.3652,89.5011,g
61.1429,3.3858,0.2061,7.998,g
112.173,2.6107,0.3235,13.0126,g
70.8315,3.3197,0.2227,10.385,g
20.7584,2.1703,0.5878,66.17,g
18.5582,2.2028,0.7774,4.3666,g
19.9784,2.2833,0.6406,80.0895,g
73.8115,3.211,0.2245,6.548,g
69.4398,3.1443,0.2468,11.29,g
25.7024,2.317,0.4723,30.6008,g
29.3515,2.4749,0.3719,26.3691,g
33.2508,2.6253,0.436,13.4306,g
102.179,2.9595,0.2119,3.2562,g
79.2206,3.7191,0.1222,8.264,g
31.031,2.6325,0.3543,37.32,g
40.0284,2.9348,0.3126,2.184,g
19.1072,2.4691,0.584,3.6579,g
81.6624,3.7255,0.1893,0.3395,g
53.9373,3.0455,0.2287,5.2515,g
18.7276,2.4401,0.5082,79.2348,g
20.0751,2.4556,0.5254,18.131,g
42.0033,2.6889,0.3521,0.933,g
59.3407,3.5204,0.2336,1.3878,g
96.3809,3.4737,0.1831,2.072,g
56.5977,2.5682,0.3351,4.562,g
39.9972,3.0941,0.2762,14.756,g
32.0031,2.6702,0.4423,8.6023,g
60.1173,2.9671,0.2384,1.101,g
