@relation 'magic-weka.filters.unsupervised.attribute.Remove-V-R1,9,11'

@attribute FLength numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
75.1362,4.648,g
96.2327,4.854,g
29.4741,48.0364,g
36.1741,0.254,g
46.0588,8.686,g
90.5299,2.039,g
37.742,24.216,g
16.7608,62.618,g
19.6562,63.03,g
45.0172,8.718,g
22.6397,14.3756,g
89.8648,3.689,g
77.9219,0.2442,g
29.3108,24.109,g
19.6419,34.817,g
26.8971,41.065,g
56.2418,1.574,g
70.2768,2.9261,g
16.9286,18.5125,g
34.1619,11.6079,g
30.0005,27.943,g
19.7366,24.7838,g
28.4148,13.6965,g
47.6,2.608,g
21.776,22.3655,g
20.6454,2.7533,g
72.969,4.087,g
36.5237,12.715,g
19.0154,58.903,g
82.3156,10.08,g
23.1657,82.0505,g
13.0557,74.1884,g
26.611,29.5051,g
71.2234,7.615,g
100.226,4.4376,g
92.6284,6.878,g
32.2468,16.2095,g
80.7093,30.763,g
26.466,6.6995,g
17.1997,19.79,g
29.4259,45.059,g
85.4576,2.245,g
54.2845,1.7076,g
66.5662,0.4,g
20.7708,72.2425,g
12.7592,1.2142,g
30.5807,0.0648,g
38.941,13.913,g
79.539,1.6851,g
88.5562,0.8794,g
77.8088,19.558,g
28.9475,56.0565,g
20.4623,65.011,g
84.3787,0.1081,g
25.5991,8.7515,g
17.1072,54.2205,g
17.0875,56.4005,g
40.2965,0.125,g
29.5611,23.721,g
19.7062,29.7652,g
87.0611,1.5388,g
33.7959,27.8917,g
79.2821,5.16,g
37.5494,8.782,g
12.6472,5.88,g
82.9688,14.1164,g
36.8698,4.412,g
26.8487,11.235,g
63.1196,6.423,g
52.9024,4.4386,g
23.6678,81.1385,g
78.8325,2.762,g
130.346,6.999,g
21.9153,16.1307,g
20.4324,64.5349,g
39.7082,27.696,g
36.9888,5.2373,g
24.1542,56.148,g
30.7067,56.785,g
24.7614,19.5461,g
32.0001,15.096,g
71.9537,5.185,g
27.8762,11.5874,g
26.2968,0.085,g
97.719,9.5897,g
68.2422,2.555,g
53.9648,0.857,g
40.9662,4.324,g
81.1254,10.34,g
22.7882,63.8216,g
20.7471,24.743,g
48.1835,23.914,g
92.9014,0.0323,g
26.5179,5.9374,g
34.0974,4.829,g
59.3765,8.7949,g
43.9478,9.4355,g
29.8725,21.696,g
43.7342,5.3918,g
34.4815,18.7586,g
22.7315,10.6062,g
56.2502,4.177,g
30.8252,3.2586,g
50.3466,3.915,g
18.5107,5.534,g
46.2759,1.4241,g
13.2557,47.2228,g
46.3055,6.021,g
47.1025,10.4927,g
25.7164,34.405,g
47.3516,6.594,g
20.4837,6.661,g
24.1399,39.092,g
29.0412,2.6291,g
20.5297,9.1961,g
32.3276,3.8476,g
47.5811,0.2816,g
41.5186,6.997,g
43.5163,9.4008,g
13.0592,77.476,g
16.024,19.4794,g
12.5765,36.511,g
25.7793,6.947,g
16.2153,75.817,g
20.4599,54.01,g
71.929,0.975,g
27.0634,31.108,g
23.238,11.409,g
20.2834,51.983,g
36.3149,3.9115,g
35.9396,7.6707,g
18.5761,51.044,g
47.3271,2.982,g
45.1147,12.2356,g
15.7183,16.332,g
37.7305,31.436,g
25.7902,22.684,g
31.0616,34.976,g
25.8414,26.1088,g
90.9977,0.1023,g
17.2132,36.0888,g
13.0364,89.9026,g
32.6311,14.8675,g
53.6076,1.853,g
22.8824,15.91,g
99.0827,7.7732,g
29.4333,32.312,g
35.4974,17.915,g
61.2981,21.895,g
62.8276,9.401,g
25.2213,7.247,g
48.9681,12.422,g
35.996,23.739,g
17.6381,64.3998,g
76.2706,7.539,g
23.8533,46.859,g
82.1936,0.5325,g
19.4413,27.318,g
78.4084,5.6934,g
24.0671,21.05,g
41.2342,4.2209,g
27.5367,12.596,g
34.664,0.3188,g
21.4397,84.1039,g
19.5031,79.386,g
81.1628,1.577,g
45.9494,14.367,g
49.2474,8.3432,g
56.1429,41.9676,g
25.558,2.178,g
75.596,5.9909,g
52.9757,47.954,g
79.664,1.709,g
18.8538,64.7773,g
54.8891,3.2776,g
23.5712,14.5896,g
23.224,90,g
17.4823,35.758,g
82.4735,14.393,g
22.6563,69.395,g
34.1178,1.154,g
25.8147,0.206,g
33.1019,8.0901,g
92.7412,9.5101,g
46.2246,7.135,g
13.4506,45.195,g
18.6177,32.3548,g
58.922,2.5884,g
30.9402,2.303,g
36.497,5.526,g
58.5847,4.933,g
28.4792,11.0181,g
21.4533,26.256,g
15.5259,11.0853,g
21.1727,27.5608,g
33.3083,32.826,g
22.6152,33.3063,g
37.0847,4.5449,g
50.1723,33.5365,g
101.073,4.683,g
18.322,16.343,g
24.848,39.8891,g
83.4719,3.994,g
97.4259,4.934,g
32.2964,35.1875,g
18.7081,81.6908,g
107.572,2.376,g
43.072,0.7536,g
21.5372,5.69,g
46.5503,18.7204,g
60.8563,7.8933,g
29.3911,7.845,g
43.516,7.658,g
25.8925,17.314,g
17.5793,62.1191,g
13.7784,42.5529,g
89.9165,2.755,g
102.584,2.2189,g
