@relation magic

@attribute FLength numeric
@attribute FWidth numeric
@attribute FSize numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
30.9514,25.0135,2.7892,35.915,g
46.7412,22.3069,3.1256,8.8499,g
72.1282,19.0392,2.6955,0.885,g
93.3058,37.8474,4.0093,1.7696,g
95.4476,24.1218,3.7656,0.601,g
26.2117,16.0071,2.734,0.9552,g
27.0762,19.3349,2.7536,10.25,g
76.701,15.0239,2.7871,4.783,g
21.1753,19.073,2.5735,76.2728,g
28.8155,22.3636,2.6314,50.306,g
23.3515,16.828,2.5496,7.2523,g
93.0951,19.9461,2.9345,1.18,g
26.3431,17.5466,2.596,70.193,g
34.3084,9.2682,2.4969,3.927,g
36.0227,21.2618,2.7427,7.4337,g
42.6125,22.9955,3.0175,7.055,g
57.5229,18.3112,3.0183,2.846,g
27.5741,6.6968,2.4409,18.8663,g
38.7469,24.4913,2.8779,12.098,g
18.1863,10.1711,2.3747,0.4967,g
75.5011,17.0911,2.9773,1.1556,g
24.388,12.8981,2.634,19.892,g
66.6014,23.7963,3.0992,2.4355,g
24.383,14.6041,2.5119,22.4899,g
32.8087,17.3659,2.6959,21.846,g
91.3563,19.7964,2.9612,0.9563,g
45.4214,31.9009,3.5653,11.6075,g
34.0124,16.8725,2.5359,3.491,g
21.5257,15.8974,2.6201,6.6877,g
39.1603,14.6221,2.5539,3.5942,g
72.5506,21.7566,3.0922,18.6144,g
64.1939,20.2121,2.8615,1.1672,g
113.51,21.8235,3.0842,4.016,g
63.9494,21.9903,3.4432,2.881,g
64.9205,28.2735,3.206,3.321,g
61.9301,18.9766,2.9545,13.4953,g
27.1759,12.5123,2.6735,15.737,g
20.532,18.6601,2.5587,37.6012,g
26.5702,14.7651,2.3874,45.9686,g
48.7675,24.2296,3.0296,16.484,g
23.9862,0,2.2541,25.6257,g
21.4792,10.821,2.2504,70.5228,g
46.9069,29.0897,3.2857,4.1101,g
76.3259,28.009,3.288,3.6015,g
34.2426,19.3492,2.8971,11.5931,g
86.2677,24.8057,3.4229,2.42,g
102.077,17.4616,2.9943,4.3488,g
31.6388,12.6908,2.5126,68.429,g
31.4411,25.0631,2.5198,4.4742,g
12.7256,11.664,2.0354,58.2737,g
46.2801,16.3144,2.8979,50.944,g
33.5641,17.9922,2.666,2.9039,g
67.3071,28.7303,3.095,4.0631,g
46.413,17.8084,2.9479,0.595,g
18.1497,10.6094,2.4014,74.8176,g
38.6401,19.708,2.8274,87.5682,g
26.1559,9.9788,2.3701,61.282,g
20.6678,10.0102,2.301,1.0704,g
45.041,21.7446,3.2604,11.531,g
39.163,18.2024,2.3531,10.9465,g
15.1849,12.0951,2.3962,49.197,g
34.2512,6.7906,2.3589,43.554,g
42.6021,12.401,2.2516,6.8576,g
39.5884,21.688,2.7727,17.9289,g
74.4411,31.977,3.4806,5.3512,g
27.3062,10.5344,2.3936,22.5743,g
38.5491,19.1817,3.0384,7.8488,g
25.2628,17.5474,2.8382,55.85,g
62.0891,28.8639,3.3406,6.479,g
67.5356,28.5682,3.6705,2.531,g
66.4672,35.612,3.2838,0.106,g
66.2184,10.8047,2.4594,8.48,g
46.4638,16.1919,2.6518,27.1336,g
58.6289,24.0694,3.2105,2.2837,g
28.1534,15.2526,2.6739,31.6513,g
54.323,21.3628,3.3105,6.759,g
20.9858,15.718,2.5611,53.01,g
26.8595,20.5946,2.8754,3.9848,g
19.8847,10.9625,2.3729,24.9395,g
46.6559,13.9374,2.7131,2.771,g
19.7589,17.7759,2.4023,30.1602,g
59.1921,25.7827,3.344,4.605,g
75.4045,40.178,3.4087,13.77,g
101.551,27.5733,3.7108,1.7955,g
37.5148,21.0421,2.8621,7.0452,g
31.2984,18.5756,2.7987,8.988,g
28.1635,15.807,2.42,17.1252,g
101.039,35.1399,3.0869,11.885,g
46.198,14.2449,2.7955,4.529,g
13.2362,10.7515,2.1414,85.4646,g
24.1739,10.6332,2.3086,16.2545,g
61.7314,27.9239,2.9943,3.735,g
123.987,17.4709,2.7906,0.813,g
32.7251,20.8588,2.8149,30.129,g
58.4422,19.6955,2.4764,19.889,g
23.6215,10.0757,2.2227,2.819,g
24.7242,7.6865,2.3424,24.6644,g
32.8552,12.6207,2.699,5.647,g
17.5567,10.2585,2.3838,20.564,g
32.1797,18.3351,2.7896,2.5841,g
29.8063,17.6169,2.4914,38.85,g
39.5082,20.09,2.8837,1.6435,g
90.2839,16.6147,2.8089,6.969,g
75.8726,40.5638,3.3515,7.21,g
59.2608,18.6496,2.9717,10.336,g
29.2688,14.2779,2.5723,47.559,g
17.9821,10.7309,2.3032,23.651,g
13.1584,10.7054,2.2135,63,g
20.22,9.6361,2.2122,30.0911,g
28.085,12.8567,2.5927,25.4082,g
57.7688,20.6811,3.1963,6.944,g
46.4559,18.914,3.0592,3.5737,g
68.4131,22.3063,3.2439,1.1476,g
24.2934,18.7979,2.5933,34.356,g
16.9161,10.8969,2.3032,4.058,g
22.939,14.5959,2.5453,47.847,g
29.4389,16.7576,2.6977,17.977,g
30.7094,15.7963,2.7336,3.388,g
36.2836,20.9706,2.8974,1.2146,g
38.0888,27.8921,2.9715,23.484,g
19.3309,7.4555,2.1861,13.369,g
46.0164,15.0485,2.4683,19.5224,g
31.3403,23.5451,2.9863,43.5443,g
29.3669,12.4303,2.5821,3.0025,g
65.6748,18.7886,2.8401,1.0087,g
67.2132,21.7325,2.5179,7.432,g
27.3361,8.0875,2.2577,19.4594,g
30.9455,13.7934,2.5809,63.926,g
20.6987,13.6872,2.4742,85.8793,g
41.2738,18.1847,2.695,16.706,g
31.7448,16.9249,2.7973,13.374,g
41.8464,19.4302,3.1166,0.092,g
30.7339,13.3786,2.5484,4.661,g
45.2808,20.8866,3.0927,3.4724,g
27.1111,14.7768,2.5826,12.4588,g
26.7252,10.19,2.2844,82.9372,g
24.4736,14.289,2.3847,2.7837,g
70.2452,19.4757,2.9562,5.353,g
49.8805,25.0612,3.2717,39.8357,g
52.2264,23.3743,3.2333,0.795,g
20.2899,16.0567,2.8546,0.159,g
90.6506,40.0201,3.9078,0.568,g
48.2117,17.2202,3.0063,4.4309,g
33.6236,19.5098,2.5871,21.903,g
60.1173,23.4638,2.9671,1.101,g
27.0017,18.6292,2.7105,80.473,g
87.8842,35.0948,3.7411,4.122,g
56.0473,26.1965,3.2461,5.344,g
23.945,12.5218,2.3473,7.211,g
37.4896,25.0268,3.1722,75.311,g
140.384,13.5947,2.6263,6.363,g
76.5398,24.806,3.1276,2.2453,g
61.0521,52.4718,3.4939,7.181,g
35.7062,19.2807,2.7871,0.762,g
40.8633,31.5629,3.2075,4.428,g
18.8932,15.3311,2.4822,14.71,g
25.8138,10.7479,2.4241,7.007,g
