@relation magic

@attribute FLength numeric
@attribute FM3Long numeric
@attribute FAlpha numeric
@attribute Class {g,h}

@data
103.549,76.9757,1.0667,g
32.3989,30.3294,7.352,g
77.6784,61.8591,1.592,g
67.2302,59.9437,13.9446,g
60.4692,39.4267,12.857,g
26.5259,18.4977,28.938,g
42.9036,-26.8253,1.586,g
71.4573,54.8724,6.0914,g
83.7192,63.4476,5.007,g
21.3516,-16.3115,57.3003,g
54.323,20.9643,6.759,g
26.5364,18.034,15.321,g
29.7983,-19.9547,36.3005,g
22.9006,12.9589,11.7582,g
30.208,14.632,5.508,g
47.6672,41.3074,9.11,g
67.8372,76.6759,5.0087,g
18.1716,-6.3392,33.8273,g
49.8014,43.8104,0.8547,g
58.4743,-36.8528,4.336,g
13.1734,2.6113,15.9915,g
13.0051,-4.73,8.4921,g
53.0719,53.2193,8.118,g
70.5873,79.9268,1.0197,g
33.353,16.1896,23.7489,g
20.2913,8.3607,12.229,g
27.2564,14.8929,1.7427,g
76.6239,65.1166,4.172,g
14.6323,3.2344,74.7762,g
24.2223,-19.5041,46.617,g
30.4443,-26.439,8.849,g
20.1677,-10.7875,15.2811,g
26.4839,20.7124,9.2085,g
25.9214,20.1408,9.6072,g
74.9217,61.4777,2.594,g
26.9276,11.4899,40.449,g
33.9152,18.8509,5.7317,g
39.9551,23.7879,7.511,g
33.7304,30.4307,10.213,g
17.725,-2.2366,73.787,g
33.4593,23.7646,6.2132,g
12.9823,2.9776,71.697,g
21.843,15.3604,6.251,g
24.07,19.9668,33.07,g
20.4629,-10.4111,51.793,g
79.3481,16.4072,3.796,g
85.2065,77.643,3.613,g
24.7632,10.7197,30.8085,g
12.3503,-10.7105,0.014,g
29.108,15.4043,17.2551,g
23.623,10.164,2.525,g
12.5342,10.0027,19.242,g
27.7722,10.2693,7.2,g
28.3346,7.1239,6.7089,g
87.1697,74.4686,26.8614,g
35.1926,27.381,10.685,g
86.049,72.593,21.984,g
40.0276,17.2156,19.335,g
95.9509,105.195,3.7874,g
41.1297,23.5052,6.0359,g
32.6194,19.001,15.634,g
93.5072,39.8282,2.266,g
21.0144,4.76,80.0502,g
30.9994,24.7028,53.453,g
79.664,59.3963,1.709,g
21.9338,20.4004,18.299,g
272.063,203.863,62.3504,g
89.6414,-95.2879,10.52,g
43.3248,38.1085,11.13,g
77.8141,65.7207,2.712,g
28.44,-17.1027,27.01,g
47.7165,-28.5835,0.0597,g
25.2943,0,70.5589,g
35.579,23.4049,7.5527,g
17.3998,6.1629,33.5627,g
52.8816,53.9107,14.7852,g
65.4492,48.282,2.304,g
