@relation tae

@attribute Course numeric
@attribute Semester numeric
@attribute Class {1,2,3}

@data
4,2,1
1,2,1
2,2,1
15,2,1
16,2,1
1,2,1
5,2,1
3,2,1
5,2,1
9,2,1
11,2,1
2,2,1
10,2,1
3,2,1
2,2,1
3,2,1
7,2,1
15,2,1
2,2,1
1,2,1
3,2,1
16,2,1
20,2,1
18,2,1
15,2,1
3,1,1
2,2,1
1,2,1
2,2,1
1,2,1
7,2,1
3,2,1
2,2,1
3,2,1
1,2,1
3,2,1
2,2,1
2,2,1
1,2,1
3,1,1
8,2,1
3,2,1
11,2,1
3,2,1
8,2,2
7,2,2
25,2,2
9,2,2
9,2,2
11,2,2
24,2,2
1,2,2
1,2,2
17,2,2
15,1,2
23,2,2
3,2,2
2,2,2
17,2,2
26,2,2
13,2,2
7,2,2
11,2,2
16,2,2
7,2,2
8,2,2
25,2,2
3,2,2
17,2,2
3,1,2
15,2,2
3,2,2
6,2,2
3,2,2
3,2,2
15,2,2
11,2,2
3,1,2
3,1,2
18,2,2
3,2,2
1,2,2
17,2,2
3,1,2
11,2,2
13,2,2
15,2,2
12,2,2
13,2,2
3,2,3
3,2,3
3,2,3
3,2,3
22,2,3
3,1,3
2,2,3
5,2,3
3,2,3
17,2,3
3,1,3
5,2,3
6,2,3
3,1,3
1,2,3
11,2,3
1,2,3
3,1,3
3,2,3
19,2,3
2,2,3
17,2,3
21,2,3
17,2,3
22,2,3
2,2,3
3,1,3
11,2,3
25,2,3
17,2,3
2,2,3
3,1,3
3,2,3
3,1,3
14,2,3
3,1,3
1,2,3
22,2,3
5,2,3
3,2,3
15,2,3
21,2,3
3,2,3
21,2,3
15,2,3
3,1,3
3,1,3
