@relation tae

@attribute Instructor numeric
@attribute Course numeric
@attribute Class {1,2,3}

@data
18,5,1
13,1,1
11,1,1
5,2,1
21,2,1
20,2,1
10,3,1
14,15,1
5,2,1
8,3,1
22,1,1
14,15,1
17,18,1
23,3,1
22,3,1
8,7,1
18,7,1
22,3,1
20,2,1
5,2,1
23,3,1
4,16,1
23,3,1
21,2,1
13,1,1
13,1,1
23,3,1
19,4,1
11,1,1
15,1,1
5,2,1
7,11,1
18,5,1
4,16,1
3,2,1
14,15,1
16,8,1
13,3,1
7,11,1
16,8,1
3,2,1
13,3,1
12,7,1
10,3,1
12,8,2
9,2,2
7,25,2
6,17,2
22,1,2
6,17,2
22,3,2
25,7,2
22,3,2
15,13,2
13,3,2
20,2,2
22,1,2
20,15,2
14,15,2
15,13,2
13,3,2
1,8,2
24,26,2
17,18,2
14,15,2
25,7,2
6,17,2
7,11,2
7,11,2
13,1,2
22,3,2
25,7,2
7,11,2
9,24,2
25,7,2
1,15,2
18,12,2
14,23,2
11,16,2
23,3,2
9,6,2
2,9,2
6,17,2
7,11,2
22,13,2
6,17,2
7,25,2
8,3,2
2,9,2
15,3,3
10,3,3
5,2,3
7,11,3
9,6,3
23,3,3
13,1,3
9,5,3
5,2,3
15,3,3
23,3,3
15,3,3
23,3,3
7,11,3
17,17,3
9,5,3
18,21,3
13,1,3
9,2,3
18,21,3
23,3,3
18,25,3
15,3,3
23,3,3
13,1,3
13,3,3
9,5,3
22,3,3
18,21,3
22,3,3
7,11,3
13,3,3
10,3,3
14,22,3
10,3,3
6,17,3
13,14,3
10,22,3
23,3,3
23,3,3
1,15,3
23,3,3
8,3,3
20,2,3
17,17,3
16,19,3
