@relation tae

@attribute Size numeric
@attribute Class {1,2,3}

@data
51,1
38,1
21,1
42,1
38,1
48,1
24,1
19,1
37,1
34,1
37,1
19,1
13,1
11,1
48,1
36,1
21,1
19,1
12,1
42,1
66,1
3,1
29,1
23,1
51,1
28,1
38,1
13,1
31,1
14,1
37,1
26,1
30,1
48,1
51,1
30,1
19,1
31,1
36,1
29,1
32,1
27,1
10,1
28,1
22,2
37,2
42,2
18,2
27,2
44,2
17,2
25,2
42,2
22,2
38,2
20,2
20,2
16,2
42,2
11,2
37,2
43,2
10,2
35,2
10,2
20,2
10,2
37,2
5,2
46,2
31,2
42,2
24,2
31,2
23,2
18,2
10,2
46,2
38,2
13,2
42,2
14,2
27,2
27,2
23,2
15,2
21,2
13,2
24,2
27,3
19,3
49,3
24,3
20,3
19,3
54,3
19,3
45,3
29,3
17,3
39,3
20,3
20,3
9,3
25,3
21,3
27,3
55,3
11,3
20,3
58,3
17,3
11,3
30,3
7,3
39,3
20,3
19,3
58,3
31,3
17,3
19,3
19,3
31,3
20,3
33,3
55,3
17,3
17,3
29,3
20,3
30,3
29,3
25,3
33,3
