@relation tae

@attribute Size numeric
@attribute Class {1,2,3}

@data
13,1
26,1
27,1
29,1
30,1
38,1
32,1
21,1
38,1
15,1
66,1
36,1
48,1
51,1
12,1
42,1
48,1
14,1
24,1
19,1
37,1
28,1
19,1
12,1
51,1
42,1
31,1
29,1
51,1
21,1
23,1
28,1
3,1
19,1
31,1
11,1
37,1
30,1
19,1
10,1
13,1
19,1
34,1
27,1
10,2
31,2
14,2
20,2
13,2
27,2
24,2
20,2
38,2
24,2
37,2
17,2
27,2
10,2
42,2
15,2
10,2
42,2
42,2
43,2
42,2
37,2
23,2
22,2
13,2
20,2
16,2
10,2
46,2
5,2
24,2
10,2
18,2
27,2
18,2
46,2
20,2
11,2
38,2
43,2
35,2
22,2
44,2
31,2
21,2
58,3
19,3
36,3
49,3
20,3
29,3
21,3
17,3
9,3
39,3
17,3
20,3
11,3
30,3
25,3
20,3
33,3
31,3
31,3
29,3
19,3
20,3
55,3
49,3
17,3
20,3
45,3
29,3
7,3
30,3
33,3
55,3
19,3
38,3
39,3
24,3
54,3
9,3
19,3
27,3
20,3
45,3
19,3
19,3
27,3
39,3
58,3
