@relation tae

@attribute Native numeric
@attribute Course numeric
@attribute Size numeric
@attribute Class {1,2,3}

@data
1,3,38,1
2,5,19,1
1,3,13,1
2,7,34,1
2,1,66,1
2,9,29,1
2,2,42,1
2,1,51,1
2,2,3,1
2,2,14,1
2,2,37,1
2,3,27,1
2,1,19,1
2,1,51,1
2,3,19,1
2,18,29,1
2,1,29,1
2,3,28,1
1,15,32,1
2,11,30,1
2,3,19,1
2,1,51,1
2,16,21,1
2,20,15,1
2,16,21,1
2,3,28,1
1,7,48,1
2,3,11,1
2,3,12,1
2,2,37,1
2,1,31,1
2,2,26,1
2,15,38,1
2,2,37,1
2,10,27,1
2,2,48,1
1,3,13,1
2,4,10,1
2,7,23,1
2,8,36,1
2,8,36,1
2,3,24,1
2,15,38,1
2,5,19,1
2,3,10,2
2,26,21,2
2,23,17,2
2,13,37,2
2,3,20,2
2,11,13,2
2,17,43,2
2,3,46,2
2,15,22,2
2,7,27,2
2,11,13,2
2,17,42,2
2,2,25,2
2,15,22,2
2,7,23,2
2,3,10,2
2,3,46,2
2,1,11,2
2,9,31,2
2,7,23,2
2,11,10,2
2,3,10,2
2,24,20,2
2,12,16,2
2,7,27,2
2,25,42,2
2,8,24,2
2,3,24,2
1,17,35,2
2,17,43,2
2,17,42,2
2,15,18,2
1,3,20,2
2,25,42,2
2,13,37,2
2,3,24,2
2,15,38,2
2,1,20,2
1,13,27,2
1,18,44,2
2,2,14,2
2,8,18,2
2,17,37,2
1,3,15,2
2,15,38,2
2,3,27,3
2,3,20,3
1,3,49,3
2,3,27,3
2,3,20,3
2,3,20,3
2,11,20,3
1,2,33,3
2,5,24,3
1,2,33,3
2,22,17,3
2,2,45,3
2,25,25,3
1,3,25,3
2,3,20,3
2,5,19,3
2,21,19,3
2,1,30,3
1,3,19,3
2,21,29,3
1,3,38,3
1,3,20,3
1,3,58,3
1,3,17,3
2,11,55,3
1,3,58,3
2,3,17,3
1,3,49,3
2,22,9,3
2,19,11,3
2,3,17,3
1,3,19,3
2,14,17,3
1,3,45,3
2,15,31,3
2,15,36,3
2,5,19,3
2,17,39,3
2,2,39,3
2,21,29,3
2,6,7,3
2,3,11,3
2,17,39,3
2,22,9,3
2,1,30,3
2,3,20,3
1,3,29,3
