@relation tae

@attribute Course numeric
@attribute Class {1,2,3}

@data
3,1
2,1
2,1
2,1
1,1
11,1
1,1
7,1
1,1
16,1
4,1
3,1
2,1
3,1
3,1
2,1
16,1
2,1
3,1
3,1
1,1
7,1
3,1
20,1
1,1
15,1
5,1
15,1
7,1
1,1
8,1
3,1
2,1
18,1
5,1
3,1
1,1
3,1
3,1
15,1
8,1
10,1
9,1
2,1
2,2
11,2
3,2
13,2
13,2
17,2
7,2
7,2
3,2
15,2
3,2
25,2
9,2
3,2
15,2
17,2
26,2
1,2
12,2
13,2
3,2
15,2
18,2
11,2
1,2
7,2
17,2
3,2
23,2
3,2
11,2
7,2
2,2
8,2
15,2
8,2
24,2
17,2
15,2
3,2
3,2
17,2
25,2
17,2
3,2
3,3
3,3
5,3
3,3
2,3
3,3
5,3
3,3
5,3
3,3
21,3
3,3
15,3
25,3
21,3
6,3
19,3
17,3
11,3
3,3
22,3
3,3
22,3
3,3
3,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
21,3
22,3
2,3
1,3
3,3
17,3
2,3
3,3
14,3
11,3
3,3
15,3
3,3
3,3
1,3
