@relation tae

@attribute Course numeric
@attribute Class {1,2,3}

@data
1,1
9,1
15,1
3,1
2,1
1,1
8,1
11,1
7,1
2,1
5,1
15,1
11,1
3,1
3,1
3,1
3,1
3,1
2,1
3,1
2,1
2,1
5,1
15,1
3,1
3,1
2,1
16,1
18,1
1,1
20,1
3,1
1,1
1,1
1,1
2,1
1,1
8,1
10,1
7,1
3,1
2,1
7,1
3,1
13,2
2,2
15,2
12,2
23,2
24,2
3,2
17,2
7,2
9,2
13,2
3,2
26,2
9,2
11,2
2,2
11,2
15,2
1,2
7,2
1,2
17,2
3,2
17,2
3,2
7,2
3,2
11,2
6,2
15,2
15,2
15,2
3,2
13,2
11,2
3,2
17,2
3,2
17,2
25,2
17,2
16,2
3,2
8,2
3,2
21,3
3,3
5,3
1,3
3,3
11,3
17,3
3,3
3,3
21,3
1,3
3,3
3,3
17,3
3,3
22,3
3,3
2,3
3,3
1,3
22,3
19,3
22,3
21,3
3,3
15,3
3,3
3,3
25,3
17,3
2,3
3,3
3,3
5,3
17,3
2,3
5,3
3,3
3,3
11,3
3,3
3,3
3,3
3,3
2,3
11,3
15,3
