@relation tae

@attribute Course numeric
@attribute Class {1,2,3}

@data
5,1
1,1
2,1
3,1
2,1
2,1
3,1
2,1
16,1
7,1
1,1
1,1
2,1
2,1
10,1
8,1
2,1
7,1
1,1
3,1
11,1
3,1
20,1
3,1
1,1
11,1
3,1
1,1
7,1
1,1
1,1
15,1
3,1
15,1
5,1
2,1
3,1
2,1
18,1
8,1
3,1
9,1
4,1
15,1
3,2
13,2
17,2
15,2
18,2
7,2
2,2
17,2
1,2
24,2
2,2
8,2
12,2
6,2
17,2
16,2
7,2
1,2
17,2
15,2
3,2
11,2
1,2
3,2
3,2
23,2
26,2
7,2
13,2
15,2
25,2
3,2
3,2
9,2
11,2
11,2
3,2
15,2
11,2
3,2
17,2
3,2
3,2
25,2
9,2
3,3
3,3
2,3
3,3
5,3
3,3
5,3
15,3
17,3
3,3
6,3
11,3
2,3
25,3
1,3
22,3
3,3
21,3
19,3
3,3
3,3
3,3
1,3
3,3
21,3
3,3
3,3
2,3
3,3
14,3
17,3
15,3
3,3
1,3
3,3
3,3
22,3
17,3
3,3
3,3
11,3
17,3
3,3
3,3
3,3
3,3
21,3
