@relation tae

@attribute Native numeric
@attribute Semester numeric
@attribute Class {1,2,3}

@data
2,2,1
1,1,1
2,2,1
2,2,1
2,2,1
2,2,1
1,1,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
1,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
1,2,2
2,2,2
2,2,2
2,1,2
2,2,2
1,2,2
2,2,2
2,2,2
1,1,2
2,2,2
1,2,2
2,1,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
1,2,2
2,2,2
1,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,2,2
2,1,2
2,2,2
2,2,2
2,2,2
2,2,2
2,1,2
2,2,2
2,2,2
2,2,3
1,2,3
2,2,3
2,2,3
2,2,3
2,2,3
2,1,3
2,2,3
1,2,3
1,2,3
2,2,3
2,2,3
2,2,3
2,2,3
1,1,3
1,2,3
2,2,3
2,1,3
2,2,3
1,2,3
2,2,3
2,1,3
1,1,3
1,2,3
2,2,3
1,1,3
1,2,3
1,2,3
1,2,3
2,2,3
2,2,3
1,2,3
2,2,3
2,2,3
2,2,3
1,2,3
2,2,3
2,2,3
2,2,3
2,1,3
2,2,3
2,2,3
1,1,3
2,1,3
1,1,3
2,2,3
1,2,3
