@relation segment

@attribute Region-centroid-row numeric
@attribute Vedge-mean numeric
@attribute Rawblue-mean numeric
@attribute Exred-mean numeric
@attribute Exgreen-mean numeric
@attribute Value-mean numeric
@attribute Class {1,2,3,4,5,6,7}

@data
133,0.666667,7.888889,4,-8.333333,8.222222,1
139,0.666667,6.444445,3.666667,-7,6.888889,1
122,0.333333,7.333334,3.666667,-7.666666,7.666666,1
103,1.388889,19.11111,4.555555,-13.444445,19.444445,1
121,0.444444,7.444445,4.777778,-7.888889,8,1
117,0.444445,7.444445,4,-7.333334,8,1
147,0.333333,7.444445,-1.444444,-7.111111,7.666666,1
142,0.388889,5.222222,4.888889,-6.777778,6.333334,1
125,0.388889,6.888889,4.111111,-7.222222,7.333334,1
124,0.5,7.333334,4.222222,-8.111111,7.666666,1
145,0.555556,6.555555,3.111111,-6.888889,7,1
88,2,27.333334,-5.444445,-14.777778,27.333334,1
106,2.222222,25.11111,0,-15.333333,25.11111,1
111,0.555555,5.555555,0.888889,-6.111111,5.555555,1
56,1.222222,25.444445,-1.222222,-15.555555,25.444445,1
131,0.333333,5.444445,6,-6.666666,7.222222,1
126,1.055556,8,3.555556,-8.111111,8.333334,1
135,0.555555,6.444445,4.777778,-7.555555,7.444445,1
92,1.333333,23.777779,0.222222,-15.444445,23.777779,1
118,0.555556,8.111112,3.333333,-8.333333,8.444445,1
137,0.5,6.444445,5.777778,-7.555555,7.777778,1
69,2.055556,34.444447,-6.666666,-19.666666,34.444447,1
102,0.888889,29.777779,-2.888889,-17.222221,29.777779,1
115,0.166667,7.888889,4.666666,-8.333333,8.444445,1
58,0.888889,27.333334,-2.777778,-16.444445,27.333334,1
116,0.5,7.666666,3,-7.666666,7.777778,1
87,2.777778,21,2.666667,-13.666667,21.11111,1
110,1.722222,21.444445,2.888889,-13.444445,21.444445,1
57,1.833333,34.444447,-4.888889,-19.555555,34.444447,1
117,0.333333,7.555555,1.666667,-7,7.555555,1
41,1.777778,29.777779,-5.111111,-16.777779,29.777779,1
115,0.5,7.888889,3.111111,-7.888889,8,1
114,1.166667,17.11111,4.777778,-12.555555,17.444445,1
121,1.666666,30.11111,-4.333334,-16.666666,30.11111,1
77,2.111111,31.555555,-3.111111,-18.11111,31.555555,1
51,1.777778,35.11111,-9.222222,-18.88889,35.11111,1
101,1.333333,26.777779,-0.222222,-16.222221,26.777779,1
85,1.111111,27.11111,-1,-17,27.11111,1
133,0.666667,7.888889,4,-8.333333,8.222222,1
73,1.388889,24.11111,0.444444,-15.555555,24.11111,1
124,0.888889,7.111111,3.666667,-7.333334,7.555555,1
129,0.444444,7.444445,4.777778,-7.888889,8.222222,1
45,2.277778,28.777779,-4.111111,-16.444445,28.777779,1
107,1.166667,19.444445,6.222222,-14.444445,19.777779,1
124,0.222222,7.444445,4,-7.666666,8,1
124,0.277778,8.777778,3.444444,-8.555555,9,1
67,1,25.88889,-1.333333,-16.333334,25.88889,1
104,2.277778,28.666666,-4.111111,-16.11111,28.666666,1
142,0.388889,5.777778,4.555555,-6.777778,6.555555,1
123,0.444444,6.666666,5.222222,-7.777778,7.555555,1
118,1.111111,27.333334,-2.666667,-16,27.333334,1
128,0.5,7.222222,4.111111,-7.888889,7.666666,1
116,0.944445,20,2.444444,-13.888889,21.222221,1
106,1.611111,29.88889,-3.111111,-17.444445,29.88889,1
106,1.611111,23.666666,1.333333,-15,23.666666,1
72,0.944444,35.444447,-7.333334,-20.333334,35.444447,1
51,1.666667,25.666666,-2.444444,-15.777778,25.666666,1
128,0.444444,6.555555,5.333334,-8,7.444445,1
67,1.388889,35.88889,-6.111111,-20.11111,35.88889,1
117,0.444444,24.11111,2.333333,-15,24.11111,1
118,0.444445,7.666666,3.888889,-8.111111,7.777778,1
67,2.555556,30.777779,-2.555556,-18.555555,30.777779,1
110,1.722222,21.444445,2.888889,-13.444445,21.444445,1
112,0.555556,8.111112,2.333333,-8,8.111112,1
110,0.5,6.333334,0.333333,-6.666666,6.333334,1
108,1.333333,21.11111,4,-14.333333,21.11111,1
56,1.555555,31.333334,-4.777778,-18.11111,31.333334,1
101,0.555555,29.222221,-2.666667,-17.666666,29.222221,1
100,0.666667,28.444445,-1.333333,-17.333334,28.444445,1
73,1.388889,26.777779,-2.555556,-15.888889,26.777779,1
134,0.277778,5.222222,5.111111,-6.555555,6.444445,1
